省份,时间,累计确诊,新增确诊,现有确诊,累计治愈,新增治愈,累计死亡,新增死亡,累计无症状,新增无症状
上海,2022-05-11,61514,144,4934,56008,433,572,5,579922,1305
上海,2022-05-10,61370,229,5228,55575,607,567,7,578617,1259
上海,2022-05-09,61141,234,5613,54968,847,560,6,577358,2780
上海,2022-05-08,60907,324,6232,54121,645,554,11,574578,3625
上海,2022-05-07,60583,217,6564,53476,941,543,8,570953,3760
上海,2022-05-06,60366,253,7296,52535,1664,535,13,567193,3961
上海,2022-05-05,60113,245,8720,50871,1390,522,12,563232,4024
上海,2022-05-04,59868,263,9877,49481,1739,510,13,559208,4390
上海,2022-05-03,59605,263,11366,47742,1869,497,16,554818,4722
上海,2022-05-02,59342,274,12988,45873,3982,481,20,550096,5395
上海,2022-05-01,59068,729,16716,41891,4242,461,32,544701,6606
上海,2022-04-30,58339,789,20261,37649,3056,429,38,538095,7084
上海,2022-04-29,57550,1250,22570,34589,2807,391,47,531011,8932
上海,2022-04-28,56300,5489,24174,31782,2480,344,52,522079,9545
上海,2022-04-27,50811,1292,21217,29302,2310,292,47,512534,9330
上海,2022-04-26,49519,1606,22282,26992,2640,245,48,503204,11956
上海,2022-04-25,47913,1661,23364,24352,1943,197,52,491248,15319
上海,2022-04-24,46252,2472,23698,22409,2451,145,51,475929,16984
上海,2022-04-23,43780,1401,23728,19958,2243,94,39,458945,19657
上海,2022-04-22,42379,2736,24609,17715,1879,55,12,439288,20635
上海,2022-04-21,39643,1931,23764,15836,1736,43,11,418653,15698
上海,2022-04-20,37712,2635,23580,14100,1177,32,8,402955,15863
上海,2022-04-19,35077,2495,22130,12923,1685,24,7,387092,16408
上海,2022-04-18,32582,3084,21327,11238,1217,17,7,370684,17334
上海,2022-04-17,29498,2420,19467,10021,733,10,3,353350,19831
上海,2022-04-16,27078,3240,17783,9288,377,7,0,333519,21582
上海,2022-04-15,23838,3594,14920,8911,975,7,0,311937,19925
上海,2022-04-14,20244,3200,12301,7936,549,7,0,292012,19873
上海,2022-04-13,17044,2573,9650,7387,741,7,0,272139,25147
上海,2022-04-12,14471,1190,7818,6646,341,7,0,246992,25141
上海,2022-04-11,13281,998,6969,6305,391,7,0,221851,22349
上海,2022-04-10,12283,917,6362,5914,298,7,0,199502,25173
上海,2022-04-09,11366,1015,5743,5616,227,7,0,174329,23939
上海,2022-04-08,10351,1017,4955,5389,119,7,0,150390,22611
上海,2022-04-07,9334,828,4057,5270,57,7,0,127779,20401
上海,2022-04-06,8506,329,3286,5213,47,7,0,107378,19661
上海,2022-04-05,8177,315,3004,5166,41,7,0,87717,16767
上海,2022-04-04,7862,271,2730,5125,27,7,0,70950,13088
上海,2022-04-03,7591,433,2486,5098,30,7,0,57862,8585
上海,2022-04-02,7158,444,2083,5068,31,7,0,49277,7789
上海,2022-04-01,6714,262,1670,5037,39,7,0,41488,6051
上海,2022-03-31,6452,365,1447,4998,26,7,0,35437,4145
上海,2022-03-30,6087,358,1108,4972,29,7,0,31292,5299
上海,2022-03-29,5729,329,779,4943,45,7,0,25993,5658
上海,2022-03-28,5400,107,495,4898,28,7,0,20335,4382
上海,2022-03-27,5293,60,416,4870,37,7,0,15953,3454
上海,2022-03-26,5233,51,393,4833,33,7,0,12499,2633
上海,2022-03-25,5182,47,375,4800,21,7,0,9866,2233
上海,2022-03-24,5135,41,349,4779,63,7,0,7633,1587
上海,2022-03-23,5094,14,371,4716,81,7,0,6046,982
上海,2022-03-22,5080,14,438,4635,163,7,0,5064,981
上海,2022-03-21,5066,39,587,4472,0,7,0,4083,868
上海,2022-03-20,5027,41,548,4472,44,7,0,3215,736
上海,2022-03-19,4986,22,551,4428,121,7,0,2479,494
上海,2022-03-18,4964,20,650,4307,26,7,0,1985,372
上海,2022-03-17,4944,67,656,4281,54,7,0,1613,205
上海,2022-03-16,4877,23,643,4227,33,7,0,1408,156
上海,2022-03-15,4854,15,653,4194,33,7,0,1252,198
上海,2022-03-14,4839,21,671,4161,15,7,0,1054,133
上海,2022-03-13,4818,57,665,4146,33,7,0,921,130
上海,2022-03-12,4761,14,641,4113,26,7,0,791,65
上海,2022-03-11,4747,27,653,4087,20,7,0,726,87
上海,2022-03-10,4720,43,646,4067,17,7,0,639,74
上海,2022-03-09,4677,46,620,4050,18,7,0,565,92
上海,2022-03-08,4631,29,592,4032,32,7,0,473,72
上海,2022-03-07,4602,40,595,4000,27,7,0,401,61
上海,2022-03-06,4562,35,582,3973,65,7,0,340,61
上海,2022-03-05,4527,25,612,3908,8,7,0,279,38
上海,2022-03-04,4502,27,595,3900,12,7,0,241,26
上海,2022-03-03,4475,45,580,3888,9,7,0,215,35
上海,2022-03-02,4430,42,544,3879,8,7,0,180,24
上海,2022-03-01,4388,38,510,3871,8,7,0,156,18
上海,2022-02-28,4350,40,480,3863,12,7,0,138,15
上海,2022-02-27,4310,45,452,3851,10,7,0,123,11
上海,2022-02-26,4265,43,417,3841,11,7,0,112,12
上海,2022-02-25,4222,55,385,3830,10,7,0,100,20
上海,2022-02-24,4167,59,340,3820,8,7,0,80,23
上海,2022-02-23,4108,24,289,3812,8,7,0,57,8
上海,2022-02-22,4084,49,273,3804,10,7,0,49,8
上海,2022-02-21,4035,32,234,3794,7,7,0,41,1
上海,2022-02-20,4003,27,209,3787,3,7,0,40,5
上海,2022-02-19,3976,23,185,3784,13,7,0,35,0
上海,2022-02-18,3953,18,175,3771,11,7,0,35,3
上海,2022-02-17,3935,13,168,3760,16,7,0,32,0
上海,2022-02-16,3922,9,171,3744,19,7,0,32,1
上海,2022-02-15,3913,13,181,3725,11,7,0,31,0
上海,2022-02-14,3900,6,179,3714,13,7,0,31,0
上海,2022-02-13,3894,8,186,3701,18,7,0,31,0
上海,2022-02-12,3886,9,196,3683,11,7,0,31,0
上海,2022-02-11,3877,7,198,3672,9,7,0,31,0
上海,2022-02-10,3870,12,200,3663,29,7,0,31,0
上海,2022-02-09,3858,8,217,3634,21,7,0,31,0
上海,2022-02-08,3850,9,230,3613,14,7,0,31,0
上海,2022-02-07,3841,15,235,3599,14,7,0,31,0
上海,2022-02-06,3826,8,234,3585,16,7,0,31,0
上海,2022-02-05,3818,12,242,3569,21,7,0,31,0
上海,2022-02-04,3806,7,251,3548,16,7,0,31,0
上海,2022-02-03,3799,7,260,3532,10,7,0,31,0
上海,2022-02-02,3792,9,263,3522,11,7,0,31,0
上海,2022-02-01,3783,18,265,3511,38,7,0,31,0
上海,2022-01-31,3765,18,285,3473,25,7,0,31,0
上海,2022-01-30,3747,10,292,3448,23,7,0,31,0
上海,2022-01-29,3737,10,305,3425,30,7,0,31,0
上海,2022-01-28,3727,10,325,3395,29,7,0,31,0
上海,2022-01-27,3717,7,344,3366,28,7,0,31,0
上海,2022-01-26,3710,21,365,3338,36,7,0,31,0
上海,2022-01-25,3689,10,380,3302,21,7,0,31,0
上海,2022-01-24,3679,11,391,3281,13,7,0,31,0
上海,2022-01-23,3668,22,393,3268,45,7,0,31,0
上海,2022-01-22,3646,13,416,3223,38,7,0,31,0
上海,2022-01-21,3633,22,441,3185,29,7,0,31,0
上海,2022-01-20,3611,28,448,3156,47,7,0,31,0
上海,2022-01-19,3583,14,467,3109,16,7,0,31,0
上海,2022-01-18,3569,15,469,3093,13,7,0,31,0
上海,2022-01-17,3554,17,467,3080,13,7,0,31,0
上海,2022-01-16,3537,35,463,3067,10,7,0,31,0
上海,2022-01-15,3502,24,438,3057,6,7,0,31,5
上海,2022-01-14,3478,43,420,3051,8,7,0,26,0
上海,2022-01-13,3435,32,385,3043,8,7,0,26,3
上海,2022-01-12,3403,31,361,3035,18,7,0,23,0
上海,2022-01-11,3372,20,348,3017,12,7,0,23,1
上海,2022-01-10,3352,27,340,3005,4,7,0,22,0
上海,2022-01-09,3325,26,317,3001,10,7,0,22,0
上海,2022-01-08,3299,30,301,2991,9,7,0,22,0
上海,2022-01-07,3269,32,280,2982,14,7,0,22,8
上海,2022-01-06,3237,24,262,2968,3,7,0,14,5
上海,2022-01-05,3213,20,241,2965,14,7,0,9,0
上海,2022-01-04,3193,17,235,2951,9,7,0,9,3
上海,2022-01-03,3176,29,227,2942,8,7,0,6,1
上海,2022-01-02,3147,26,206,2934,7,7,0,5,1
上海,2022-01-01,3121,18,187,2927,12,7,0,4,1
上海,2021-12-31,3103,10,181,2915,6,7,0,3,0
上海,2021-12-30,3093,9,177,2909,3,7,0,3,0
上海,2021-12-29,3084,17,171,2906,6,7,0,3,0
上海,2021-12-28,3067,11,160,2900,4,7,0,3,0
上海,2021-12-27,3056,8,153,2896,9,7,0,3,0
上海,2021-12-26,3048,11,154,2887,6,7,0,3,0
上海,2021-12-25,3037,18,149,2881,7,7,0,3,0
上海,2021-12-24,3019,15,138,2874,6,7,0,3,0
上海,2021-12-23,3004,8,129,2868,2,7,0,3,0
上海,2021-12-22,2996,11,123,2866,6,7,0,3,0
上海,2021-12-21,2985,5,118,2860,2,7,0,3,0
上海,2021-12-20,2980,5,115,2858,3,7,0,3,0
上海,2021-12-19,2975,16,113,2855,5,7,0,3,0
上海,2021-12-18,2959,14,102,2850,1,7,0,3,1
上海,2021-12-17,2945,13,89,2849,4,7,0,2,0
上海,2021-12-16,2932,3,80,2845,0,7,0,2,0
上海,2021-12-15,2929,2,77,2845,2,7,0,2,0
上海,2021-12-14,2927,3,77,2843,2,7,0,2,0
上海,2021-12-13,2924,6,76,2841,2,7,0,2,0
上海,2021-12-12,2918,5,72,2839,3,7,0,2,0
上海,2021-12-11,2913,8,70,2836,2,7,0,2,0
上海,2021-12-10,2905,6,64,2834,14,7,0,2,0
上海,2021-12-09,2899,1,72,2820,0,7,0,2,0
上海,2021-12-08,2898,2,71,2820,5,7,0,2,0
上海,2021-12-07,2896,9,74,2815,2,7,0,2,0
上海,2021-12-06,2887,5,67,2813,10,7,0,2,0
上海,2021-12-05,2882,5,72,2803,3,7,0,2,0
上海,2021-12-04,2877,4,70,2800,4,7,0,2,0
上海,2021-12-03,2873,6,70,2796,4,7,0,2,1
上海,2021-12-02,2867,8,68,2792,7,7,0,1,0
上海,2021-12-01,2859,3,67,2785,3,7,0,1,0
上海,2021-11-30,2856,3,67,2782,0,7,0,1,0
上海,2021-11-29,2853,0,64,2782,8,7,0,1,0
上海,2021-11-28,2853,6,72,2774,6,7,0,1,0
上海,2021-11-27,2847,5,72,2768,3,7,0,1,1
上海,2021-11-26,2842,5,70,2765,3,7,0,0,0
上海,2021-11-25,2837,4,68,2762,3,7,0,0,0
上海,2021-11-24,2833,4,67,2759,1,7,0,0,0
上海,2021-11-23,2829,5,64,2758,7,7,0,0,0
上海,2021-11-22,2824,2,66,2751,6,7,0,0,0
上海,2021-11-21,2822,5,70,2745,6,7,0,0,0
上海,2021-11-20,2817,3,71,2739,0,7,0,0,0
上海,2021-11-19,2814,6,68,2739,4,7,0,0,0
上海,2021-11-18,2808,7,66,2735,5,7,0,0,0
上海,2021-11-17,2801,6,64,2730,4,7,0,0,0
上海,2021-11-16,2795,1,62,2726,4,7,0,0,0
上海,2021-11-15,2794,2,65,2722,6,7,0,0,0
上海,2021-11-14,2792,5,69,2716,3,7,0,0,0
上海,2021-11-13,2787,5,67,2713,5,7,0,0,0
