省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
上海,嘉定区,2022-05-11,2456,18,2220,24,2,0,72
上海,嘉定区,2022-05-10,2438,20,2196,13,2,0,14
上海,嘉定区,2022-05-09,2418,17,2183,23,2,0,131
上海,嘉定区,2022-05-08,2401,27,2160,10,2,0,109
上海,嘉定区,2022-05-07,2374,11,2150,6,2,0,108
上海,嘉定区,2022-05-06,2363,3,2144,-3,2,0,198
上海,嘉定区,2022-05-05,2360,9,2147,5,2,0,192
上海,嘉定区,2022-05-04,2351,4,2142,-7,2,0,211
上海,嘉定区,2022-05-03,2347,4,2149,-133,2,0,171
上海,嘉定区,2022-05-02,2343,4,2282,184,2,0,275
上海,嘉定区,2022-05-01,2339,14,2098,144,2,0,254
上海,嘉定区,2022-04-30,2325,41,1954,141,2,0,218
上海,嘉定区,2022-04-29,2284,22,1813,51,2,0,246
上海,嘉定区,2022-04-28,2262,132,1762,250,2,0,356
上海,嘉定区,2022-04-27,2130,13,1512,136,2,0,279
上海,嘉定区,2022-04-26,2117,89,1376,172,2,0,345
上海,嘉定区,2022-04-25,2028,58,1204,80,2,0,485
上海,嘉定区,2022-04-24,1970,132,1124,118,2,0,469
上海,嘉定区,2022-04-23,1838,73,1006,95,2,0,678
上海,嘉定区,2022-04-22,1765,76,911,147,2,0,424
上海,嘉定区,2022-04-21,1689,80,764,46,2,0,696
上海,嘉定区,2022-04-20,1609,82,718,98,2,0,559
上海,嘉定区,2022-04-19,1527,104,620,88,2,0,639
上海,嘉定区,2022-04-18,1423,72,532,46,2,0,516
上海,嘉定区,2022-04-17,1351,356,486,59,2,0,622
上海,嘉定区,2022-04-16,995,103,427,42,2,0,582
上海,嘉定区,2022-04-15,892,173,385,50,2,0,568
上海,嘉定区,2022-04-14,719,200,335,77,2,0,603
上海,嘉定区,2022-04-13,519,54,258,72,2,0,667
上海,嘉定区,2022-04-12,465,42,186,65,2,0,944
上海,嘉定区,2022-04-11,423,43,121,28,2,0,977
上海,嘉定区,2022-04-10,380,71,93,24,2,0,1333
上海,嘉定区,2022-04-09,309,21,69,22,2,0,348
上海,嘉定区,2022-04-08,288,116,47,6,2,0,1391
上海,嘉定区,2022-04-07,172,23,41,4,2,0,911
上海,嘉定区,2022-04-06,149,6,37,3,2,0,1402
上海,嘉定区,2022-04-05,143,11,34,3,2,0,480
上海,嘉定区,2022-04-04,132,4,31,0,2,0,243
上海,嘉定区,2022-04-03,128,14,31,0,2,0,410
上海,嘉定区,2022-04-02,114,27,31,2,2,0,587
上海,嘉定区,2022-04-01,87,10,29,1,2,0,191
上海,嘉定区,2022-03-31,77,7,28,2,2,0,47
上海,嘉定区,2022-03-30,70,9,26,1,2,0,123
上海,嘉定区,2022-03-29,61,9,25,5,2,0,244
上海,嘉定区,2022-03-28,52,2,20,3,2,0,207
上海,嘉定区,2022-03-27,50,3,17,0,2,0,249
上海,嘉定区,2022-03-26,47,9,17,2,2,0,233
上海,嘉定区,2022-03-25,38,0,15,1,2,0,18
上海,嘉定区,2022-03-24,38,1,14,3,2,0,129
上海,嘉定区,2022-03-23,37,1,11,2,2,0,68
上海,嘉定区,2022-03-22,36,2,9,1,2,0,109
上海,嘉定区,2022-03-21,34,5,8,0,2,0,97
上海,嘉定区,2022-03-20,29,1,8,0,2,0,39
上海,嘉定区,2022-03-19,28,2,8,1,2,0,79
上海,嘉定区,2022-03-18,26,0,7,0,2,0,44
上海,嘉定区,2022-03-17,26,5,7,0,2,0,30
上海,嘉定区,2022-03-16,21,4,7,0,2,0,36
上海,嘉定区,2022-03-15,17,0,7,0,2,0,21
上海,嘉定区,2022-03-14,17,0,7,0,2,0,24
上海,嘉定区,2022-03-13,17,5,7,0,2,0,14
上海,嘉定区,2022-03-12,12,0,7,0,2,0,3
上海,嘉定区,2022-03-11,12,0,7,0,2,0,11
上海,嘉定区,2022-03-10,12,1,7,0,2,0,3
上海,嘉定区,2022-03-09,11,0,7,0,2,0,16
上海,嘉定区,2022-03-08,11,1,7,0,2,0,7
上海,嘉定区,2022-03-07,10,0,7,0,2,0,13
上海,嘉定区,2022-03-06,10,0,7,0,2,0,12
上海,嘉定区,2022-03-05,10,0,7,0,2,0,4
上海,嘉定区,2022-03-04,10,1,7,0,2,0,5
上海,嘉定区,2022-03-03,9,0,7,0,2,0,0
上海,嘉定区,2022-03-02,9,0,7,0,2,0,1
上海,嘉定区,2022-03-01,9,0,7,0,2,0,1
上海,嘉定区,2022-02-28,9,0,7,0,2,0,0
上海,嘉定区,2022-02-27,9,0,7,0,2,0,0
上海,嘉定区,2022-02-26,9,0,7,0,2,0,0
上海,嘉定区,2022-02-25,9,0,7,0,2,0,0
上海,嘉定区,2022-02-24,9,0,7,0,2,0,0
上海,嘉定区,2022-02-23,9,0,7,0,2,0,0
上海,嘉定区,2022-02-22,9,0,7,0,2,0,0
上海,嘉定区,2022-02-21,9,0,7,0,2,0,0
上海,嘉定区,2022-02-20,9,0,7,0,2,0,0
上海,嘉定区,2022-02-19,9,0,7,0,2,0,0
上海,嘉定区,2022-02-18,9,0,7,0,2,0,0
上海,嘉定区,2022-02-17,9,0,7,0,2,0,0
上海,嘉定区,2022-02-16,9,0,7,0,2,0,0
上海,嘉定区,2022-02-15,9,0,7,0,2,0,0
上海,嘉定区,2022-02-14,9,0,7,0,2,0,0
上海,嘉定区,2022-02-13,9,0,7,0,2,0,0
上海,嘉定区,2022-02-12,9,0,7,0,2,0,0
上海,嘉定区,2022-02-11,9,0,7,0,2,0,0
上海,嘉定区,2022-02-10,9,0,7,0,2,0,0
上海,嘉定区,2022-02-09,9,0,7,0,2,0,0
上海,嘉定区,2022-02-08,9,0,7,0,2,0,0
上海,嘉定区,2022-02-07,9,0,7,0,2,0,0
上海,嘉定区,2022-02-06,9,0,7,0,2,0,0
上海,嘉定区,2022-02-05,9,0,7,0,2,0,0
上海,嘉定区,2022-02-04,9,0,7,0,2,0,0
