省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
上海,境外输入,2022-05-11,4595,0,4581,1,0,0,0
上海,境外输入,2022-05-10,4595,1,4580,0,0,0,0
上海,境外输入,2022-05-09,4594,0,4580,0,0,0,0
上海,境外输入,2022-05-08,4594,2,4580,0,0,0,0
上海,境外输入,2022-05-07,4592,2,4580,0,0,0,0
上海,境外输入,2022-05-06,4590,0,4580,1,0,0,0
上海,境外输入,2022-05-05,4590,0,4579,0,0,0,0
上海,境外输入,2022-05-04,4590,2,4579,0,0,0,0
上海,境外输入,2022-05-03,4588,3,4579,0,0,0,0
上海,境外输入,2022-05-02,4585,0,4579,1,0,0,0
上海,境外输入,2022-05-01,4585,2,4578,0,0,0,0
上海,境外输入,2022-04-30,4583,1,4578,1,0,0,0
上海,境外输入,2022-04-29,4582,1,4577,4,0,0,0
上海,境外输入,2022-04-28,4581,2,4573,0,0,0,0
上海,境外输入,2022-04-27,4579,0,4573,0,0,0,0
上海,境外输入,2022-04-26,4579,0,4573,1,0,0,0
上海,境外输入,2022-04-25,4579,0,4572,2,0,0,0
上海,境外输入,2022-04-24,4579,0,4570,2,0,0,0
上海,境外输入,2022-04-23,4579,0,4568,1,0,0,0
上海,境外输入,2022-04-22,4579,0,4567,4,0,0,0
上海,境外输入,2022-04-21,4579,0,4563,4,0,0,0
上海,境外输入,2022-04-20,4579,1,4559,4,0,0,0
上海,境外输入,2022-04-19,4578,1,4555,3,0,0,0
上海,境外输入,2022-04-18,4577,0,4552,6,0,0,0
上海,境外输入,2022-04-17,4577,3,4546,0,0,0,0
上海,境外输入,2022-04-16,4574,2,4546,4,0,0,0
上海,境外输入,2022-04-15,4572,4,4542,6,0,0,0
上海,境外输入,2022-04-14,4568,0,4536,6,0,0,0
上海,境外输入,2022-04-13,4568,0,4530,4,0,0,0
上海,境外输入,2022-04-12,4568,1,4526,7,0,0,0
上海,境外输入,2022-04-11,4567,4,4519,12,0,0,0
上海,境外输入,2022-04-10,4563,3,4507,7,0,0,0
上海,境外输入,2022-04-09,4560,9,4500,10,0,0,0
上海,境外输入,2022-04-08,4551,2,4490,9,0,0,0
上海,境外输入,2022-04-07,4549,4,4481,10,0,0,0
上海,境外输入,2022-04-06,4545,7,4471,15,0,0,0
上海,境外输入,2022-04-05,4538,4,4456,-9,0,0,0
上海,境外输入,2022-04-04,4534,3,4465,6,0,0,0
上海,境外输入,2022-04-03,4531,8,4459,30,0,0,0
上海,境外输入,2022-04-02,4523,6,4429,9,0,0,0
上海,境外输入,2022-04-01,4517,2,4420,16,0,0,0
上海,境外输入,2022-03-31,4515,7,4404,14,0,0,0
上海,境外输入,2022-03-30,4508,3,4390,9,0,0,0
上海,境外输入,2022-03-29,4505,3,4381,15,0,0,0
上海,境外输入,2022-03-28,4502,11,4366,11,0,0,0
上海,境外输入,2022-03-27,4491,10,4355,19,0,0,0
上海,境外输入,2022-03-26,4481,6,4336,16,0,0,0
上海,境外输入,2022-03-25,4475,9,4320,8,0,0,0
上海,境外输入,2022-03-24,4466,12,4312,37,0,0,0
上海,境外输入,2022-03-23,4454,10,4275,54,0,0,0
上海,境外输入,2022-03-22,4444,10,4221,17,0,0,0
上海,境外输入,2022-03-21,4434,8,4204,132,0,0,0
上海,境外输入,2022-03-20,4426,17,4072,43,0,0,0
上海,境外输入,2022-03-19,4409,5,4029,107,0,0,0
上海,境外输入,2022-03-18,4404,12,3922,26,0,0,0
上海,境外输入,2022-03-17,4392,10,3896,54,0,0,0
上海,境外输入,2022-03-16,4382,15,3842,33,0,0,0
上海,境外输入,2022-03-15,4367,10,3809,33,0,0,0
上海,境外输入,2022-03-14,4357,12,3776,15,0,0,0
上海,境外输入,2022-03-13,4345,16,3761,33,0,0,0
上海,境外输入,2022-03-12,4329,13,3728,26,0,0,0
上海,境外输入,2022-03-11,4316,22,3702,20,0,0,0
上海,境外输入,2022-03-10,4294,32,3682,17,0,0,0
上海,境外输入,2022-03-09,4262,42,3665,18,0,0,0
上海,境外输入,2022-03-08,4220,26,3647,32,0,0,0
上海,境外输入,2022-03-07,4194,36,3615,27,0,0,0
上海,境外输入,2022-03-06,4158,32,3588,65,0,0,0
上海,境外输入,2022-03-05,4126,25,3523,8,0,0,0
上海,境外输入,2022-03-04,4101,24,3515,12,0,0,0
上海,境外输入,2022-03-03,4077,43,3503,9,0,0,0
上海,境外输入,2022-03-02,4034,39,3494,8,0,0,0
上海,境外输入,2022-03-01,3995,37,3486,8,0,0,0
上海,境外输入,2022-02-28,3958,40,3478,12,0,0,0
上海,境外输入,2022-02-27,3918,45,3466,10,0,0,0
上海,境外输入,2022-02-26,3873,43,3456,11,0,0,0
上海,境外输入,2022-02-25,3830,55,3445,10,0,0,0
上海,境外输入,2022-02-24,3775,59,3435,8,0,0,0
上海,境外输入,2022-02-23,3716,24,3427,8,0,0,0
上海,境外输入,2022-02-22,3692,49,3419,9,0,0,0
上海,境外输入,2022-02-21,3643,32,3410,7,0,0,0
上海,境外输入,2022-02-20,3611,27,3403,3,0,0,0
上海,境外输入,2022-02-19,3584,23,3400,13,0,0,0
上海,境外输入,2022-02-18,3561,18,3387,11,0,0,0
上海,境外输入,2022-02-17,3543,13,3376,16,0,0,0
上海,境外输入,2022-02-16,3530,9,3360,18,0,0,0
上海,境外输入,2022-02-15,3521,13,3342,11,0,0,0
上海,境外输入,2022-02-14,3508,6,3331,13,0,0,0
上海,境外输入,2022-02-13,3502,8,3318,18,0,0,0
上海,境外输入,2022-02-12,3494,9,3300,11,0,0,0
上海,境外输入,2022-02-11,3485,7,3289,9,0,0,0
上海,境外输入,2022-02-10,3478,12,3280,29,0,0,0
上海,境外输入,2022-02-09,3466,8,3251,21,0,0,0
上海,境外输入,2022-02-08,3458,9,3230,14,0,0,0
上海,境外输入,2022-02-07,3449,15,3216,14,0,0,0
上海,境外输入,2022-02-06,3434,8,3202,16,0,0,0
上海,境外输入,2022-02-05,3426,12,3186,21,0,0,0
上海,境外输入,2022-02-04,3414,7,3165,16,0,0,0
上海,境外输入,2022-02-03,3407,7,3149,10,0,0,0
上海,境外输入,2022-02-02,3400,9,3139,11,0,0,0
上海,境外输入,2022-02-01,3391,18,3128,38,0,0,0
上海,境外输入,2022-01-31,3373,18,3090,25,0,0,0
上海,境外输入,2022-01-30,3355,10,3065,23,0,0,0
上海,境外输入,2022-01-29,3345,10,3042,30,0,0,0
上海,境外输入,2022-01-28,3335,10,3012,29,0,0,0
上海,境外输入,2022-01-27,3325,7,2983,28,0,0,0
上海,境外输入,2022-01-26,3318,20,2955,36,0,0,0
上海,境外输入,2022-01-25,3298,10,2919,20,0,0,0
上海,境外输入,2022-01-24,3288,10,2899,13,0,0,0
上海,境外输入,2022-01-23,3278,22,2886,44,0,0,0
上海,境外输入,2022-01-22,3256,13,2842,38,0,0,0
上海,境外输入,2022-01-21,3243,22,2804,29,0,0,0
上海,境外输入,2022-01-20,3221,28,2775,47,0,0,0
上海,境外输入,2022-01-19,3193,14,2728,16,0,0,0
上海,境外输入,2022-01-18,3179,15,2712,13,0,0,0
上海,境外输入,2022-01-17,3164,17,2699,13,0,0,0
上海,境外输入,2022-01-16,3147,35,2686,10,0,0,0
上海,境外输入,2022-01-15,3112,24,2676,6,0,0,0
上海,境外输入,2022-01-14,3088,43,2670,8,0,0,0
上海,境外输入,2022-01-13,3045,30,2662,8,0,0,0
上海,境外输入,2022-01-12,3015,31,2654,18,0,0,0
上海,境外输入,2022-01-11,2984,20,2636,12,0,0,0
上海,境外输入,2022-01-10,2964,27,2624,4,0,0,0
上海,境外输入,2022-01-09,2937,26,2620,10,0,0,0
上海,境外输入,2022-01-08,2911,30,2610,9,0,0,0
上海,境外输入,2022-01-07,2881,32,2601,14,0,0,0
上海,境外输入,2022-01-06,2849,24,2587,3,0,0,0
上海,境外输入,2022-01-05,2825,20,2584,14,0,0,0
上海,境外输入,2022-01-04,2805,17,2570,8,0,0,0
上海,境外输入,2022-01-03,2788,29,2562,8,0,0,0
上海,境外输入,2022-01-02,2759,26,2554,7,0,0,0
上海,境外输入,2022-01-01,2733,18,2547,11,0,0,0
上海,境外输入,2021-12-31,2715,10,2536,5,0,0,0
上海,境外输入,2021-12-30,2705,9,2531,3,0,0,0
上海,境外输入,2021-12-29,2696,17,2528,5,0,0,0
上海,境外输入,2021-12-28,2679,11,2523,4,0,0,0
上海,境外输入,2021-12-27,2668,8,2519,8,0,0,0
上海,境外输入,2021-12-26,2660,11,2511,5,0,0,0
上海,境外输入,2021-12-25,2649,18,2506,7,0,0,0
上海,境外输入,2021-12-24,2631,15,2499,6,0,0,0
上海,境外输入,2021-12-23,2616,8,2493,2,0,0,0
上海,境外输入,2021-12-22,2608,11,2491,5,0,0,0
上海,境外输入,2021-12-21,2597,5,2486,2,0,0,0
上海,境外输入,2021-12-20,2592,5,2484,3,0,0,0
上海,境外输入,2021-12-19,2587,16,2481,5,0,0,0
上海,境外输入,2021-12-18,2571,14,2476,1,0,0,0
上海,境外输入,2021-12-17,2557,12,2475,4,0,0,0
上海,境外输入,2021-12-16,2545,3,2471,0,0,0,0
上海,境外输入,2021-12-15,2542,2,2471,2,0,0,0
上海,境外输入,2021-12-14,2540,3,2469,2,0,0,0
上海,境外输入,2021-12-13,2537,6,2467,2,0,0,0
上海,境外输入,2021-12-12,2531,5,2465,3,0,0,0
上海,境外输入,2021-12-11,2526,8,2462,2,0,0,0
上海,境外输入,2021-12-10,2518,6,2460,9,0,0,0
上海,境外输入,2021-12-09,2512,1,2451,5,0,0,0
上海,境外输入,2021-12-08,2511,2,2446,5,0,0,0
上海,境外输入,2021-12-07,2509,8,2441,2,0,0,0
上海,境外输入,2021-12-06,2501,5,2439,10,0,0,0
上海,境外输入,2021-12-05,2496,5,2429,3,0,0,0
上海,境外输入,2021-12-04,2491,4,2426,4,0,0,0
上海,境外输入,2021-12-03,2487,6,2422,4,0,0,0
上海,境外输入,2021-12-02,2481,6,2418,7,0,0,0
上海,境外输入,2021-12-01,2475,3,2411,3,0,0,0
上海,境外输入,2021-11-30,2472,3,2408,0,0,0,0
