省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
上海,外地,2022-05-11,114,0,113,0,1,0,0
上海,外地,2022-05-10,114,0,113,0,1,0,0
上海,外地,2022-05-09,114,0,113,0,1,0,0
上海,外地,2022-05-08,114,0,113,0,1,0,0
上海,外地,2022-05-07,114,0,113,0,1,0,0
上海,外地,2022-05-06,114,0,113,0,1,0,0
上海,外地,2022-05-05,114,0,113,0,1,0,0
上海,外地,2022-05-04,114,0,113,0,1,0,0
上海,外地,2022-05-03,114,0,113,0,1,0,0
上海,外地,2022-05-02,114,0,113,0,1,0,0
上海,外地,2022-05-01,114,0,113,0,1,0,0
上海,外地,2022-04-30,114,0,113,0,1,0,0
上海,外地,2022-04-29,114,0,113,0,1,0,0
上海,外地,2022-04-28,114,0,113,0,1,0,0
上海,外地,2022-04-27,114,0,113,0,1,0,0
上海,外地,2022-04-26,114,0,113,0,1,0,0
上海,外地,2022-04-25,114,0,113,0,1,0,0
上海,外地,2022-04-24,114,0,113,0,1,0,0
上海,外地,2022-04-23,114,0,113,0,1,0,0
上海,外地,2022-04-22,114,0,113,0,1,0,0
上海,外地,2022-04-21,114,0,113,0,1,0,0
上海,外地,2022-04-20,114,0,113,0,1,0,0
上海,外地,2022-04-19,114,0,113,0,1,0,0
上海,外地,2022-04-18,114,0,113,0,1,0,0
上海,外地,2022-04-17,114,0,113,0,1,0,0
上海,外地,2022-04-16,114,0,113,0,1,0,0
上海,外地,2022-04-15,114,0,113,0,1,0,0
上海,外地,2022-04-14,114,0,113,0,1,0,0
上海,外地,2022-04-13,114,0,113,0,1,0,0
上海,外地,2022-04-12,114,0,113,0,1,0,0
上海,外地,2022-04-11,114,0,113,0,1,0,0
上海,外地,2022-04-10,114,0,113,0,1,0,0
上海,外地,2022-04-09,114,0,113,0,1,0,0
上海,外地,2022-04-08,114,0,113,0,1,0,0
上海,外地,2022-04-07,114,0,113,0,1,0,0
上海,外地,2022-04-06,114,0,113,0,1,0,0
上海,外地,2022-04-05,114,0,113,0,1,0,0
上海,外地,2022-04-04,114,0,113,0,1,0,0
上海,外地,2022-04-03,114,0,113,0,1,0,0
上海,外地,2022-04-02,114,0,113,0,1,0,0
上海,外地,2022-04-01,114,0,113,0,1,0,0
上海,外地,2022-03-31,114,0,113,0,1,0,0
上海,外地,2022-03-30,114,0,113,0,1,0,0
上海,外地,2022-03-29,114,0,113,0,1,0,0
上海,外地,2022-03-28,114,0,113,0,1,0,0
上海,外地,2022-03-27,114,0,113,0,1,0,0
上海,外地,2022-03-26,114,0,113,0,1,0,0
上海,外地,2022-03-25,114,0,113,0,1,0,0
上海,外地,2022-03-24,114,0,113,0,1,0,0
上海,外地,2022-03-23,114,0,113,0,1,0,0
上海,外地,2022-03-22,114,0,113,0,1,0,0
上海,外地,2022-03-21,114,0,113,0,1,0,0
上海,外地,2022-03-20,114,0,113,0,1,0,0
上海,外地,2022-03-19,114,0,113,0,1,0,0
上海,外地,2022-03-18,114,0,113,0,1,0,0
上海,外地,2022-03-17,114,0,113,0,1,0,0
上海,外地,2022-03-16,114,0,113,0,1,0,0
上海,外地,2022-03-15,114,0,113,0,1,0,0
上海,外地,2022-03-14,114,0,113,0,1,0,0
上海,外地,2022-03-13,114,0,113,0,1,0,0
上海,外地,2022-03-12,114,0,113,0,1,0,0
上海,外地,2022-03-11,114,0,113,0,1,0,0
上海,外地,2022-03-10,114,0,113,0,1,0,0
上海,外地,2022-03-09,114,0,113,0,1,0,0
上海,外地,2022-03-08,114,0,113,0,1,0,0
上海,外地,2022-03-07,114,0,113,0,1,0,0
上海,外地,2022-03-06,114,0,113,0,1,0,0
上海,外地,2022-03-05,114,0,113,0,1,0,0
上海,外地,2022-03-04,114,0,113,0,1,0,0
上海,外地,2022-03-03,114,0,113,0,1,0,0
上海,外地,2022-03-02,114,0,113,0,1,0,0
上海,外地,2022-03-01,114,0,113,0,1,0,0
上海,外地,2022-02-28,114,0,113,0,1,0,0
上海,外地,2022-02-27,114,0,113,0,1,0,0
上海,外地,2022-02-26,114,0,113,0,1,0,0
上海,外地,2022-02-25,114,0,113,0,1,0,0
上海,外地,2022-02-24,114,0,113,0,1,0,0
上海,外地,2022-02-23,114,0,113,0,1,0,0
上海,外地,2022-02-22,114,0,113,0,1,0,0
上海,外地,2022-02-21,114,0,113,0,1,0,0
上海,外地,2022-02-20,114,0,113,0,1,0,0
上海,外地,2022-02-19,114,0,113,0,1,0,0
上海,外地,2022-02-18,114,0,113,0,1,0,0
上海,外地,2022-02-17,114,0,113,0,1,0,0
上海,外地,2022-02-16,114,0,113,0,1,0,0
上海,外地,2022-02-15,114,0,113,0,1,0,0
上海,外地,2022-02-14,114,0,113,0,1,0,0
上海,外地,2022-02-13,114,0,113,0,1,0,0
上海,外地,2022-02-12,114,0,113,0,1,0,0
上海,外地,2022-02-11,114,0,113,0,1,0,0
上海,外地,2022-02-10,114,0,113,0,1,0,0
上海,外地,2022-02-09,114,0,113,0,1,0,0
上海,外地,2022-02-08,114,0,113,0,1,0,0
上海,外地,2022-02-07,114,0,113,0,1,0,0
上海,外地,2022-02-06,114,0,113,0,1,0,0
上海,外地,2022-02-05,114,0,113,0,1,0,0
上海,外地,2022-02-04,114,0,113,0,1,0,0
上海,外地,2022-02-03,114,0,113,0,1,0,0
上海,外地,2022-02-02,114,0,113,0,1,0,0
上海,外地,2022-02-01,114,0,113,0,1,0,0
上海,外地,2022-01-31,114,0,113,0,1,0,0
上海,外地,2022-01-30,114,0,113,0,1,0,0
上海,外地,2022-01-29,114,0,113,0,1,0,0
上海,外地,2022-01-28,114,0,113,0,1,0,0
上海,外地,2022-01-27,114,0,113,0,1,0,0
上海,外地,2022-01-26,114,0,113,0,1,0,0
上海,外地,2022-01-25,114,0,113,0,1,0,0
上海,外地,2022-01-24,114,0,113,0,1,0,0
上海,外地,2022-01-23,114,0,113,0,1,0,0
上海,外地,2022-01-22,114,0,113,0,1,0,0
上海,外地,2022-01-21,114,0,113,0,1,0,0
上海,外地,2022-01-20,114,0,113,0,1,0,0
上海,外地,2022-01-19,114,0,113,0,1,0,0
上海,外地,2022-01-18,114,0,113,0,1,0,0
上海,外地,2022-01-17,114,0,113,0,1,0,0
上海,外地,2022-01-16,114,0,113,0,1,0,0
上海,外地,2022-01-15,114,0,113,0,1,0,0
上海,外地,2022-01-14,114,0,113,0,1,0,0
上海,外地,2022-01-13,114,0,113,0,1,0,0
上海,外地,2022-01-12,114,0,113,0,1,0,0
上海,外地,2022-01-11,114,0,113,0,1,0,0
上海,外地,2022-01-10,114,0,113,0,1,0,0
上海,外地,2022-01-09,114,0,113,0,1,0,0
上海,外地,2022-01-08,114,0,113,0,1,0,0
上海,外地,2022-01-07,114,0,113,0,1,0,0
上海,外地,2022-01-06,114,0,113,0,1,0,0
上海,外地,2022-01-05,114,0,113,0,1,0,0
上海,外地,2022-01-04,114,0,113,0,1,0,0
上海,外地,2022-01-03,114,0,113,0,1,0,0
上海,外地,2022-01-02,114,0,113,0,1,0,0
上海,外地,2022-01-01,114,0,113,0,1,0,0
上海,外地,2021-12-31,114,0,113,0,1,0,0
上海,外地,2021-12-30,114,0,113,0,1,0,0
上海,外地,2021-12-29,114,0,113,0,1,0,0
上海,外地,2021-12-28,114,0,113,0,1,0,0
上海,外地,2021-12-27,114,0,113,0,1,0,0
上海,外地,2021-12-26,114,0,113,0,1,0,0
上海,外地,2021-12-25,114,0,113,0,1,0,0
上海,外地,2021-12-24,114,0,113,0,1,0,0
上海,外地,2021-12-23,114,0,113,0,1,0,0
上海,外地,2021-12-22,114,0,113,0,1,0,0
上海,外地,2021-12-21,114,0,113,0,1,0,0
上海,外地,2021-12-20,114,0,113,0,1,0,0
上海,外地,2021-12-19,114,0,113,0,1,0,0
上海,外地,2021-12-18,114,0,113,0,1,0,0
上海,外地,2021-12-17,114,0,113,0,1,0,0
上海,外地,2021-12-16,114,0,113,0,1,0,0
上海,外地,2021-12-15,114,0,113,0,1,0,0
上海,外地,2021-12-14,114,0,113,0,1,0,0
上海,外地,2021-12-13,114,0,113,0,1,0,0
上海,外地,2021-12-12,114,0,113,0,1,0,0
上海,外地,2021-12-11,114,0,113,0,1,0,0
上海,外地,2021-12-10,114,0,113,0,1,0,0
上海,外地,2021-12-09,114,0,113,0,1,0,0
上海,外地,2021-12-08,114,0,113,0,1,0,0
上海,外地,2021-12-07,114,0,113,0,1,0,0
上海,外地,2021-12-06,114,0,113,0,1,0,0
上海,外地,2021-12-05,114,0,113,0,1,0,0
上海,外地,2021-12-04,114,0,113,0,1,0,0
上海,外地,2021-12-03,114,0,113,0,1,0,0
上海,外地,2021-12-02,114,0,113,0,1,0,0
上海,外地,2021-12-01,114,0,113,0,1,0,0
上海,外地,2021-11-30,114,0,113,0,1,0,0
上海,外地,2021-11-29,114,0,113,0,1,0,0
上海,外地,2021-11-28,114,0,113,0,1,0,0
上海,外地,2021-11-27,114,0,113,0,1,0,0
上海,外地,2021-11-26,114,0,113,0,1,0,0
上海,外地,2021-11-25,114,0,113,0,1,0,0
上海,外地,2021-11-24,114,0,113,0,1,0,0
上海,外地,2021-11-23,114,0,113,0,1,0,0
上海,外地,2021-11-22,114,0,113,0,1,0,0
上海,外地,2021-11-21,114,0,113,0,1,0,0
上海,外地,2021-11-20,114,0,113,0,1,0,0
上海,外地,2021-11-19,114,0,113,0,1,0,0
上海,外地,2021-11-18,114,0,113,0,1,0,0
上海,外地,2021-11-17,114,0,113,0,1,0,0
上海,外地,2021-11-16,114,0,113,0,1,0,0
上海,外地,2021-11-15,114,0,113,0,1,0,0
上海,外地,2021-11-14,114,0,113,0,1,0,0
上海,外地,2021-11-13,114,0,113,0,1,0,0
上海,外地,2021-11-12,114,0,113,0,1,0,0
上海,外地,2021-11-11,114,0,113,0,1,0,0
上海,外地,2021-11-10,114,0,113,0,1,0,0
上海,外地,2021-11-09,114,0,113,0,1,0,0
上海,外地,2021-11-08,114,0,113,0,1,0,0
上海,外地,2021-11-07,114,0,113,0,1,0,0
上海,外地,2021-11-06,114,0,113,0,1,0,0
上海,外地,2021-11-05,114,0,113,0,1,0,0
上海,外地,2021-11-04,114,0,113,0,1,0,0
上海,外地,2021-11-03,114,0,113,0,1,0,0
上海,外地,2021-11-02,114,0,113,0,1,0,0
上海,外地,2021-11-01,114,0,113,0,1,0,0
上海,外地,2021-10-31,114,0,113,0,1,0,0
上海,外地,2021-10-30,114,0,113,0,1,0,0
上海,外地,2021-10-29,114,0,113,0,1,0,0
