省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
上海,宝山区,2022-05-11,2961,11,2694,41,1,0,118
上海,宝山区,2022-05-10,2950,11,2653,57,1,0,131
上海,宝山区,2022-05-09,2939,25,2596,85,1,0,137
上海,宝山区,2022-05-08,2914,25,2511,72,1,0,307
上海,宝山区,2022-05-07,2889,33,2439,92,1,0,312
上海,宝山区,2022-05-06,2856,21,2347,76,1,0,481
上海,宝山区,2022-05-05,2835,19,2271,116,1,0,481
上海,宝山区,2022-05-04,2816,19,2155,432,1,0,440
上海,宝山区,2022-05-03,2797,34,1723,-193,1,0,586
上海,宝山区,2022-05-02,2763,33,1916,286,1,0,603
上海,宝山区,2022-05-01,2730,94,1630,358,1,0,878
上海,宝山区,2022-04-30,2636,112,1272,223,1,0,1021
上海,宝山区,2022-04-29,2524,130,1049,189,1,0,1067
上海,宝山区,2022-04-28,2394,277,860,118,1,0,966
上海,宝山区,2022-04-27,2117,52,742,64,1,0,1063
上海,宝山区,2022-04-26,2065,295,678,55,1,0,1681
上海,宝山区,2022-04-25,1770,216,623,0,1,0,1570
上海,宝山区,2022-04-24,1554,135,623,90,1,0,2371
上海,宝山区,2022-04-23,1419,135,533,46,1,0,2751
上海,宝山区,2022-04-22,1284,179,487,111,1,0,1854
上海,宝山区,2022-04-21,1105,136,376,16,1,0,842
上海,宝山区,2022-04-20,969,107,360,32,1,0,726
上海,宝山区,2022-04-19,862,41,328,34,1,0,916
上海,宝山区,2022-04-18,821,203,294,34,1,0,827
上海,宝山区,2022-04-17,618,85,260,14,1,0,1365
上海,宝山区,2022-04-16,533,51,246,25,1,0,1242
上海,宝山区,2022-04-15,482,74,221,23,1,0,1249
上海,宝山区,2022-04-14,408,50,198,30,1,0,367
上海,宝山区,2022-04-13,358,13,168,35,1,0,638
上海,宝山区,2022-04-12,345,16,133,46,1,0,279
上海,宝山区,2022-04-11,329,47,87,14,1,0,51
上海,宝山区,2022-04-10,282,21,73,9,1,0,1805
上海,宝山区,2022-04-09,261,35,64,10,1,0,2225
上海,宝山区,2022-04-08,226,30,54,11,1,0,2758
上海,宝山区,2022-04-07,196,10,43,7,1,0,407
上海,宝山区,2022-04-06,186,9,36,4,1,0,653
上海,宝山区,2022-04-05,177,7,32,1,1,0,548
上海,宝山区,2022-04-04,170,1,31,0,1,0,267
上海,宝山区,2022-04-03,169,31,31,0,1,0,431
上海,宝山区,2022-04-02,138,35,31,0,1,0,445
上海,宝山区,2022-04-01,103,10,31,1,1,0,36
上海,宝山区,2022-03-31,93,3,30,0,1,0,14
上海,宝山区,2022-03-30,90,1,30,2,1,0,506
上海,宝山区,2022-03-29,89,33,28,1,1,0,329
上海,宝山区,2022-03-28,56,8,27,0,1,0,304
上海,宝山区,2022-03-27,48,5,27,0,1,0,89
上海,宝山区,2022-03-26,43,6,27,0,1,0,147
上海,宝山区,2022-03-25,37,0,27,1,1,0,4
上海,宝山区,2022-03-24,37,3,26,0,1,0,84
上海,宝山区,2022-03-23,34,0,26,1,1,0,69
上海,宝山区,2022-03-22,34,0,25,0,1,0,16
上海,宝山区,2022-03-21,34,0,25,0,1,0,66
上海,宝山区,2022-03-20,34,0,25,0,1,0,13
上海,宝山区,2022-03-19,34,1,25,0,1,0,16
上海,宝山区,2022-03-18,33,1,25,0,1,0,26
上海,宝山区,2022-03-17,32,5,25,0,1,0,9
上海,宝山区,2022-03-16,27,0,25,0,1,0,11
上海,宝山区,2022-03-15,27,0,25,0,1,0,11
上海,宝山区,2022-03-14,27,0,25,0,1,0,2
上海,宝山区,2022-03-13,27,0,25,0,1,0,3
上海,宝山区,2022-03-12,27,0,25,0,1,0,3
上海,宝山区,2022-03-11,27,1,25,0,1,0,7
上海,宝山区,2022-03-10,26,0,25,0,1,0,11
上海,宝山区,2022-03-09,26,0,25,0,1,0,2
上海,宝山区,2022-03-08,26,0,25,0,1,0,11
上海,宝山区,2022-03-07,26,0,25,0,1,0,5
上海,宝山区,2022-03-06,26,0,25,0,1,0,6
上海,宝山区,2022-03-05,26,0,25,0,1,0,2
上海,宝山区,2022-03-04,26,0,25,0,1,0,1
上海,宝山区,2022-03-03,26,0,25,0,1,0,2
上海,宝山区,2022-03-02,26,0,25,0,1,0,1
上海,宝山区,2022-03-01,26,0,25,0,1,0,0
上海,宝山区,2022-02-28,26,0,25,0,1,0,0
上海,宝山区,2022-02-27,26,0,25,0,1,0,0
上海,宝山区,2022-02-26,26,0,25,0,1,0,0
上海,宝山区,2022-02-25,26,0,25,0,1,0,0
上海,宝山区,2022-02-24,26,0,25,0,1,0,0
上海,宝山区,2022-02-23,26,0,25,0,1,0,0
上海,宝山区,2022-02-22,26,0,25,0,1,0,0
上海,宝山区,2022-02-21,26,0,25,0,1,0,0
上海,宝山区,2022-02-20,26,0,25,0,1,0,0
上海,宝山区,2022-02-19,26,0,25,0,1,0,0
上海,宝山区,2022-02-18,26,0,25,0,1,0,0
上海,宝山区,2022-02-17,26,0,25,0,1,0,0
上海,宝山区,2022-02-16,26,0,25,0,1,0,0
上海,宝山区,2022-02-15,26,0,25,0,1,0,0
上海,宝山区,2022-02-14,26,0,25,0,1,0,0
上海,宝山区,2022-02-13,26,0,25,0,1,0,0
上海,宝山区,2022-02-12,26,0,25,0,1,0,0
上海,宝山区,2022-02-11,26,0,25,0,1,0,0
上海,宝山区,2022-02-10,26,0,25,0,1,0,0
上海,宝山区,2022-02-09,26,0,25,0,1,0,0
上海,宝山区,2022-02-08,26,0,25,0,1,0,0
上海,宝山区,2022-02-07,26,0,25,0,1,0,0
上海,宝山区,2022-02-06,26,0,25,0,1,0,0
上海,宝山区,2022-02-05,26,0,25,0,1,0,0
上海,宝山区,2022-02-04,26,0,25,0,1,0,0
上海,宝山区,2022-02-03,26,0,25,0,1,0,0
上海,宝山区,2022-02-02,26,0,25,0,1,0,0
上海,宝山区,2022-02-01,26,0,25,0,1,0,0
上海,宝山区,2022-01-31,26,0,25,0,1,0,0
上海,宝山区,2022-01-30,26,0,25,0,1,0,0
上海,宝山区,2022-01-29,26,0,25,0,1,0,0
上海,宝山区,2022-01-28,26,0,25,0,1,0,0
上海,宝山区,2022-01-27,26,0,25,0,1,0,0
上海,宝山区,2022-01-26,26,0,25,0,1,0,0
上海,宝山区,2022-01-25,26,0,25,0,1,0,0
上海,宝山区,2022-01-24,26,0,25,0,1,0,0
上海,宝山区,2022-01-23,26,0,25,0,1,0,0
上海,宝山区,2022-01-22,26,0,25,0,1,0,0
上海,宝山区,2022-01-21,26,0,25,0,1,0,0
上海,宝山区,2022-01-20,26,0,25,0,1,0,0
上海,宝山区,2022-01-19,26,0,25,0,1,0,0
上海,宝山区,2022-01-18,26,0,25,0,1,0,0
上海,宝山区,2022-01-17,26,0,25,0,1,0,0
上海,宝山区,2022-01-16,26,0,25,0,1,0,0
上海,宝山区,2022-01-15,26,0,25,0,1,0,0
上海,宝山区,2022-01-14,26,0,25,0,1,0,0
上海,宝山区,2022-01-13,26,0,25,0,1,0,0
上海,宝山区,2022-01-12,26,0,25,0,1,0,0
上海,宝山区,2022-01-11,26,0,25,0,1,0,0
上海,宝山区,2022-01-10,26,0,25,0,1,0,0
上海,宝山区,2022-01-09,26,0,25,0,1,0,0
上海,宝山区,2022-01-08,26,0,25,0,1,0,0
上海,宝山区,2022-01-07,26,0,25,0,1,0,0
上海,宝山区,2022-01-06,26,0,25,0,1,0,0
