省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
上海,崇明区,2022-05-11,392,0,383,4,0,0,4
上海,崇明区,2022-05-10,392,0,379,0,0,0,8
上海,崇明区,2022-05-09,392,3,379,4,0,0,6
上海,崇明区,2022-05-08,389,3,375,13,0,0,13
上海,崇明区,2022-05-07,386,0,362,13,0,0,51
上海,崇明区,2022-05-06,386,1,349,19,0,0,99
上海,崇明区,2022-05-05,385,3,330,15,0,0,47
上海,崇明区,2022-05-04,382,1,315,179,0,0,55
上海,崇明区,2022-05-03,381,0,136,-45,0,0,99
上海,崇明区,2022-05-02,381,0,181,49,0,0,135
上海,崇明区,2022-05-01,381,1,132,53,0,0,75
上海,崇明区,2022-04-30,380,1,79,14,0,0,307
上海,崇明区,2022-04-29,379,0,65,13,0,0,269
上海,崇明区,2022-04-28,379,3,52,4,0,0,35
上海,崇明区,2022-04-27,376,26,48,7,0,0,173
上海,崇明区,2022-04-26,350,14,41,6,0,0,453
上海,崇明区,2022-04-25,336,36,35,4,0,0,438
上海,崇明区,2022-04-24,300,27,31,2,0,0,68
上海,崇明区,2022-04-23,273,26,29,1,0,0,182
上海,崇明区,2022-04-22,247,14,28,6,0,0,103
上海,崇明区,2022-04-21,233,24,22,-2,0,0,96
上海,崇明区,2022-04-20,209,8,24,2,0,0,57
上海,崇明区,2022-04-19,201,25,22,4,0,0,55
上海,崇明区,2022-04-18,176,5,18,2,0,0,21
上海,崇明区,2022-04-17,171,9,16,0,0,0,43
上海,崇明区,2022-04-16,162,13,16,1,0,0,36
上海,崇明区,2022-04-15,149,51,15,3,0,0,41
上海,崇明区,2022-04-14,98,29,12,1,0,0,31
上海,崇明区,2022-04-13,69,7,11,1,0,0,56
上海,崇明区,2022-04-12,62,29,10,0,0,0,57
上海,崇明区,2022-04-11,33,6,10,0,0,0,35
上海,崇明区,2022-04-10,27,0,10,0,0,0,54
上海,崇明区,2022-04-09,27,6,10,2,0,0,167
上海,崇明区,2022-04-08,21,3,8,0,0,0,169
上海,崇明区,2022-04-07,18,2,8,0,0,0,260
上海,崇明区,2022-04-06,16,0,8,0,0,0,63
上海,崇明区,2022-04-05,16,2,8,0,0,0,76
上海,崇明区,2022-04-04,14,0,8,0,0,0,49
上海,崇明区,2022-04-03,14,1,8,0,0,0,143
上海,崇明区,2022-04-02,13,3,8,2,0,0,108
上海,崇明区,2022-04-01,10,1,6,0,0,0,83
上海,崇明区,2022-03-31,9,1,6,0,0,0,42
上海,崇明区,2022-03-30,8,0,6,0,0,0,195
上海,崇明区,2022-03-29,8,1,6,0,0,0,55
上海,崇明区,2022-03-28,7,0,6,0,0,0,68
上海,崇明区,2022-03-27,7,0,6,0,0,0,237
上海,崇明区,2022-03-26,7,0,6,1,0,0,27
上海,崇明区,2022-03-25,7,0,5,0,0,0,41
上海,崇明区,2022-03-24,7,0,5,0,0,0,82
上海,崇明区,2022-03-23,7,0,5,0,0,0,54
上海,崇明区,2022-03-22,7,0,5,0,0,0,19
上海,崇明区,2022-03-21,7,2,5,1,0,0,38
上海,崇明区,2022-03-20,5,0,4,0,0,0,12
上海,崇明区,2022-03-19,5,1,4,0,0,0,22
上海,崇明区,2022-03-18,4,0,4,0,0,0,0
上海,崇明区,2022-03-17,4,0,4,0,0,0,3
上海,崇明区,2022-03-16,4,0,4,0,0,0,0
上海,崇明区,2022-03-15,4,0,4,0,0,0,0
上海,崇明区,2022-03-14,4,0,4,0,0,0,0
上海,崇明区,2022-03-13,4,0,4,0,0,0,0
上海,崇明区,2022-03-12,4,0,4,0,0,0,0
上海,崇明区,2022-03-11,4,0,4,0,0,0,0
上海,崇明区,2022-03-10,4,0,4,0,0,0,0
上海,崇明区,2022-03-09,4,0,4,0,0,0,0
上海,崇明区,2022-03-08,4,0,4,0,0,0,0
上海,崇明区,2022-03-07,4,0,4,0,0,0,0
上海,崇明区,2022-03-06,4,0,4,0,0,0,0
上海,崇明区,2022-03-05,4,0,4,0,0,0,0
上海,崇明区,2022-03-04,4,0,4,0,0,0,0
上海,崇明区,2022-03-03,4,0,4,0,0,0,0
上海,崇明区,2022-03-02,4,0,4,0,0,0,0
上海,崇明区,2022-03-01,4,0,4,0,0,0,0
上海,崇明区,2022-02-28,4,0,4,0,0,0,0
上海,崇明区,2022-02-27,4,0,4,0,0,0,0
上海,崇明区,2022-02-26,4,0,4,0,0,0,0
上海,崇明区,2022-02-25,4,0,4,0,0,0,0
上海,崇明区,2022-02-24,4,0,4,0,0,0,0
上海,崇明区,2022-02-23,4,0,4,0,0,0,0
上海,崇明区,2022-02-22,4,0,4,0,0,0,0
上海,崇明区,2022-02-21,4,0,4,0,0,0,0
上海,崇明区,2022-02-20,4,0,4,0,0,0,0
上海,崇明区,2022-02-19,4,0,4,0,0,0,0
上海,崇明区,2022-02-18,4,0,4,0,0,0,0
上海,崇明区,2022-02-17,4,0,4,0,0,0,0
上海,崇明区,2022-02-16,4,0,4,0,0,0,0
上海,崇明区,2022-02-15,4,0,4,0,0,0,0
上海,崇明区,2022-02-14,4,0,4,0,0,0,0
上海,崇明区,2022-02-13,4,0,4,0,0,0,0
上海,崇明区,2022-02-12,4,0,4,0,0,0,0
上海,崇明区,2022-02-11,4,0,4,0,0,0,0
上海,崇明区,2022-02-10,4,0,4,0,0,0,0
上海,崇明区,2022-02-09,4,0,4,0,0,0,0
上海,崇明区,2022-02-08,4,0,4,0,0,0,0
上海,崇明区,2022-02-07,4,0,4,0,0,0,0
上海,崇明区,2022-02-06,4,0,4,0,0,0,0
上海,崇明区,2022-02-05,4,0,4,0,0,0,0
上海,崇明区,2022-02-04,4,0,4,0,0,0,0
上海,崇明区,2022-02-03,4,0,4,0,0,0,0
上海,崇明区,2022-02-02,4,0,4,0,0,0,0
上海,崇明区,2022-02-01,4,0,4,0,0,0,0
上海,崇明区,2022-01-31,4,0,4,0,0,0,0
上海,崇明区,2022-01-30,4,0,4,0,0,0,0
上海,崇明区,2022-01-29,4,0,4,0,0,0,0
上海,崇明区,2022-01-28,4,0,4,0,0,0,0
上海,崇明区,2022-01-27,4,0,4,0,0,0,0
上海,崇明区,2022-01-26,4,0,4,0,0,0,0
上海,崇明区,2022-01-25,4,0,4,0,0,0,0
上海,崇明区,2022-01-24,4,0,4,0,0,0,0
上海,崇明区,2022-01-23,4,0,4,0,0,0,0
上海,崇明区,2022-01-22,4,0,4,0,0,0,0
上海,崇明区,2022-01-21,4,0,4,0,0,0,0
上海,崇明区,2022-01-20,4,0,4,0,0,0,0
上海,崇明区,2022-01-19,4,0,4,0,0,0,0
上海,崇明区,2022-01-18,4,0,4,0,0,0,0
上海,崇明区,2022-01-17,4,0,4,0,0,0,0
上海,崇明区,2022-01-16,4,0,4,0,0,0,0
上海,崇明区,2022-01-15,4,0,4,0,0,0,0
上海,崇明区,2022-01-14,4,0,4,0,0,0,0
上海,崇明区,2022-01-13,4,0,4,0,0,0,0
上海,崇明区,2022-01-12,4,0,4,0,0,0,0
上海,崇明区,2022-01-11,4,0,4,0,0,0,0
上海,崇明区,2022-01-10,4,0,4,0,0,0,0
上海,崇明区,2022-01-09,4,0,4,0,0,0,0
上海,崇明区,2022-01-08,4,0,4,0,0,0,0
上海,崇明区,2022-01-07,4,0,4,0,0,0,0
上海,崇明区,2022-01-06,4,0,4,0,0,0,0
上海,崇明区,2022-01-05,4,0,4,0,0,0,0
上海,崇明区,2022-01-04,4,0,4,0,0,0,0
上海,崇明区,2022-01-03,4,0,4,0,0,0,0
上海,崇明区,2022-01-02,4,0,4,0,0,0,0
上海,崇明区,2022-01-01,4,0,4,0,0,0,0
上海,崇明区,2021-12-31,4,0,4,0,0,0,0
上海,崇明区,2021-12-30,4,0,4,0,0,0,0
上海,崇明区,2021-12-29,4,0,4,0,0,0,0
上海,崇明区,2021-12-28,4,0,4,0,0,0,0
上海,崇明区,2021-12-27,4,0,4,0,0,0,0
上海,崇明区,2021-12-26,4,0,4,0,0,0,0
上海,崇明区,2021-12-25,4,0,4,0,0,0,0
上海,崇明区,2021-12-24,4,0,4,0,0,0,0
上海,崇明区,2021-12-23,4,0,4,0,0,0,0
上海,崇明区,2021-12-22,4,0,4,0,0,0,0
上海,崇明区,2021-12-21,4,0,4,0,0,0,0
上海,崇明区,2021-12-20,4,0,4,0,0,0,0
上海,崇明区,2021-12-19,4,0,4,0,0,0,0
上海,崇明区,2021-12-18,4,0,4,0,0,0,0
上海,崇明区,2021-12-17,4,0,4,0,0,0,0
上海,崇明区,2021-12-16,4,0,4,0,0,0,0
上海,崇明区,2021-12-15,4,0,4,0,0,0,0
上海,崇明区,2021-12-14,4,0,4,0,0,0,0
上海,崇明区,2021-12-13,4,0,4,0,0,0,0
上海,崇明区,2021-12-12,4,0,4,0,0,0,0
上海,崇明区,2021-12-11,4,0,4,0,0,0,0
上海,崇明区,2021-12-10,4,0,4,0,0,0,0
上海,崇明区,2021-12-09,4,0,4,0,0,0,0
上海,崇明区,2021-12-08,4,0,4,0,0,0,0
上海,崇明区,2021-12-07,4,0,4,0,0,0,0
上海,崇明区,2021-12-06,4,0,4,0,0,0,0
上海,崇明区,2021-12-05,4,0,4,0,0,0,0
上海,崇明区,2021-12-04,4,0,4,0,0,0,0
上海,崇明区,2021-12-03,4,0,4,0,0,0,0
上海,崇明区,2021-12-02,4,0,4,0,0,0,0
上海,崇明区,2021-12-01,4,0,4,0,0,0,0
上海,崇明区,2021-11-30,4,0,4,0,0,0,0
上海,崇明区,2021-11-29,4,0,4,0,0,0,0
上海,崇明区,2021-11-28,4,0,4,0,0,0,0
上海,崇明区,2021-11-27,4,0,4,0,0,0,0
上海,崇明区,2021-11-26,4,0,4,0,0,0,0
上海,崇明区,2021-11-25,4,0,4,0,0,0,0
上海,崇明区,2021-11-24,4,0,4,0,0,0,0
上海,崇明区,2021-11-23,4,0,4,0,0,0,0
上海,崇明区,2021-11-22,4,0,4,0,0,0,0
上海,崇明区,2021-11-21,4,0,4,0,0,0,0
上海,崇明区,2021-11-20,4,0,4,0,0,0,0
上海,崇明区,2021-11-19,4,0,4,0,0,0,0
上海,崇明区,2021-11-18,4,0,4,0,0,0,0
上海,崇明区,2021-11-17,4,0,4,0,0,0,0
上海,崇明区,2021-11-16,4,0,4,0,0,0,0
上海,崇明区,2021-11-15,4,0,4,0,0,0,0
上海,崇明区,2021-11-14,4,0,4,0,0,0,0
上海,崇明区,2021-11-13,4,0,4,0,0,0,0
上海,崇明区,2021-11-12,4,0,4,0,0,0,0
上海,崇明区,2021-11-11,4,0,4,0,0,0,0
上海,崇明区,2021-11-10,4,0,4,0,0,0,0
上海,崇明区,2021-11-09,4,0,4,0,0,0,0
上海,崇明区,2021-11-08,4,0,4,0,0,0,0
上海,崇明区,2021-11-07,4,0,4,0,0,0,0
上海,崇明区,2021-11-06,4,0,4,0,0,0,0
上海,崇明区,2021-11-05,4,0,4,0,0,0,0
上海,崇明区,2021-11-04,4,0,4,0,0,0,0
上海,崇明区,2021-11-03,4,0,4,0,0,0,0
上海,崇明区,2021-11-02,4,0,4,0,0,0,0
上海,崇明区,2021-11-01,4,0,4,0,0,0,0
上海,崇明区,2021-10-31,4,0,4,0,0,0,0
上海,崇明区,2021-10-30,4,0,4,0,0,0,0
上海,崇明区,2021-10-29,4,0,4,0,0,0,0
