省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
上海,普陀区,2022-05-11,1764,2,1613,3,0,0,27
上海,普陀区,2022-05-10,1762,5,1610,19,0,0,25
上海,普陀区,2022-05-09,1757,7,1591,38,0,0,43
上海,普陀区,2022-05-08,1750,5,1553,25,0,0,44
上海,普陀区,2022-05-07,1745,5,1528,15,0,0,51
上海,普陀区,2022-05-06,1740,5,1513,-11,0,0,72
上海,普陀区,2022-05-05,1735,1,1524,35,0,0,78
上海,普陀区,2022-05-04,1734,3,1489,435,0,0,88
上海,普陀区,2022-05-03,1731,8,1054,-33,0,0,54
上海,普陀区,2022-05-02,1723,1,1087,126,0,0,78
上海,普陀区,2022-05-01,1722,12,961,95,0,0,83
上海,普陀区,2022-04-30,1710,27,866,118,0,0,87
上海,普陀区,2022-04-29,1683,55,748,85,0,0,86
上海,普陀区,2022-04-28,1628,96,663,102,0,0,139
上海,普陀区,2022-04-27,1532,24,561,106,0,0,277
上海,普陀区,2022-04-26,1508,104,455,49,0,0,261
上海,普陀区,2022-04-25,1404,47,406,-11,0,0,371
上海,普陀区,2022-04-24,1357,43,417,49,0,0,434
上海,普陀区,2022-04-23,1314,39,368,40,0,0,439
上海,普陀区,2022-04-22,1275,71,328,96,0,0,452
上海,普陀区,2022-04-21,1204,94,232,78,0,0,395
上海,普陀区,2022-04-20,1110,49,154,36,0,0,506
上海,普陀区,2022-04-19,1061,100,118,32,0,0,428
上海,普陀区,2022-04-18,961,21,86,4,0,0,350
上海,普陀区,2022-04-17,940,330,82,8,0,0,895
上海,普陀区,2022-04-16,610,145,74,3,0,0,1186
上海,普陀区,2022-04-15,465,66,71,7,0,0,360
上海,普陀区,2022-04-14,399,45,64,9,0,0,219
上海,普陀区,2022-04-13,354,45,55,0,0,0,430
上海,普陀区,2022-04-12,309,50,55,1,0,0,1120
上海,普陀区,2022-04-11,259,37,54,7,0,0,670
上海,普陀区,2022-04-10,222,8,47,8,0,0,992
上海,普陀区,2022-04-09,214,25,39,7,0,0,629
上海,普陀区,2022-04-08,189,21,32,7,0,0,1074
上海,普陀区,2022-04-07,168,11,25,2,0,0,947
上海,普陀区,2022-04-06,157,28,23,2,0,0,1008
上海,普陀区,2022-04-05,129,7,21,1,0,0,482
上海,普陀区,2022-04-04,122,4,20,0,0,0,255
上海,普陀区,2022-04-03,118,21,20,0,0,0,304
上海,普陀区,2022-04-02,97,38,20,0,0,0,351
上海,普陀区,2022-04-01,59,12,20,0,0,0,236
上海,普陀区,2022-03-31,47,7,20,2,0,0,11
上海,普陀区,2022-03-30,40,6,18,0,0,0,142
上海,普陀区,2022-03-29,34,6,18,0,0,0,106
上海,普陀区,2022-03-28,28,3,18,0,0,0,79
上海,普陀区,2022-03-27,25,4,18,1,0,0,67
上海,普陀区,2022-03-26,21,1,17,1,0,0,68
上海,普陀区,2022-03-25,20,1,16,1,0,0,8
上海,普陀区,2022-03-24,19,2,15,0,0,0,36
上海,普陀区,2022-03-23,17,0,15,1,0,0,34
上海,普陀区,2022-03-22,17,0,14,1,0,0,21
上海,普陀区,2022-03-21,17,1,13,0,0,0,31
上海,普陀区,2022-03-20,16,0,13,0,0,0,17
上海,普陀区,2022-03-19,16,0,13,2,0,0,25
上海,普陀区,2022-03-18,16,0,11,0,0,0,22
上海,普陀区,2022-03-17,16,1,11,0,0,0,6
上海,普陀区,2022-03-16,15,0,11,0,0,0,4
上海,普陀区,2022-03-15,15,0,11,0,0,0,9
上海,普陀区,2022-03-14,15,0,11,0,0,0,0
上海,普陀区,2022-03-13,15,0,11,0,0,0,6
上海,普陀区,2022-03-12,15,0,11,0,0,0,1
上海,普陀区,2022-03-11,15,0,11,0,0,0,0
上海,普陀区,2022-03-10,15,0,11,0,0,0,4
上海,普陀区,2022-03-09,15,0,11,0,0,0,1
上海,普陀区,2022-03-08,15,0,11,0,0,0,2
上海,普陀区,2022-03-07,15,0,11,0,0,0,0
上海,普陀区,2022-03-06,15,0,11,0,0,0,5
上海,普陀区,2022-03-05,15,0,11,0,0,0,1
上海,普陀区,2022-03-04,15,0,11,0,0,0,1
上海,普陀区,2022-03-03,15,0,11,0,0,0,9
上海,普陀区,2022-03-02,15,3,11,0,0,0,3
上海,普陀区,2022-03-01,12,1,11,0,0,0,0
上海,普陀区,2022-02-28,11,0,11,0,0,0,0
上海,普陀区,2022-02-27,11,0,11,0,0,0,0
上海,普陀区,2022-02-26,11,0,11,0,0,0,0
上海,普陀区,2022-02-25,11,0,11,0,0,0,0
上海,普陀区,2022-02-24,11,0,11,0,0,0,0
上海,普陀区,2022-02-23,11,0,11,0,0,0,0
上海,普陀区,2022-02-22,11,0,11,0,0,0,0
上海,普陀区,2022-02-21,11,0,11,0,0,0,0
上海,普陀区,2022-02-20,11,0,11,0,0,0,0
上海,普陀区,2022-02-19,11,0,11,0,0,0,0
上海,普陀区,2022-02-18,11,0,11,0,0,0,0
上海,普陀区,2022-02-17,11,0,11,0,0,0,0
上海,普陀区,2022-02-16,11,0,11,0,0,0,0
上海,普陀区,2022-02-15,11,0,11,0,0,0,0
上海,普陀区,2022-02-14,11,0,11,0,0,0,0
上海,普陀区,2022-02-13,11,0,11,0,0,0,0
上海,普陀区,2022-02-12,11,0,11,0,0,0,0
上海,普陀区,2022-02-11,11,0,11,0,0,0,0
上海,普陀区,2022-02-10,11,0,11,0,0,0,0
上海,普陀区,2022-02-09,11,0,11,0,0,0,0
上海,普陀区,2022-02-08,11,0,11,0,0,0,0
上海,普陀区,2022-02-07,11,0,11,0,0,0,0
上海,普陀区,2022-02-06,11,0,11,0,0,0,0
上海,普陀区,2022-02-05,11,0,11,0,0,0,0
上海,普陀区,2022-02-04,11,0,11,0,0,0,0
上海,普陀区,2022-02-03,11,0,11,0,0,0,0
上海,普陀区,2022-02-02,11,0,11,0,0,0,0
上海,普陀区,2022-02-01,11,0,11,0,0,0,0
上海,普陀区,2022-01-31,11,0,11,0,0,0,0
上海,普陀区,2022-01-30,11,0,11,0,0,0,0
上海,普陀区,2022-01-29,11,0,11,0,0,0,0
上海,普陀区,2022-01-28,11,0,11,0,0,0,0
上海,普陀区,2022-01-27,11,0,11,0,0,0,0
上海,普陀区,2022-01-26,11,0,11,0,0,0,0
上海,普陀区,2022-01-25,11,0,11,0,0,0,0
上海,普陀区,2022-01-24,11,0,11,0,0,0,0
上海,普陀区,2022-01-23,11,0,11,0,0,0,0
上海,普陀区,2022-01-22,11,0,11,0,0,0,0
上海,普陀区,2022-01-21,11,0,11,0,0,0,0
上海,普陀区,2022-01-20,11,0,11,0,0,0,0
上海,普陀区,2022-01-19,11,0,11,0,0,0,0
上海,普陀区,2022-01-18,11,0,11,0,0,0,0
上海,普陀区,2022-01-17,11,0,11,0,0,0,0
上海,普陀区,2022-01-16,11,0,11,0,0,0,0
上海,普陀区,2022-01-15,11,0,11,0,0,0,0
