省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
上海,松江区,2022-05-11,2945,4,2910,7,0,0,10
上海,松江区,2022-05-10,2941,6,2903,2,0,0,13
上海,松江区,2022-05-09,2935,7,2901,9,0,0,19
上海,松江区,2022-05-08,2928,13,2892,4,0,0,27
上海,松江区,2022-05-07,2915,22,2888,37,0,0,26
上海,松江区,2022-05-06,2893,5,2851,-32,0,0,22
上海,松江区,2022-05-05,2888,38,2883,90,0,0,45
上海,松江区,2022-05-04,2850,55,2793,0,0,0,37
上海,松江区,2022-05-03,2795,34,2793,281,0,0,56
上海,松江区,2022-05-02,2761,29,2512,2,0,0,39
上海,松江区,2022-05-01,2732,12,2510,0,0,0,80
上海,松江区,2022-04-30,2720,29,2510,0,0,0,76
上海,松江区,2022-04-29,2691,24,2510,289,0,0,110
上海,松江区,2022-04-28,2667,252,2221,400,0,0,150
上海,松江区,2022-04-27,2415,52,1821,201,0,0,179
上海,松江区,2022-04-26,2363,29,1620,134,0,0,258
上海,松江区,2022-04-25,2334,108,1486,217,0,0,533
上海,松江区,2022-04-24,2226,166,1269,227,0,0,382
上海,松江区,2022-04-23,2060,32,1042,170,0,0,741
上海,松江区,2022-04-22,2028,120,872,395,0,0,2448
上海,松江区,2022-04-21,1908,22,477,100,0,0,471
上海,松江区,2022-04-20,1886,165,377,114,0,0,511
上海,松江区,2022-04-19,1721,58,263,50,0,0,267
上海,松江区,2022-04-18,1663,191,213,68,0,0,571
上海,松江区,2022-04-17,1472,153,145,30,0,0,752
上海,松江区,2022-04-16,1319,87,115,20,0,0,323
上海,松江区,2022-04-15,1232,198,95,32,0,0,575
上海,松江区,2022-04-14,1034,178,63,0,0,0,583
上海,松江区,2022-04-13,856,131,63,0,0,0,526
上海,松江区,2022-04-12,725,77,63,1,0,0,635
上海,松江区,2022-04-11,648,21,62,12,0,0,324
上海,松江区,2022-04-10,627,291,50,7,0,0,1536
上海,松江区,2022-04-09,336,10,43,13,0,0,490
上海,松江区,2022-04-08,326,107,30,5,0,0,666
上海,松江区,2022-04-07,219,107,25,1,0,0,647
上海,松江区,2022-04-06,112,2,24,1,0,0,781
上海,松江区,2022-04-05,110,14,23,0,0,0,787
上海,松江区,2022-04-04,96,6,23,0,0,0,563
上海,松江区,2022-04-03,90,8,23,0,0,0,258
上海,松江区,2022-04-02,82,8,23,2,0,0,565
上海,松江区,2022-04-01,74,19,21,0,0,0,488
上海,松江区,2022-03-31,55,5,21,0,0,0,185
上海,松江区,2022-03-30,50,8,21,1,0,0,240
上海,松江区,2022-03-29,42,15,20,0,0,0,219
上海,松江区,2022-03-28,27,4,20,0,0,0,91
上海,松江区,2022-03-27,23,1,20,0,0,0,189
上海,松江区,2022-03-26,22,0,20,1,0,0,82
上海,松江区,2022-03-25,22,1,19,0,0,0,14
上海,松江区,2022-03-24,21,0,19,2,0,0,92
上海,松江区,2022-03-23,21,0,17,0,0,0,34
上海,松江区,2022-03-22,21,0,17,0,0,0,31
上海,松江区,2022-03-21,21,1,17,0,0,0,37
