省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
上海,浦东新区,2022-05-11,16976,10,16488,46,1,0,240
上海,浦东新区,2022-05-10,16966,16,16442,82,1,0,247
上海,浦东新区,2022-05-09,16950,20,16360,110,1,0,568
上海,浦东新区,2022-05-08,16930,34,16250,81,1,0,658
上海,浦东新区,2022-05-07,16896,28,16169,114,1,0,647
上海,浦东新区,2022-05-06,16868,33,16055,140,1,0,551
上海,浦东新区,2022-05-05,16835,28,15915,260,1,0,649
上海,浦东新区,2022-05-04,16807,50,15655,871,1,0,839
上海,浦东新区,2022-05-03,16757,49,14784,-289,1,0,834
上海,浦东新区,2022-05-02,16708,38,15073,772,1,0,1124
上海,浦东新区,2022-05-01,16670,132,14301,795,1,0,1510
上海,浦东新区,2022-04-30,16538,37,13506,701,1,0,1588
上海,浦东新区,2022-04-29,16501,131,12805,908,1,0,1897
上海,浦东新区,2022-04-28,16370,1456,11897,706,1,0,2016
上海,浦东新区,2022-04-27,14914,534,11191,635,1,0,2459
上海,浦东新区,2022-04-26,14380,206,10556,1307,1,0,2539
上海,浦东新区,2022-04-25,14174,293,9249,657,1,0,3620
上海,浦东新区,2022-04-24,13881,874,8592,665,1,0,5307
上海,浦东新区,2022-04-23,13007,541,7927,866,1,0,7085
上海,浦东新区,2022-04-22,12466,704,7061,1221,1,0,7257
上海,浦东新区,2022-04-21,11762,409,5840,1020,1,0,4246
上海,浦东新区,2022-04-20,11353,756,4820,594,1,0,3709
上海,浦东新区,2022-04-19,10597,720,4226,1083,1,0,4926
上海,浦东新区,2022-04-18,9877,1075,3143,637,1,0,7756
上海,浦东新区,2022-04-17,8802,521,2506,508,1,0,7219
上海,浦东新区,2022-04-16,8281,1002,1998,204,1,0,9789
上海,浦东新区,2022-04-15,7279,1142,1794,774,1,0,9140
上海,浦东新区,2022-04-14,6137,1252,1020,0,1,0,10404
上海,浦东新区,2022-04-13,4885,1139,1020,530,1,0,13888
上海,浦东新区,2022-04-12,3746,192,490,75,1,0,10857
上海,浦东新区,2022-04-11,3554,493,415,85,1,0,7813
上海,浦东新区,2022-04-10,3061,209,330,101,1,0,6501
上海,浦东新区,2022-04-09,2852,513,229,51,1,0,10613
上海,浦东新区,2022-04-08,2339,350,178,23,1,0,6949
上海,浦东新区,2022-04-07,1989,306,155,16,1,0,8734
上海,浦东新区,2022-04-06,1683,150,139,9,1,0,8296
上海,浦东新区,2022-04-05,1533,162,130,4,1,0,7892
上海,浦东新区,2022-04-04,1371,205,126,0,1,0,6788
上海,浦东新区,2022-04-03,1166,149,126,0,1,0,3529
上海,浦东新区,2022-04-02,1017,107,126,4,1,0,1949
上海,浦东新区,2022-04-01,910,79,122,7,1,0,2518
上海,浦东新区,2022-03-31,831,182,115,4,1,0,2224
上海,浦东新区,2022-03-30,649,252,111,9,1,0,1949
上海,浦东新区,2022-03-29,397,169,102,2,1,0,2018
上海,浦东新区,2022-03-28,228,39,100,4,1,0,2463
上海,浦东新区,2022-03-27,189,4,96,4,1,0,1420
上海,浦东新区,2022-03-26,185,1,92,3,1,0,322
上海,浦东新区,2022-03-25,184,31,89,1,1,0,1884
上海,浦东新区,2022-03-24,153,12,88,1,1,0,183
上海,浦东新区,2022-03-23,141,0,87,3,1,0,217
上海,浦东新区,2022-03-22,141,0,84,2,1,0,237
上海,浦东新区,2022-03-21,141,6,82,1,1,0,164
上海,浦东新区,2022-03-20,135,1,81,0,1,0,219
上海,浦东新区,2022-03-19,134,8,81,1,1,0,127
上海,浦东新区,2022-03-18,126,3,80,0,1,0,63
上海,浦东新区,2022-03-17,123,25,80,0,1,0,11
上海,浦东新区,2022-03-16,98,0,80,0,1,0,43
上海,浦东新区,2022-03-15,98,2,80,0,1,0,40
上海,浦东新区,2022-03-14,96,1,80,0,1,0,22
上海,浦东新区,2022-03-13,95,7,80,0,1,0,34
上海,浦东新区,2022-03-12,88,0,80,0,1,0,35
上海,浦东新区,2022-03-11,88,2,80,0,1,0,9
上海,浦东新区,2022-03-10,86,4,80,0,1,0,6
上海,浦东新区,2022-03-09,82,1,80,0,1,0,9
上海,浦东新区,2022-03-08,81,0,80,0,1,0,3
上海,浦东新区,2022-03-07,81,0,80,0,1,0,2
上海,浦东新区,2022-03-06,81,1,80,0,1,0,2
上海,浦东新区,2022-03-05,80,0,80,0,1,0,2
上海,浦东新区,2022-03-04,80,0,80,0,1,0,0
上海,浦东新区,2022-03-03,80,0,80,0,1,0,0
上海,浦东新区,2022-03-02,80,0,80,0,1,0,0
上海,浦东新区,2022-03-01,80,0,80,0,1,0,0
上海,浦东新区,2022-02-28,80,0,80,0,1,0,0
上海,浦东新区,2022-02-27,80,0,80,0,1,0,0
上海,浦东新区,2022-02-26,80,0,80,0,1,0,0
上海,浦东新区,2022-02-25,80,0,80,0,1,0,0
上海,浦东新区,2022-02-24,80,0,80,0,1,0,0
上海,浦东新区,2022-02-23,80,0,80,0,1,0,0
上海,浦东新区,2022-02-22,80,0,80,0,1,0,0
上海,浦东新区,2022-02-21,80,0,80,0,1,0,0
上海,浦东新区,2022-02-20,80,0,80,0,1,0,0
上海,浦东新区,2022-02-19,80,0,80,0,1,0,0
上海,浦东新区,2022-02-18,80,0,80,0,1,0,0
上海,浦东新区,2022-02-17,80,0,80,0,1,0,0
上海,浦东新区,2022-02-16,80,0,80,0,1,0,0
上海,浦东新区,2022-02-15,80,0,80,0,1,0,0
上海,浦东新区,2022-02-14,80,0,80,0,1,0,0
上海,浦东新区,2022-02-13,80,0,80,0,1,0,0
上海,浦东新区,2022-02-12,80,0,80,0,1,0,0
上海,浦东新区,2022-02-11,80,0,80,0,1,0,0
上海,浦东新区,2022-02-10,80,0,80,0,1,0,0
上海,浦东新区,2022-02-09,80,0,80,0,1,0,0
上海,浦东新区,2022-02-08,80,0,80,0,1,0,0
上海,浦东新区,2022-02-07,80,0,80,0,1,0,0
上海,浦东新区,2022-02-06,80,0,80,0,1,0,0
上海,浦东新区,2022-02-05,80,0,80,0,1,0,0
上海,浦东新区,2022-02-04,80,0,80,0,1,0,0
上海,浦东新区,2022-02-03,80,0,80,0,1,0,0
上海,浦东新区,2022-02-02,80,0,80,0,1,0,0
上海,浦东新区,2022-02-01,80,0,80,0,1,0,0
上海,浦东新区,2022-01-31,80,0,80,0,1,0,0
上海,浦东新区,2022-01-30,80,0,80,0,1,0,0
上海,浦东新区,2022-01-29,80,0,80,0,1,0,0
上海,浦东新区,2022-01-28,80,0,80,0,1,0,0
上海,浦东新区,2022-01-27,80,0,80,0,1,0,0
上海,浦东新区,2022-01-26,80,0,80,0,1,0,0
上海,浦东新区,2022-01-25,80,0,80,0,1,0,0
上海,浦东新区,2022-01-24,80,0,80,0,1,0,0
