省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
上海,虹口区,2022-05-11,3573,18,3314,78,0,0,84
上海,虹口区,2022-05-10,3555,48,3236,70,0,0,88
上海,虹口区,2022-05-09,3507,31,3166,91,0,0,238
上海,虹口区,2022-05-08,3476,54,3075,60,0,0,263
上海,虹口区,2022-05-07,3422,24,3015,78,0,0,248
上海,虹口区,2022-05-06,3398,17,2937,190,0,0,262
上海,虹口区,2022-05-05,3381,15,2747,64,0,0,252
上海,虹口区,2022-05-04,3366,16,2683,830,0,0,310
上海,虹口区,2022-05-03,3350,11,1853,-275,0,0,347
上海,虹口区,2022-05-02,3339,18,2128,464,0,0,348
上海,虹口区,2022-05-01,3321,69,1664,393,0,0,579
上海,虹口区,2022-04-30,3252,47,1271,118,0,0,544
上海,虹口区,2022-04-29,3205,22,1153,157,0,0,993
上海,虹口区,2022-04-28,3183,469,996,94,0,0,905
上海,虹口区,2022-04-27,2714,68,902,134,0,0,1023
上海,虹口区,2022-04-26,2646,37,768,91,0,0,1099
上海,虹口区,2022-04-25,2609,138,677,13,0,0,1132
上海,虹口区,2022-04-24,2471,106,664,149,0,0,549
上海,虹口区,2022-04-23,2365,82,515,151,0,0,737
上海,虹口区,2022-04-22,2283,428,364,10,0,0,569
上海,虹口区,2022-04-21,1855,103,354,157,0,0,782
上海,虹口区,2022-04-20,1752,102,197,49,0,0,730
上海,虹口区,2022-04-19,1650,148,148,57,0,0,605
上海,虹口区,2022-04-18,1502,233,91,34,0,0,859
上海,虹口区,2022-04-17,1269,266,57,3,0,0,900
上海,虹口区,2022-04-16,1003,157,54,1,0,0,870
上海,虹口区,2022-04-15,846,287,53,3,0,0,1210
上海,虹口区,2022-04-14,559,174,50,0,0,0,756
上海,虹口区,2022-04-13,385,121,50,0,0,0,1367
上海,虹口区,2022-04-12,264,83,50,0,0,0,848
上海,虹口区,2022-04-11,181,25,50,11,0,0,1390
上海,虹口区,2022-04-10,156,6,39,6,0,0,1272
