省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
上海,闵行区,2022-05-11,5337,3,5291,0,0,0,88
上海,闵行区,2022-05-10,5334,7,5291,0,0,0,72
上海,闵行区,2022-05-09,5327,13,5291,0,0,0,315
上海,闵行区,2022-05-08,5314,9,5291,75,0,0,216
上海,闵行区,2022-05-07,5305,13,5216,41,0,0,214
上海,闵行区,2022-05-06,5292,28,5175,104,0,0,281
上海,闵行区,2022-05-05,5264,9,5071,116,0,0,226
上海,闵行区,2022-05-04,5255,25,4955,0,0,0,260
上海,闵行区,2022-05-03,5230,15,4955,0,0,0,237
上海,闵行区,2022-05-02,5215,28,4955,0,0,0,259
上海,闵行区,2022-05-01,5187,29,4955,0,0,0,357
上海,闵行区,2022-04-30,5158,53,4955,0,0,0,378
上海,闵行区,2022-04-29,5105,144,4955,189,0,0,372
上海,闵行区,2022-04-28,4961,70,4766,264,0,0,352
上海,闵行区,2022-04-27,4891,51,4502,264,0,0,270
上海,闵行区,2022-04-26,4840,71,4238,249,0,0,678
上海,闵行区,2022-04-25,4769,61,3989,149,0,0,656
上海,闵行区,2022-04-24,4708,143,3840,325,0,0,1086
上海,闵行区,2022-04-23,4565,108,3515,266,0,0,769
上海,闵行区,2022-04-22,4457,208,3249,-80,0,0,1097
上海,闵行区,2022-04-21,4249,153,3329,420,0,0,2410
上海,闵行区,2022-04-20,4096,291,2909,62,0,0,1395
上海,闵行区,2022-04-19,3805,389,2847,94,0,0,1213
上海,闵行区,2022-04-18,3416,312,2753,55,0,0,1060
上海,闵行区,2022-04-17,3104,106,2698,17,0,0,2296
上海,闵行区,2022-04-16,2998,890,2681,2295,0,0,2170
上海,闵行区,2022-04-15,2108,301,386,41,0,0,1736
上海,闵行区,2022-04-14,1807,274,345,2,0,0,2104
上海,闵行区,2022-04-13,1533,372,343,73,0,0,2567
上海,闵行区,2022-04-12,1161,280,270,43,0,0,3965
上海,闵行区,2022-04-11,881,68,227,52,0,0,1841
上海,闵行区,2022-04-10,813,101,175,37,0,0,3055
上海,闵行区,2022-04-09,712,86,138,25,0,0,4536
上海,闵行区,2022-04-08,626,61,113,16,0,0,2791
上海,闵行区,2022-04-07,565,96,97,5,0,0,2160
上海,闵行区,2022-04-06,469,21,92,2,0,0,2387
上海,闵行区,2022-04-05,448,23,90,10,0,0,2917
上海,闵行区,2022-04-04,425,11,80,0,0,0,1370
上海,闵行区,2022-04-03,414,65,80,0,0,0,869
上海,闵行区,2022-04-02,349,57,80,7,0,0,765
上海,闵行区,2022-04-01,292,56,73,6,0,0,972
上海,闵行区,2022-03-31,236,60,67,5,0,0,330
上海,闵行区,2022-03-30,176,17,62,0,0,0,761
上海,闵行区,2022-03-29,159,29,62,15,0,0,957
上海,闵行区,2022-03-28,130,9,47,2,0,0,360
上海,闵行区,2022-03-27,121,20,45,1,0,0,596
上海,闵行区,2022-03-26,101,15,44,4,0,0,955
上海,闵行区,2022-03-25,86,4,40,1,0,0,202
上海,闵行区,2022-03-24,82,0,39,8,0,0,489
上海,闵行区,2022-03-23,82,2,31,6,0,0,252
上海,闵行区,2022-03-22,80,0,25,1,0,0,306
上海,闵行区,2022-03-21,80,10,24,3,0,0,110
上海,闵行区,2022-03-20,70,18,21,0,0,0,247
上海,闵行区,2022-03-19,52,4,21,2,0,0,49
上海,闵行区,2022-03-18,48,1,19,0,0,0,59
上海,闵行区,2022-03-17,47,4,19,0,0,0,79
上海,闵行区,2022-03-16,43,1,19,0,0,0,17
上海,闵行区,2022-03-15,42,1,19,0,0,0,30
上海,闵行区,2022-03-14,41,3,19,0,0,0,23
上海,闵行区,2022-03-13,38,9,19,0,0,0,21
上海,闵行区,2022-03-12,29,1,19,0,0,0,10
上海,闵行区,2022-03-11,28,2,19,0,0,0,19
上海,闵行区,2022-03-10,26,2,19,0,0,0,13
上海,闵行区,2022-03-09,24,1,19,0,0,0,23
上海,闵行区,2022-03-08,23,1,19,0,0,0,11
上海,闵行区,2022-03-07,22,0,19,0,0,0,10
上海,闵行区,2022-03-06,22,0,19,0,0,0,7
上海,闵行区,2022-03-05,22,0,19,0,0,0,6
上海,闵行区,2022-03-04,22,2,19,0,0,0,0
上海,闵行区,2022-03-03,20,1,19,0,0,0,0
上海,闵行区,2022-03-02,19,0,19,0,0,0,0
上海,闵行区,2022-03-01,19,0,19,0,0,0,0
上海,闵行区,2022-02-28,19,0,19,0,0,0,0
上海,闵行区,2022-02-27,19,0,19,0,0,0,0
上海,闵行区,2022-02-26,19,0,19,0,0,0,0
上海,闵行区,2022-02-25,19,0,19,0,0,0,0
上海,闵行区,2022-02-24,19,0,19,0,0,0,0
上海,闵行区,2022-02-23,19,0,19,0,0,0,0
上海,闵行区,2022-02-22,19,0,19,0,0,0,0
