省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
上海,青浦区,2022-05-11,1311,3,975,4,0,0,34
上海,青浦区,2022-05-10,1308,11,971,9,0,0,16
上海,青浦区,2022-05-09,1297,2,962,15,0,0,54
上海,青浦区,2022-05-08,1295,1,947,8,0,0,48
上海,青浦区,2022-05-07,1294,3,939,12,0,0,31
上海,青浦区,2022-05-06,1291,3,927,-44,0,0,166
上海,青浦区,2022-05-05,1288,0,971,64,0,0,56
上海,青浦区,2022-05-04,1288,4,907,5,0,0,66
上海,青浦区,2022-05-03,1284,2,902,-104,0,0,41
上海,青浦区,2022-05-02,1282,10,1006,127,0,0,84
上海,青浦区,2022-05-01,1272,24,879,210,0,0,90
上海,青浦区,2022-04-30,1248,21,669,196,0,0,107
上海,青浦区,2022-04-29,1227,46,473,35,0,0,110
上海,青浦区,2022-04-28,1181,137,438,81,0,0,132
上海,青浦区,2022-04-27,1044,4,357,55,0,0,204
上海,青浦区,2022-04-26,1040,27,302,58,0,0,284
上海,青浦区,2022-04-25,1013,44,244,0,0,0,335
上海,青浦区,2022-04-24,969,8,244,24,0,0,243
上海,青浦区,2022-04-23,961,26,220,31,0,0,398
上海,青浦区,2022-04-22,935,44,189,60,0,0,315
上海,青浦区,2022-04-21,891,60,129,26,0,0,325
上海,青浦区,2022-04-20,831,120,103,16,0,0,160
上海,青浦区,2022-04-19,711,72,87,21,0,0,317
上海,青浦区,2022-04-18,639,77,66,20,0,0,180
上海,青浦区,2022-04-17,562,17,46,8,0,0,352
上海,青浦区,2022-04-16,545,46,38,5,0,0,259
上海,青浦区,2022-04-15,499,131,33,1,0,0,405
上海,青浦区,2022-04-14,368,128,32,4,0,0,176
上海,青浦区,2022-04-13,240,99,28,0,0,0,220
上海,青浦区,2022-04-12,141,61,28,0,0,0,463
上海,青浦区,2022-04-11,80,7,28,5,0,0,532
上海,青浦区,2022-04-10,73,1,23,8,0,0,879
上海,青浦区,2022-04-09,72,9,15,3,0,0,548
上海,青浦区,2022-04-08,63,24,12,1,0,0,318
上海,青浦区,2022-04-07,39,4,11,0,0,0,491
上海,青浦区,2022-04-06,35,4,11,0,0,0,465
上海,青浦区,2022-04-05,31,6,11,0,0,0,394
上海,青浦区,2022-04-04,25,1,11,0,0,0,319
上海,青浦区,2022-04-03,24,3,11,0,0,0,217
上海,青浦区,2022-04-02,21,3,11,0,0,0,221
上海,青浦区,2022-04-01,18,0,11,0,0,0,87
上海,青浦区,2022-03-31,18,1,11,0,0,0,97
上海,青浦区,2022-03-30,17,5,11,0,0,0,73
上海,青浦区,2022-03-29,12,0,11,1,0,0,84
上海,青浦区,2022-03-28,12,2,10,0,0,0,54
上海,青浦区,2022-03-27,10,0,10,2,0,0,43
上海,青浦区,2022-03-26,10,0,8,0,0,0,20
上海,青浦区,2022-03-25,10,0,8,0,0,0,13
上海,青浦区,2022-03-24,10,0,8,0,0,0,13
上海,青浦区,2022-03-23,10,0,8,1,0,0,10
上海,青浦区,2022-03-22,10,0,7,0,0,0,20
上海,青浦区,2022-03-21,10,0,7,0,0,0,5
上海,青浦区,2022-03-20,10,0,7,0,0,0,4
上海,青浦区,2022-03-19,10,0,7,0,0,0,5
上海,青浦区,2022-03-18,10,0,7,0,0,0,16
上海,青浦区,2022-03-17,10,0,7,0,0,0,1
上海,青浦区,2022-03-16,10,0,7,0,0,0,1
上海,青浦区,2022-03-15,10,0,7,0,0,0,7
上海,青浦区,2022-03-14,10,0,7,0,0,0,0
上海,青浦区,2022-03-13,10,2,7,0,0,0,2
上海,青浦区,2022-03-12,8,0,7,0,0,0,0
上海,青浦区,2022-03-11,8,0,7,0,0,0,2
上海,青浦区,2022-03-10,8,1,7,0,0,0,4
上海,青浦区,2022-03-09,7,0,7,0,0,0,0
上海,青浦区,2022-03-08,7,0,7,0,0,0,3
上海,青浦区,2022-03-07,7,0,7,0,0,0,0
上海,青浦区,2022-03-06,7,0,7,0,0,0,0
上海,青浦区,2022-03-05,7,0,7,0,0,0,1
上海,青浦区,2022-03-04,7,0,7,0,0,0,0
上海,青浦区,2022-03-03,7,0,7,0,0,0,0
上海,青浦区,2022-03-02,7,0,7,0,0,0,0
上海,青浦区,2022-03-01,7,0,7,0,0,0,0
上海,青浦区,2022-02-28,7,0,7,0,0,0,0
上海,青浦区,2022-02-27,7,0,7,0,0,0,0
上海,青浦区,2022-02-26,7,0,7,0,0,0,0
上海,青浦区,2022-02-25,7,0,7,0,0,0,0
上海,青浦区,2022-02-24,7,0,7,0,0,0,0
上海,青浦区,2022-02-23,7,0,7,0,0,0,0
上海,青浦区,2022-02-22,7,0,7,0,0,0,0
上海,青浦区,2022-02-21,7,0,7,0,0,0,0
上海,青浦区,2022-02-20,7,0,7,0,0,0,0
上海,青浦区,2022-02-19,7,0,7,0,0,0,0
上海,青浦区,2022-02-18,7,0,7,0,0,0,0
上海,青浦区,2022-02-17,7,0,7,0,0,0,0
上海,青浦区,2022-02-16,7,0,7,0,0,0,0
上海,青浦区,2022-02-15,7,0,7,0,0,0,0
上海,青浦区,2022-02-14,7,0,7,0,0,0,0
上海,青浦区,2022-02-13,7,0,7,0,0,0,0
上海,青浦区,2022-02-12,7,0,7,0,0,0,0
上海,青浦区,2022-02-11,7,0,7,0,0,0,0
上海,青浦区,2022-02-10,7,0,7,0,0,0,0
上海,青浦区,2022-02-09,7,0,7,0,0,0,0
上海,青浦区,2022-02-08,7,0,7,0,0,0,0
上海,青浦区,2022-02-07,7,0,7,0,0,0,0
上海,青浦区,2022-02-06,7,0,7,0,0,0,0
上海,青浦区,2022-02-05,7,0,7,0,0,0,0
上海,青浦区,2022-02-04,7,0,7,0,0,0,0
上海,青浦区,2022-02-03,7,0,7,0,0,0,0
上海,青浦区,2022-02-02,7,0,7,0,0,0,0
上海,青浦区,2022-02-01,7,0,7,0,0,0,0
上海,青浦区,2022-01-31,7,0,7,0,0,0,0
上海,青浦区,2022-01-30,7,0,7,0,0,0,0
上海,青浦区,2022-01-29,7,0,7,0,0,0,0
上海,青浦区,2022-01-28,7,0,7,0,0,0,0
上海,青浦区,2022-01-27,7,0,7,0,0,0,0
上海,青浦区,2022-01-26,7,0,7,0,0,0,0
上海,青浦区,2022-01-25,7,0,7,0,0,0,0
上海,青浦区,2022-01-24,7,0,7,0,0,0,0
上海,青浦区,2022-01-23,7,0,7,0,0,0,0
