省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
上海,静安区,2022-05-11,3030,12,2697,29,1,0,158
上海,静安区,2022-05-10,3018,28,2668,37,1,0,191
上海,静安区,2022-05-09,2990,22,2631,83,1,0,371
上海,静安区,2022-05-08,2968,38,2548,40,1,0,582
上海,静安区,2022-05-07,2930,19,2508,57,1,0,529
上海,静安区,2022-05-06,2911,16,2451,220,1,0,468
上海,静安区,2022-05-05,2895,30,2231,86,1,0,485
上海,静安区,2022-05-04,2865,20,2145,862,1,0,525
上海,静安区,2022-05-03,2845,17,1283,-237,1,0,548
上海,静安区,2022-05-02,2828,20,1520,288,1,0,596
上海,静安区,2022-05-01,2808,70,1232,355,1,0,632
上海,静安区,2022-04-30,2738,110,877,80,1,0,886
上海,静安区,2022-04-29,2628,124,797,157,1,0,1143
上海,静安区,2022-04-28,2504,349,640,74,1,0,1015
上海,静安区,2022-04-27,2155,32,566,115,1,0,1057
上海,静安区,2022-04-26,2123,145,451,58,1,0,1249
上海,静安区,2022-04-25,1978,131,393,50,1,0,885
上海,静安区,2022-04-24,1847,142,343,58,1,0,1560
上海,静安区,2022-04-23,1705,40,285,82,1,0,431
上海,静安区,2022-04-22,1665,76,203,-6,1,0,710
上海,静安区,2022-04-21,1589,150,209,46,1,0,1914
上海,静安区,2022-04-20,1439,164,163,32,1,0,966
上海,静安区,2022-04-19,1275,205,131,14,1,0,1528
上海,静安区,2022-04-18,1070,203,117,19,1,0,807
上海,静安区,2022-04-17,867,127,98,4,1,0,715
上海,静安区,2022-04-16,740,143,94,8,1,0,991
上海,静安区,2022-04-15,597,92,86,4,1,0,341
上海,静安区,2022-04-14,505,70,82,6,1,0,196
上海,静安区,2022-04-13,435,49,76,1,1,0,171
上海,静安区,2022-04-12,386,75,75,0,1,0,981
上海,静安区,2022-04-11,311,20,75,11,1,0,1723
上海,静安区,2022-04-10,291,28,64,12,1,0,580
上海,静安区,2022-04-09,263,24,52,5,1,0,577
上海,静安区,2022-04-08,239,39,47,6,1,0,641
上海,静安区,2022-04-07,200,23,41,5,1,0,360
