省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
上海,黄浦区,2022-05-11,6456,19,6423,73,0,0,227
上海,黄浦区,2022-05-10,6437,19,6350,96,0,0,245
上海,黄浦区,2022-05-09,6418,36,6254,94,0,0,378
上海,黄浦区,2022-05-08,6382,60,6160,97,0,0,442
上海,黄浦区,2022-05-07,6322,37,6063,146,0,0,575
上海,黄浦区,2022-05-06,6285,60,5917,486,0,0,567
上海,黄浦区,2022-05-05,6225,35,5431,236,0,0,737
上海,黄浦区,2022-05-04,6190,21,5195,1293,0,0,754
上海,黄浦区,2022-05-03,6169,27,3902,-202,0,0,912
上海,黄浦区,2022-05-02,6142,17,4104,569,0,0,957
上海,黄浦区,2022-05-01,6125,128,3535,512,0,0,976
上海,黄浦区,2022-04-30,5997,110,3023,377,0,0,1046
上海,黄浦区,2022-04-29,5887,250,2646,376,0,0,1149
上海,黄浦区,2022-04-28,5637,1370,2270,213,0,0,1286
上海,黄浦区,2022-04-27,4267,135,2057,328,0,0,1317
上海,黄浦区,2022-04-26,4132,301,1729,209,0,0,927
上海,黄浦区,2022-04-25,3831,155,1520,309,0,0,2515
上海,黄浦区,2022-04-24,3676,317,1211,247,0,0,1438
上海,黄浦区,2022-04-23,3359,96,964,347,0,0,1863
上海,黄浦区,2022-04-22,3263,435,617,68,0,0,2408
上海,黄浦区,2022-04-21,2828,192,549,169,0,0,1560
上海,黄浦区,2022-04-20,2636,252,380,51,0,0,2845
上海,黄浦区,2022-04-19,2384,368,329,51,0,0,2716
上海,黄浦区,2022-04-18,2016,362,278,148,0,0,2961
上海,黄浦区,2022-04-17,1654,186,130,27,0,0,1710
上海,黄浦区,2022-04-16,1468,188,103,7,0,0,1377
上海,黄浦区,2022-04-15,1280,246,96,2,0,0,1138
上海,黄浦区,2022-04-14,1034,268,94,2,0,0,1745
上海,黄浦区,2022-04-13,766,227,92,1,0,0,1181
上海,黄浦区,2022-04-12,539,74,91,1,0,0,1730
上海,黄浦区,2022-04-11,465,117,90,20,0,0,2939
上海,黄浦区,2022-04-10,348,37,70,9,0,0,1741
上海,黄浦区,2022-04-09,311,103,61,7,0,0,447
上海,黄浦区,2022-04-08,208,42,54,5,0,0,2558
上海,黄浦区,2022-04-07,166,14,49,0,0,0,1368
上海,黄浦区,2022-04-06,152,9,49,1,0,0,1041
上海,黄浦区,2022-04-05,143,16,48,0,0,0,647
上海,黄浦区,2022-04-04,127,8,48,0,0,0,973
上海,黄浦区,2022-04-03,119,16,48,0,0,0,813
上海,黄浦区,2022-04-02,103,27,48,1,0,0,631
上海,黄浦区,2022-04-01,76,8,47,4,0,0,242
上海,黄浦区,2022-03-31,68,7,43,0,0,0,117
上海,黄浦区,2022-03-30,61,16,43,4,0,0,347
上海,黄浦区,2022-03-29,45,6,39,2,0,0,106
上海,黄浦区,2022-03-28,39,1,37,1,0,0,282
上海,黄浦区,2022-03-27,38,1,36,8,0,0,55
上海,黄浦区,2022-03-26,37,0,28,0,0,0,159
上海,黄浦区,2022-03-25,37,0,28,0,0,0,23
上海,黄浦区,2022-03-24,37,0,28,5,0,0,102
上海,黄浦区,2022-03-23,37,0,23,2,0,0,20
上海,黄浦区,2022-03-22,37,0,21,0,0,0,59
上海,黄浦区,2022-03-21,37,0,21,0,0,0,48
上海,黄浦区,2022-03-20,37,2,21,0,0,0,40
上海,黄浦区,2022-03-19,35,0,21,0,0,0,37
上海,黄浦区,2022-03-18,35,0,21,0,0,0,15
上海,黄浦区,2022-03-17,35,7,21,0,0,0,12
上海,黄浦区,2022-03-16,28,1,21,0,0,0,8
上海,黄浦区,2022-03-15,27,0,21,0,0,0,12
上海,黄浦区,2022-03-14,27,2,21,0,0,0,21
上海,黄浦区,2022-03-13,25,3,21,0,0,0,9
上海,黄浦区,2022-03-12,22,0,21,0,0,0,3
上海,黄浦区,2022-03-11,22,0,21,0,0,0,3
上海,黄浦区,2022-03-10,22,0,21,0,0,0,1
上海,黄浦区,2022-03-09,22,0,21,0,0,0,2
上海,黄浦区,2022-03-08,22,0,21,0,0,0,0
上海,黄浦区,2022-03-07,22,0,21,0,0,0,0
上海,黄浦区,2022-03-06,22,0,21,0,0,0,1
上海,黄浦区,2022-03-05,22,0,21,0,0,0,1
上海,黄浦区,2022-03-04,22,0,21,0,0,0,1
上海,黄浦区,2022-03-03,22,0,21,0,0,0,0
上海,黄浦区,2022-03-02,22,0,21,0,0,0,0
上海,黄浦区,2022-03-01,22,0,21,0,0,0,0
上海,黄浦区,2022-02-28,22,0,21,0,0,0,0
上海,黄浦区,2022-02-27,22,0,21,0,0,0,0
上海,黄浦区,2022-02-26,22,0,21,0,0,0,0
上海,黄浦区,2022-02-25,22,0,21,0,0,0,0
上海,黄浦区,2022-02-24,22,0,21,0,0,0,0
上海,黄浦区,2022-02-23,22,0,21,0,0,0,0
上海,黄浦区,2022-02-22,22,0,21,0,0,0,0
上海,黄浦区,2022-02-21,22,0,21,0,0,0,0
上海,黄浦区,2022-02-20,22,0,21,0,0,0,0
上海,黄浦区,2022-02-19,22,0,21,0,0,0,0
上海,黄浦区,2022-02-18,22,0,21,0,0,0,0
上海,黄浦区,2022-02-17,22,0,21,0,0,0,0
上海,黄浦区,2022-02-16,22,0,21,0,0,0,0
上海,黄浦区,2022-02-15,22,0,21,0,0,0,0
上海,黄浦区,2022-02-14,22,0,21,0,0,0,0
上海,黄浦区,2022-02-13,22,0,21,0,0,0,0
上海,黄浦区,2022-02-12,22,0,21,0,0,0,0
上海,黄浦区,2022-02-11,22,0,21,0,0,0,0
上海,黄浦区,2022-02-10,22,0,21,0,0,0,0
上海,黄浦区,2022-02-09,22,0,21,0,0,0,0
上海,黄浦区,2022-02-08,22,0,21,0,0,0,0
上海,黄浦区,2022-02-07,22,0,21,0,0,0,0
上海,黄浦区,2022-02-06,22,0,21,0,0,0,0
上海,黄浦区,2022-02-05,22,0,21,0,0,0,0
上海,黄浦区,2022-02-04,22,0,21,0,0,0,0
上海,黄浦区,2022-02-03,22,0,21,0,0,0,0
上海,黄浦区,2022-02-02,22,0,21,0,0,0,0
上海,黄浦区,2022-02-01,22,0,21,0,0,0,0
上海,黄浦区,2022-01-31,22,0,21,0,0,0,0
上海,黄浦区,2022-01-30,22,0,21,0,0,0,0
上海,黄浦区,2022-01-29,22,0,21,0,0,0,0
上海,黄浦区,2022-01-28,22,0,21,0,0,0,0
上海,黄浦区,2022-01-27,22,0,21,0,0,0,0
上海,黄浦区,2022-01-26,22,0,21,0,0,0,0
上海,黄浦区,2022-01-25,22,0,21,0,0,0,0
上海,黄浦区,2022-01-24,22,0,21,0,0,0,0
上海,黄浦区,2022-01-23,22,0,21,0,0,0,0
上海,黄浦区,2022-01-22,22,0,21,0,0,0,0
上海,黄浦区,2022-01-21,22,0,21,0,0,0,0
上海,黄浦区,2022-01-20,22,0,21,0,0,0,0
上海,黄浦区,2022-01-19,22,0,21,0,0,0,0
上海,黄浦区,2022-01-18,22,0,21,0,0,0,0
上海,黄浦区,2022-01-17,22,0,21,0,0,0,0
上海,黄浦区,2022-01-16,22,0,21,0,0,0,0
上海,黄浦区,2022-01-15,22,0,21,0,0,0,0
上海,黄浦区,2022-01-14,22,0,21,0,0,0,0
上海,黄浦区,2022-01-13,22,0,21,0,0,0,0
上海,黄浦区,2022-01-12,22,0,21,0,0,0,0
上海,黄浦区,2022-01-11,22,0,21,0,0,0,0
上海,黄浦区,2022-01-10,22,0,21,0,0,0,0
上海,黄浦区,2022-01-09,22,0,21,0,0,0,0
上海,黄浦区,2022-01-08,22,0,21,0,0,0,0
上海,黄浦区,2022-01-07,22,0,21,0,0,0,0
