省份,时间,累计确诊,新增确诊,现有确诊,累计治愈,新增治愈,累计死亡,新增死亡,累计无症状,新增无症状
北京,2022-05-11,2632,35,595,2028,45,9,0,741,11
北京,2022-05-10,2597,25,605,1983,42,9,0,730,13
北京,2022-05-09,2572,62,622,1941,26,9,0,717,13
北京,2022-05-08,2510,33,586,1915,13,9,0,704,16
北京,2022-05-07,2477,44,566,1902,10,9,0,688,18
北京,2022-05-06,2433,46,532,1892,16,9,0,670,8
北京,2022-05-05,2387,55,502,1876,6,9,0,662,17
北京,2022-05-04,2332,43,453,1870,20,9,0,645,8
北京,2022-05-03,2289,47,430,1850,8,9,0,637,5
北京,2022-05-02,2242,51,391,1842,5,9,0,632,11
北京,2022-05-01,2191,36,345,1837,10,9,0,621,5
北京,2022-04-30,2155,53,319,1827,11,9,0,616,6
北京,2022-04-29,2102,50,277,1816,2,9,0,610,6
北京,2022-04-28,2052,49,229,1814,4,9,0,604,2
北京,2022-04-27,2003,49,184,1810,1,9,0,602,2
北京,2022-04-26,1954,31,136,1809,3,9,0,600,3
北京,2022-04-25,1923,32,108,1806,2,9,0,597,1
北京,2022-04-24,1891,15,78,1804,5,9,0,596,5
北京,2022-04-23,1876,22,68,1799,6,9,0,591,1
北京,2022-04-22,1854,8,52,1793,3,9,0,590,0
北京,2022-04-21,1846,1,47,1790,3,9,0,590,1
北京,2022-04-20,1845,1,49,1787,2,9,0,589,0
北京,2022-04-19,1844,2,50,1785,3,9,0,589,0
北京,2022-04-18,1842,3,51,1782,9,9,0,589,0
北京,2022-04-17,1839,7,57,1773,7,9,0,589,1
北京,2022-04-16,1832,0,57,1766,4,9,0,588,3
北京,2022-04-15,1832,1,61,1762,7,9,0,585,3
北京,2022-04-14,1831,3,67,1755,2,9,0,582,0
北京,2022-04-13,1828,2,66,1753,3,9,0,582,0
北京,2022-04-12,1826,0,67,1750,3,9,0,582,0
北京,2022-04-11,1826,4,70,1747,1,9,0,582,0
北京,2022-04-10,1822,1,67,1746,3,9,0,582,0
北京,2022-04-09,1821,4,69,1743,6,9,0,582,1
北京,2022-04-08,1817,8,71,1737,1,9,0,581,1
北京,2022-04-07,1809,9,64,1736,3,9,0,580,1
北京,2022-04-06,1800,5,58,1733,7,9,0,579,0
北京,2022-04-05,1795,4,60,1726,3,9,0,579,1
北京,2022-04-04,1791,10,59,1723,5,9,0,578,2
北京,2022-04-03,1781,4,54,1718,7,9,0,576,0
北京,2022-04-02,1777,0,57,1711,9,9,0,576,0
北京,2022-04-01,1777,8,66,1702,15,9,0,576,3
北京,2022-03-31,1769,2,73,1687,12,9,0,573,4
北京,2022-03-30,1767,2,83,1675,11,9,0,569,2
北京,2022-03-29,1765,3,92,1664,15,9,0,567,0
北京,2022-03-28,1762,3,104,1649,16,9,0,567,2
北京,2022-03-27,1759,2,117,1633,13,9,0,565,2
北京,2022-03-26,1757,2,128,1620,12,9,0,563,1
