省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
北京,丰台区,2022-05-11,426,8,3,3,0,0,0
北京,丰台区,2022-05-10,418,1,0,0,0,0,0
北京,丰台区,2022-05-09,417,3,0,0,0,0,0
北京,丰台区,2022-05-08,414,4,0,0,0,0,0
北京,丰台区,2022-05-07,410,7,0,0,0,0,0
北京,丰台区,2022-05-06,403,1,0,0,0,0,0
北京,丰台区,2022-05-05,402,2,0,0,0,0,0
北京,丰台区,2022-05-04,400,5,0,0,0,0,0
北京,丰台区,2022-05-03,395,4,0,0,0,0,0
北京,丰台区,2022-05-02,391,5,0,0,0,0,0
北京,丰台区,2022-05-01,386,2,0,0,0,0,0
北京,丰台区,2022-04-30,384,5,0,0,0,0,0
北京,丰台区,2022-04-29,379,6,0,0,0,0,0
北京,丰台区,2022-04-28,373,5,0,0,0,0,0
北京,丰台区,2022-04-27,368,0,0,0,0,0,0
北京,丰台区,2022-04-26,368,3,0,0,0,0,0
北京,丰台区,2022-04-25,365,2,0,0,0,0,0
北京,丰台区,2022-04-24,363,0,0,0,0,0,0
北京,丰台区,2022-04-23,363,0,0,0,0,0,0
北京,丰台区,2022-04-22,363,0,0,0,0,0,0
北京,丰台区,2022-04-21,363,0,0,0,0,0,0
北京,丰台区,2022-04-20,363,0,0,0,0,0,0
北京,丰台区,2022-04-19,363,0,0,0,0,0,0
北京,丰台区,2022-04-18,363,1,0,0,0,0,0
北京,丰台区,2022-04-17,362,1,0,0,0,0,0
北京,丰台区,2022-04-16,361,0,0,0,0,0,0
北京,丰台区,2022-04-15,361,0,0,0,0,0,0
北京,丰台区,2022-04-14,361,1,0,0,0,0,0
北京,丰台区,2022-04-13,360,1,0,0,0,0,0
北京,丰台区,2022-04-12,359,0,0,0,0,0,0
北京,丰台区,2022-04-11,359,3,0,0,0,0,0
北京,丰台区,2022-04-10,356,0,0,0,0,0,0
北京,丰台区,2022-04-09,356,0,0,0,0,0,0
北京,丰台区,2022-04-08,356,3,0,0,0,0,0
北京,丰台区,2022-04-07,353,0,0,0,0,0,0
北京,丰台区,2022-04-06,353,0,0,0,0,0,0
北京,丰台区,2022-04-05,353,0,0,0,0,0,0
北京,丰台区,2022-04-04,353,1,0,0,0,0,0
北京,丰台区,2022-04-03,352,0,0,0,0,0,0
北京,丰台区,2022-04-02,352,0,0,0,0,0,0
北京,丰台区,2022-04-01,352,0,0,0,0,0,0
北京,丰台区,2022-03-31,352,0,0,0,0,0,0
北京,丰台区,2022-03-30,352,0,0,0,0,0,0
北京,丰台区,2022-03-29,352,0,0,0,0,0,0
北京,丰台区,2022-03-28,352,0,0,0,0,0,0
北京,丰台区,2022-03-27,352,0,0,0,0,0,0
北京,丰台区,2022-03-26,352,0,0,0,0,0,0
北京,丰台区,2022-03-25,352,0,0,0,0,0,0
北京,丰台区,2022-03-24,352,0,0,0,0,0,0
北京,丰台区,2022-03-23,352,0,0,0,0,0,0
北京,丰台区,2022-03-22,352,0,0,0,0,0,0
北京,丰台区,2022-03-21,352,0,0,0,0,0,0
北京,丰台区,2022-03-20,352,0,0,0,0,0,0
北京,丰台区,2022-03-19,352,0,0,0,0,0,0
北京,丰台区,2022-03-18,352,0,0,0,0,0,0
北京,丰台区,2022-03-17,352,1,0,0,0,0,0
北京,丰台区,2022-03-16,351,0,0,0,0,0,0
北京,丰台区,2022-03-15,351,0,0,0,0,0,0
北京,丰台区,2022-03-14,351,0,0,0,0,0,0
北京,丰台区,2022-03-13,351,0,0,0,0,0,0
北京,丰台区,2022-03-12,351,0,0,0,0,0,0
北京,丰台区,2022-03-11,351,0,0,0,0,0,0
北京,丰台区,2022-03-10,351,0,0,0,0,0,0
北京,丰台区,2022-03-09,351,0,0,0,0,0,0
北京,丰台区,2022-03-08,351,0,0,0,0,0,0
北京,丰台区,2022-03-07,351,0,0,0,0,0,0
北京,丰台区,2022-03-06,351,0,0,0,0,0,0
北京,丰台区,2022-03-05,351,0,0,0,0,0,0
北京,丰台区,2022-03-04,351,0,0,0,0,0,0
北京,丰台区,2022-03-03,351,0,0,0,0,0,0
北京,丰台区,2022-03-02,351,0,0,0,0,0,0
北京,丰台区,2022-03-01,351,0,0,0,0,0,0
北京,丰台区,2022-02-28,351,0,0,0,0,0,0
北京,丰台区,2022-02-27,351,0,0,0,0,0,0
北京,丰台区,2022-02-26,351,0,0,0,0,0,0
北京,丰台区,2022-02-25,351,0,0,0,0,0,0
北京,丰台区,2022-02-24,351,0,0,0,0,0,0
北京,丰台区,2022-02-23,351,0,0,0,0,0,0
北京,丰台区,2022-02-22,351,2,0,0,0,0,0
北京,丰台区,2022-02-21,349,0,0,0,0,0,0
北京,丰台区,2022-02-20,349,0,0,0,0,0,0
北京,丰台区,2022-02-19,349,0,0,0,0,0,0
北京,丰台区,2022-02-18,349,0,0,0,0,0,0
北京,丰台区,2022-02-17,349,0,0,0,0,0,0
北京,丰台区,2022-02-16,349,0,0,0,0,0,0
北京,丰台区,2022-02-15,349,0,0,0,0,0,0
北京,丰台区,2022-02-14,349,0,0,0,0,0,0
北京,丰台区,2022-02-13,349,0,0,0,0,0,0
北京,丰台区,2022-02-12,349,0,0,0,0,0,0
北京,丰台区,2022-02-11,349,0,0,0,0,0,0
北京,丰台区,2022-02-10,349,0,0,0,0,0,0
北京,丰台区,2022-02-09,349,0,0,0,0,0,0
北京,丰台区,2022-02-08,349,0,0,0,0,0,0
北京,丰台区,2022-02-07,349,0,0,0,0,0,0
北京,丰台区,2022-02-06,349,1,0,0,0,0,0
北京,丰台区,2022-02-05,348,0,0,0,0,0,0
北京,丰台区,2022-02-04,348,1,0,0,0,0,0
北京,丰台区,2022-02-03,347,0,0,0,0,0,0
北京,丰台区,2022-02-02,347,1,0,0,0,0,0
北京,丰台区,2022-02-01,346,2,0,0,0,0,0
北京,丰台区,2022-01-31,344,2,0,0,0,0,0
北京,丰台区,2022-01-30,342,2,0,0,0,0,0
北京,丰台区,2022-01-29,340,14,0,0,0,0,0
北京,丰台区,2022-01-28,326,4,0,0,0,0,0
北京,丰台区,2022-01-27,322,7,0,0,0,0,0
北京,丰台区,2022-01-26,315,5,0,0,0,0,0
北京,丰台区,2022-01-25,310,9,0,0,0,0,0
北京,丰台区,2022-01-24,301,4,0,0,0,0,0
北京,丰台区,2022-01-23,297,4,0,0,0,0,0
北京,丰台区,2022-01-22,293,6,0,0,0,0,0
北京,丰台区,2022-01-21,287,6,0,0,0,0,0
北京,丰台区,2022-01-20,281,2,0,0,0,0,0
北京,丰台区,2022-01-19,279,2,0,0,0,0,0
北京,丰台区,2022-01-18,277,0,0,0,0,0,0
北京,丰台区,2022-01-17,277,0,0,0,0,0,0
北京,丰台区,2022-01-16,277,0,0,0,0,0,0
北京,丰台区,2022-01-15,277,0,0,0,0,0,0
北京,丰台区,2022-01-14,277,0,0,0,0,0,0
北京,丰台区,2022-01-13,277,0,0,0,0,0,0
北京,丰台区,2022-01-12,277,0,0,0,0,0,0
北京,丰台区,2022-01-11,277,0,0,0,0,0,0
北京,丰台区,2022-01-10,277,0,0,0,0,0,0
北京,丰台区,2022-01-09,277,0,0,0,0,0,0
北京,丰台区,2022-01-08,277,0,0,0,0,0,0
北京,丰台区,2022-01-07,277,0,0,0,0,0,0
北京,丰台区,2022-01-06,277,0,0,0,0,0,0
北京,丰台区,2022-01-05,277,0,0,0,0,0,0
北京,丰台区,2022-01-04,277,0,0,0,0,0,0
北京,丰台区,2022-01-03,277,0,0,0,0,0,0
北京,丰台区,2022-01-02,277,0,0,0,0,0,0
北京,丰台区,2022-01-01,277,0,0,0,0,0,0
北京,丰台区,2021-12-31,277,0,0,0,0,0,0
北京,丰台区,2021-12-30,277,0,0,0,0,0,0
北京,丰台区,2021-12-29,277,0,0,0,0,0,0
北京,丰台区,2021-12-28,277,0,0,0,0,0,0
北京,丰台区,2021-12-27,277,0,0,0,0,0,0
北京,丰台区,2021-12-26,277,0,0,0,0,0,0
北京,丰台区,2021-12-25,277,0,0,0,0,0,0
北京,丰台区,2021-12-24,277,0,0,0,0,0,0
北京,丰台区,2021-12-23,277,0,0,0,0,0,0
北京,丰台区,2021-12-22,277,0,0,0,0,0,0
北京,丰台区,2021-12-21,277,0,0,0,0,0,0
北京,丰台区,2021-12-20,277,0,0,0,0,0,0
北京,丰台区,2021-12-19,277,0,0,0,0,0,0
北京,丰台区,2021-12-18,277,0,0,0,0,0,0
北京,丰台区,2021-12-17,277,0,0,0,0,0,0
北京,丰台区,2021-12-16,277,0,0,0,0,0,0
北京,丰台区,2021-12-15,277,0,0,0,0,0,0
北京,丰台区,2021-12-14,277,0,0,0,0,0,0
北京,丰台区,2021-12-13,277,0,0,0,0,0,0
北京,丰台区,2021-12-12,277,0,0,0,0,0,0
北京,丰台区,2021-12-11,277,0,0,0,0,0,0
北京,丰台区,2021-12-10,277,0,0,0,0,0,0
北京,丰台区,2021-12-09,277,0,0,0,0,0,0
北京,丰台区,2021-12-08,277,0,0,0,0,0,0
北京,丰台区,2021-12-07,277,0,0,0,0,0,0
北京,丰台区,2021-12-06,277,0,0,0,0,0,0
北京,丰台区,2021-12-05,277,0,0,0,0,0,0
北京,丰台区,2021-12-04,277,0,0,0,0,0,0
北京,丰台区,2021-12-03,277,0,0,0,0,0,0
北京,丰台区,2021-12-02,277,0,0,0,0,0,0
北京,丰台区,2021-12-01,277,0,0,0,0,0,0
北京,丰台区,2021-11-30,277,0,0,0,0,0,0
北京,丰台区,2021-11-29,277,0,0,0,0,0,0
北京,丰台区,2021-11-28,277,0,0,0,0,0,0
北京,丰台区,2021-11-27,277,0,0,0,0,0,0
北京,丰台区,2021-11-26,277,0,0,0,0,0,0
北京,丰台区,2021-11-25,277,0,0,0,0,0,0
北京,丰台区,2021-11-24,277,0,0,0,0,0,0
北京,丰台区,2021-11-23,277,0,0,0,0,0,0
北京,丰台区,2021-11-22,277,0,0,0,0,0,0
北京,丰台区,2021-11-21,277,0,0,0,0,0,0
北京,丰台区,2021-11-20,277,0,0,0,0,0,0
北京,丰台区,2021-11-19,277,0,0,0,0,0,0
北京,丰台区,2021-11-18,277,0,0,0,0,0,0
北京,丰台区,2021-11-17,277,0,0,0,0,0,0
北京,丰台区,2021-11-16,277,0,0,0,0,0,0
北京,丰台区,2021-11-15,277,0,0,0,0,0,0
北京,丰台区,2021-11-14,277,0,0,0,0,0,0
北京,丰台区,2021-11-13,277,0,0,0,0,0,0
北京,丰台区,2021-11-12,277,0,0,0,0,0,0
北京,丰台区,2021-11-11,277,0,0,0,0,0,0
北京,丰台区,2021-11-10,277,0,0,0,0,0,0
北京,丰台区,2021-11-09,277,0,0,0,0,0,0
北京,丰台区,2021-11-08,277,0,0,0,0,0,0
北京,丰台区,2021-11-07,277,0,0,0,0,0,0
北京,丰台区,2021-11-06,277,0,0,0,0,0,0
北京,丰台区,2021-11-05,277,0,0,0,0,0,0
北京,丰台区,2021-11-04,277,0,0,0,0,0,0
北京,丰台区,2021-11-03,277,0,0,0,0,0,0
北京,丰台区,2021-11-02,277,0,0,0,0,0,0
北京,丰台区,2021-11-01,277,0,0,0,0,0,0
北京,丰台区,2021-10-31,277,0,0,0,0,0,0
北京,丰台区,2021-10-30,277,0,0,0,0,0,0
北京,丰台区,2021-10-29,277,0,0,0,0,0,0
