省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
北京,境外输入,2022-05-11,713,0,0,0,0,0,0
北京,境外输入,2022-05-10,713,1,0,0,0,0,0
北京,境外输入,2022-05-09,712,1,0,0,0,0,0
北京,境外输入,2022-05-08,711,0,0,0,0,0,0
北京,境外输入,2022-05-07,711,0,0,0,0,0,0
北京,境外输入,2022-05-06,711,1,0,0,0,0,0
北京,境外输入,2022-05-05,710,0,0,0,0,0,0
北京,境外输入,2022-05-04,710,1,0,0,0,0,0
北京,境外输入,2022-05-03,709,1,0,0,0,0,0
北京,境外输入,2022-05-02,708,0,0,0,0,0,0
北京,境外输入,2022-05-01,708,0,0,0,0,0,0
北京,境外输入,2022-04-30,708,0,0,0,0,0,0
北京,境外输入,2022-04-29,708,2,0,0,0,0,0
北京,境外输入,2022-04-28,706,2,0,0,0,0,0
北京,境外输入,2022-04-27,704,1,0,0,0,0,0
北京,境外输入,2022-04-26,703,0,0,0,0,0,0
北京,境外输入,2022-04-25,703,0,0,0,0,0,0
北京,境外输入,2022-04-24,703,1,0,0,0,0,0
北京,境外输入,2022-04-23,702,0,0,0,0,0,0
北京,境外输入,2022-04-22,702,2,0,0,0,0,0
北京,境外输入,2022-04-21,700,0,0,0,0,0,0
北京,境外输入,2022-04-20,700,0,0,0,0,0,0
北京,境外输入,2022-04-19,700,0,0,0,0,0,0
北京,境外输入,2022-04-18,700,1,0,0,0,0,0
北京,境外输入,2022-04-17,699,4,0,0,0,0,0
北京,境外输入,2022-04-16,695,0,0,0,0,0,0
北京,境外输入,2022-04-15,695,1,0,0,0,0,0
北京,境外输入,2022-04-14,694,1,0,0,0,0,0
北京,境外输入,2022-04-13,693,1,0,0,0,0,0
北京,境外输入,2022-04-12,692,0,0,0,0,0,0
北京,境外输入,2022-04-11,692,0,0,0,0,0,0
北京,境外输入,2022-04-10,692,1,0,0,0,0,0
北京,境外输入,2022-04-09,691,1,0,0,0,0,0
北京,境外输入,2022-04-08,690,2,0,0,0,0,0
北京,境外输入,2022-04-07,688,0,0,0,0,0,0
北京,境外输入,2022-04-06,688,1,0,0,0,0,0
北京,境外输入,2022-04-05,687,0,0,0,0,0,0
北京,境外输入,2022-04-04,687,2,0,0,0,0,0
北京,境外输入,2022-04-03,685,3,0,0,0,0,0
北京,境外输入,2022-04-02,682,0,0,0,0,0,0
北京,境外输入,2022-04-01,682,8,0,0,0,0,0
北京,境外输入,2022-03-31,674,2,0,0,0,0,0
北京,境外输入,2022-03-30,672,2,0,0,0,0,0
北京,境外输入,2022-03-29,670,1,0,0,0,0,0
北京,境外输入,2022-03-28,669,3,0,0,0,0,0
北京,境外输入,2022-03-27,666,2,0,0,0,0,0
北京,境外输入,2022-03-26,664,1,0,0,0,0,0
北京,境外输入,2022-03-25,663,7,0,0,0,0,0
北京,境外输入,2022-03-24,656,5,0,0,0,0,0
北京,境外输入,2022-03-23,651,0,0,0,0,0,0
北京,境外输入,2022-03-22,651,1,0,0,0,0,0
北京,境外输入,2022-03-21,650,4,0,0,0,0,0
北京,境外输入,2022-03-20,646,4,0,0,0,0,0
北京,境外输入,2022-03-19,642,14,0,0,0,0,0
北京,境外输入,2022-03-18,628,10,0,0,0,0,0
北京,境外输入,2022-03-17,618,7,0,0,0,0,0
北京,境外输入,2022-03-16,611,8,0,0,0,0,0
北京,境外输入,2022-03-15,603,3,0,0,0,0,0
