省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
北京,大兴区,2022-05-11,162,0,2,2,0,0,0
北京,大兴区,2022-05-10,162,0,0,0,0,0,0
北京,大兴区,2022-05-09,162,0,0,0,0,0,0
北京,大兴区,2022-05-08,162,0,0,0,0,0,0
北京,大兴区,2022-05-07,162,0,0,0,0,0,0
北京,大兴区,2022-05-06,162,1,0,0,0,0,0
北京,大兴区,2022-05-05,161,1,0,0,0,0,0
北京,大兴区,2022-05-04,160,1,0,0,0,0,0
北京,大兴区,2022-05-03,159,2,0,0,0,0,0
北京,大兴区,2022-05-02,157,0,0,0,0,0,0
北京,大兴区,2022-05-01,157,2,0,0,0,0,0
北京,大兴区,2022-04-30,155,2,0,0,0,0,0
北京,大兴区,2022-04-29,153,3,0,0,0,0,0
北京,大兴区,2022-04-28,150,0,0,0,0,0,0
北京,大兴区,2022-04-27,150,1,0,0,0,0,0
北京,大兴区,2022-04-26,149,0,0,0,0,0,0
北京,大兴区,2022-04-25,149,0,0,0,0,0,0
北京,大兴区,2022-04-24,149,0,0,0,0,0,0
北京,大兴区,2022-04-23,149,0,0,0,0,0,0
北京,大兴区,2022-04-22,149,0,0,0,0,0,0
北京,大兴区,2022-04-21,149,0,0,0,0,0,0
北京,大兴区,2022-04-20,149,0,0,0,0,0,0
北京,大兴区,2022-04-19,149,0,0,0,0,0,0
北京,大兴区,2022-04-18,149,0,0,0,0,0,0
北京,大兴区,2022-04-17,149,0,0,0,0,0,0
北京,大兴区,2022-04-16,149,0,0,0,0,0,0
北京,大兴区,2022-04-15,149,0,0,0,0,0,0
北京,大兴区,2022-04-14,149,0,0,0,0,0,0
北京,大兴区,2022-04-13,149,0,0,0,0,0,0
北京,大兴区,2022-04-12,149,0,0,0,0,0,0
北京,大兴区,2022-04-11,149,0,0,0,0,0,0
北京,大兴区,2022-04-10,149,0,0,0,0,0,0
北京,大兴区,2022-04-09,149,0,0,0,0,0,0
北京,大兴区,2022-04-08,149,0,0,0,0,0,0
北京,大兴区,2022-04-07,149,0,0,0,0,0,0
北京,大兴区,2022-04-06,149,0,0,0,0,0,0
北京,大兴区,2022-04-05,149,0,0,0,0,0,0
北京,大兴区,2022-04-04,149,0,0,0,0,0,0
北京,大兴区,2022-04-03,149,1,0,0,0,0,0
北京,大兴区,2022-04-02,148,0,0,0,0,0,0
北京,大兴区,2022-04-01,148,0,0,0,0,0,0
北京,大兴区,2022-03-31,148,0,0,0,0,0,0
北京,大兴区,2022-03-30,148,0,0,0,0,0,0
北京,大兴区,2022-03-29,148,0,0,0,0,0,0
北京,大兴区,2022-03-28,148,0,0,0,0,0,0
北京,大兴区,2022-03-27,148,0,0,0,0,0,0
北京,大兴区,2022-03-26,148,0,0,0,0,0,0
北京,大兴区,2022-03-25,148,0,0,0,0,0,0
北京,大兴区,2022-03-24,148,0,0,0,0,0,0
北京,大兴区,2022-03-23,148,0,0,0,0,0,0
北京,大兴区,2022-03-22,148,0,0,0,0,0,0
北京,大兴区,2022-03-21,148,0,0,0,0,0,0
北京,大兴区,2022-03-20,148,0,0,0,0,0,0
北京,大兴区,2022-03-19,148,0,0,0,0,0,0
北京,大兴区,2022-03-18,148,0,0,0,0,0,0
北京,大兴区,2022-03-17,148,0,0,0,0,0,0
北京,大兴区,2022-03-16,148,0,0,0,0,0,0
北京,大兴区,2022-03-15,148,0,0,0,0,0,0
北京,大兴区,2022-03-14,148,0,0,0,0,0,0
北京,大兴区,2022-03-13,148,0,0,0,0,0,0
北京,大兴区,2022-03-12,148,0,0,0,0,0,0
北京,大兴区,2022-03-11,148,1,0,0,0,0,0
北京,大兴区,2022-03-10,147,1,0,0,0,0,0
北京,大兴区,2022-03-09,146,0,0,0,0,0,0
北京,大兴区,2022-03-08,146,0,0,0,0,0,0
北京,大兴区,2022-03-07,146,0,0,0,0,0,0
北京,大兴区,2022-03-06,146,0,0,0,0,0,0
北京,大兴区,2022-03-05,146,0,0,0,0,0,0
北京,大兴区,2022-03-04,146,0,0,0,0,0,0
北京,大兴区,2022-03-03,146,0,0,0,0,0,0
北京,大兴区,2022-03-02,146,0,0,0,0,0,0
北京,大兴区,2022-03-01,146,0,0,0,0,0,0
北京,大兴区,2022-02-28,146,0,0,0,0,0,0
北京,大兴区,2022-02-27,146,0,0,0,0,0,0
北京,大兴区,2022-02-26,146,0,0,0,0,0,0
北京,大兴区,2022-02-25,146,0,0,0,0,0,0
北京,大兴区,2022-02-24,146,0,0,0,0,0,0
北京,大兴区,2022-02-23,146,0,0,0,0,0,0
北京,大兴区,2022-02-22,146,2,0,0,0,0,0
北京,大兴区,2022-02-21,144,0,0,0,0,0,0
北京,大兴区,2022-02-20,144,0,0,0,0,0,0
北京,大兴区,2022-02-19,144,0,0,0,0,0,0
北京,大兴区,2022-02-18,144,0,0,0,0,0,0
北京,大兴区,2022-02-17,144,0,0,0,0,0,0
北京,大兴区,2022-02-16,144,0,0,0,0,0,0
北京,大兴区,2022-02-15,144,0,0,0,0,0,0
北京,大兴区,2022-02-14,144,0,0,0,0,0,0
北京,大兴区,2022-02-13,144,0,0,0,0,0,0
北京,大兴区,2022-02-12,144,0,0,0,0,0,0
北京,大兴区,2022-02-11,144,0,0,0,0,0,0
北京,大兴区,2022-02-10,144,0,0,0,0,0,0
北京,大兴区,2022-02-09,144,0,0,0,0,0,0
北京,大兴区,2022-02-08,144,0,0,0,0,0,0
北京,大兴区,2022-02-07,144,0,0,0,0,0,0
北京,大兴区,2022-02-06,144,0,0,0,0,0,0
北京,大兴区,2022-02-05,144,0,0,0,0,0,0
北京,大兴区,2022-02-04,144,0,0,0,0,0,0
北京,大兴区,2022-02-03,144,0,0,0,0,0,0
北京,大兴区,2022-02-02,144,1,0,0,0,0,0
北京,大兴区,2022-02-01,143,0,0,0,0,0,0
北京,大兴区,2022-01-31,143,0,0,0,0,0,0
北京,大兴区,2022-01-30,143,0,0,0,0,0,0
北京,大兴区,2022-01-29,143,4,0,0,0,0,0
北京,大兴区,2022-01-28,139,0,0,0,0,0,0
北京,大兴区,2022-01-27,139,1,0,0,0,0,0
北京,大兴区,2022-01-26,138,0,0,0,0,0,0
北京,大兴区,2022-01-25,138,1,0,0,0,0,0
北京,大兴区,2022-01-24,137,0,0,0,0,0,0
北京,大兴区,2022-01-23,137,1,0,0,0,0,0
北京,大兴区,2022-01-22,136,0,0,0,0,0,0
北京,大兴区,2022-01-21,136,2,0,0,0,0,0
北京,大兴区,2022-01-20,134,0,0,0,0,0,0
北京,大兴区,2022-01-19,134,0,0,0,0,0,0
北京,大兴区,2022-01-18,134,0,0,0,0,0,0
北京,大兴区,2022-01-17,134,0,0,0,0,0,0
北京,大兴区,2022-01-16,134,0,0,0,0,0,0
北京,大兴区,2022-01-15,134,0,0,0,0,0,0
北京,大兴区,2022-01-14,134,0,0,0,0,0,0
北京,大兴区,2022-01-13,134,0,0,0,0,0,0
北京,大兴区,2022-01-12,134,0,0,0,0,0,0
北京,大兴区,2022-01-11,134,0,0,0,0,0,0
北京,大兴区,2022-01-10,134,0,0,0,0,0,0
北京,大兴区,2022-01-09,134,0,0,0,0,0,0
北京,大兴区,2022-01-08,134,0,0,0,0,0,0
北京,大兴区,2022-01-07,134,0,0,0,0,0,0
北京,大兴区,2022-01-06,134,0,0,0,0,0,0
北京,大兴区,2022-01-05,134,0,0,0,0,0,0
北京,大兴区,2022-01-04,134,0,0,0,0,0,0
北京,大兴区,2022-01-03,134,0,0,0,0,0,0
北京,大兴区,2022-01-02,134,0,0,0,0,0,0
北京,大兴区,2022-01-01,134,0,0,0,0,0,0
