省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
北京,房山区,2022-05-11,211,13,0,0,0,0,0
北京,房山区,2022-05-10,198,9,0,0,0,0,0
北京,房山区,2022-05-09,189,10,0,0,0,0,0
北京,房山区,2022-05-08,179,14,0,0,0,0,0
北京,房山区,2022-05-07,165,5,0,0,0,0,0
北京,房山区,2022-05-06,160,10,0,0,0,0,0
北京,房山区,2022-05-05,150,7,0,0,0,0,0
北京,房山区,2022-05-04,143,11,0,0,0,0,0
北京,房山区,2022-05-03,132,11,0,0,0,0,0
北京,房山区,2022-05-02,121,15,0,0,0,0,0
北京,房山区,2022-05-01,106,8,0,0,0,0,0
北京,房山区,2022-04-30,98,9,0,0,0,0,0
北京,房山区,2022-04-29,89,11,0,0,0,0,0
北京,房山区,2022-04-28,78,14,0,0,0,0,0
北京,房山区,2022-04-27,64,18,0,0,0,0,0
北京,房山区,2022-04-26,46,8,0,0,0,0,0
北京,房山区,2022-04-25,38,4,0,0,0,0,0
北京,房山区,2022-04-24,34,2,0,0,0,0,0
北京,房山区,2022-04-23,32,1,0,0,0,0,0
北京,房山区,2022-04-22,31,0,0,0,0,0,0
北京,房山区,2022-04-21,31,0,0,0,0,0,0
北京,房山区,2022-04-20,31,0,0,0,0,0,0
北京,房山区,2022-04-19,31,0,0,0,0,0,0
北京,房山区,2022-04-18,31,0,0,0,0,0,0
北京,房山区,2022-04-17,31,0,0,0,0,0,0
北京,房山区,2022-04-16,31,0,0,0,0,0,0
北京,房山区,2022-04-15,31,0,0,0,0,0,0
北京,房山区,2022-04-14,31,0,0,0,0,0,0
北京,房山区,2022-04-13,31,0,0,0,0,0,0
北京,房山区,2022-04-12,31,0,0,0,0,0,0
北京,房山区,2022-04-11,31,0,0,0,0,0,0
北京,房山区,2022-04-10,31,0,0,0,0,0,0
北京,房山区,2022-04-09,31,0,0,0,0,0,0
北京,房山区,2022-04-08,31,0,0,0,0,0,0
