省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
北京,朝阳区,2022-05-11,431,8,0,0,0,0,0
北京,朝阳区,2022-05-10,423,4,0,0,0,0,0
北京,朝阳区,2022-05-09,419,17,0,0,0,0,0
北京,朝阳区,2022-05-08,402,4,0,0,0,0,0
北京,朝阳区,2022-05-07,398,23,0,0,0,0,0
北京,朝阳区,2022-05-06,375,15,0,0,0,0,0
北京,朝阳区,2022-05-05,360,32,0,0,0,0,0
北京,朝阳区,2022-05-04,328,14,0,0,0,0,0
北京,朝阳区,2022-05-03,314,20,0,0,0,0,0
北京,朝阳区,2022-05-02,294,15,0,0,0,0,0
北京,朝阳区,2022-05-01,279,8,0,0,0,0,0
北京,朝阳区,2022-04-30,271,17,0,0,0,0,0
北京,朝阳区,2022-04-29,254,16,0,0,0,0,0
北京,朝阳区,2022-04-28,238,9,0,0,0,0,0
北京,朝阳区,2022-04-27,229,21,0,0,0,0,0
北京,朝阳区,2022-04-26,208,15,0,0,0,0,0
北京,朝阳区,2022-04-25,193,22,0,0,0,0,0
北京,朝阳区,2022-04-24,171,7,0,0,0,0,0
北京,朝阳区,2022-04-23,164,10,0,0,0,0,0
北京,朝阳区,2022-04-22,154,3,0,0,0,0,0
北京,朝阳区,2022-04-21,151,0,0,0,0,0,0
北京,朝阳区,2022-04-20,151,0,0,0,0,0,0
北京,朝阳区,2022-04-19,151,0,0,0,0,0,0
北京,朝阳区,2022-04-18,151,0,0,0,0,0,0
北京,朝阳区,2022-04-17,151,0,0,0,0,0,0
北京,朝阳区,2022-04-16,151,0,0,0,0,0,0
北京,朝阳区,2022-04-15,151,0,0,0,0,0,0
北京,朝阳区,2022-04-14,151,0,0,0,0,0,0
北京,朝阳区,2022-04-13,151,0,0,0,0,0,0
北京,朝阳区,2022-04-12,151,0,0,0,0,0,0
北京,朝阳区,2022-04-11,151,1,0,0,0,0,0
北京,朝阳区,2022-04-10,150,0,0,0,0,0,0
北京,朝阳区,2022-04-09,150,0,0,0,0,0,0
北京,朝阳区,2022-04-08,150,2,0,0,0,0,0
北京,朝阳区,2022-04-07,148,5,0,0,0,0,0
北京,朝阳区,2022-04-06,143,4,0,0,0,0,0
北京,朝阳区,2022-04-05,139,1,0,0,0,0,0
北京,朝阳区,2022-04-04,138,6,0,0,0,0,0
北京,朝阳区,2022-04-03,132,0,0,0,0,0,0
北京,朝阳区,2022-04-02,132,0,0,0,0,0,0
北京,朝阳区,2022-04-01,132,0,0,0,0,0,0
北京,朝阳区,2022-03-31,132,0,0,0,0,0,0
北京,朝阳区,2022-03-30,132,0,0,0,0,0,0
北京,朝阳区,2022-03-29,132,0,0,0,0,0,0
北京,朝阳区,2022-03-28,132,0,0,0,0,0,0
北京,朝阳区,2022-03-27,132,0,0,0,0,0,0
北京,朝阳区,2022-03-26,132,0,0,0,0,0,0
北京,朝阳区,2022-03-25,132,1,0,0,0,0,0
北京,朝阳区,2022-03-24,131,0,0,0,0,0,0
北京,朝阳区,2022-03-23,131,1,0,0,0,0,0
北京,朝阳区,2022-03-22,130,3,0,0,0,0,0
北京,朝阳区,2022-03-21,127,2,0,0,0,0,0
北京,朝阳区,2022-03-20,125,1,0,0,0,0,0
北京,朝阳区,2022-03-19,124,1,0,0,0,0,0
北京,朝阳区,2022-03-18,123,0,0,0,0,0,0
北京,朝阳区,2022-03-17,123,2,0,0,0,0,0
北京,朝阳区,2022-03-16,121,1,0,0,0,0,0
北京,朝阳区,2022-03-15,120,5,0,0,0,0,0
北京,朝阳区,2022-03-14,115,2,0,0,0,0,0
北京,朝阳区,2022-03-13,113,3,0,0,0,0,0
北京,朝阳区,2022-03-12,110,3,0,0,0,0,0
北京,朝阳区,2022-03-11,107,0,0,0,0,0,0
北京,朝阳区,2022-03-10,107,2,0,0,0,0,0
北京,朝阳区,2022-03-09,105,2,0,0,0,0,0
北京,朝阳区,2022-03-08,103,4,0,0,0,0,0
北京,朝阳区,2022-03-07,99,0,0,0,0,0,0
北京,朝阳区,2022-03-06,99,0,0,0,0,0,0
北京,朝阳区,2022-03-05,99,0,0,0,0,0,0
北京,朝阳区,2022-03-04,99,0,0,0,0,0,0
北京,朝阳区,2022-03-03,99,0,0,0,0,0,0
北京,朝阳区,2022-03-02,99,0,0,0,0,0,0
北京,朝阳区,2022-03-01,99,0,0,0,0,0,0
北京,朝阳区,2022-02-28,99,0,0,0,0,0,0
北京,朝阳区,2022-02-27,99,0,0,0,0,0,0
北京,朝阳区,2022-02-26,99,1,0,0,0,0,0
北京,朝阳区,2022-02-25,98,1,0,0,0,0,0
北京,朝阳区,2022-02-24,97,1,0,0,0,0,0
北京,朝阳区,2022-02-23,96,0,0,0,0,0,0
北京,朝阳区,2022-02-22,96,1,0,0,0,0,0
北京,朝阳区,2022-02-21,95,0,0,0,0,0,0
北京,朝阳区,2022-02-20,95,0,0,0,0,0,0
北京,朝阳区,2022-02-19,95,0,0,0,0,0,0
北京,朝阳区,2022-02-18,95,0,0,0,0,0,0
北京,朝阳区,2022-02-17,95,0,0,0,0,0,0
北京,朝阳区,2022-02-16,95,0,0,0,0,0,0
北京,朝阳区,2022-02-15,95,0,0,0,0,0,0
北京,朝阳区,2022-02-14,95,0,0,0,0,0,0
北京,朝阳区,2022-02-13,95,0,0,0,0,0,0
北京,朝阳区,2022-02-12,95,0,0,0,0,0,0
北京,朝阳区,2022-02-11,95,0,0,0,0,0,0
北京,朝阳区,2022-02-10,95,0,0,0,0,0,0
北京,朝阳区,2022-02-09,95,0,0,0,0,0,0
北京,朝阳区,2022-02-08,95,0,0,0,0,0,0
北京,朝阳区,2022-02-07,95,0,0,0,0,0,0
北京,朝阳区,2022-02-06,95,1,0,0,0,0,0
北京,朝阳区,2022-02-05,94,1,0,0,0,0,0
北京,朝阳区,2022-02-04,93,0,0,0,0,0,0
北京,朝阳区,2022-02-03,93,1,0,0,0,0,0
北京,朝阳区,2022-02-02,92,0,0,0,0,0,0
北京,朝阳区,2022-02-01,92,0,0,0,0,0,0
北京,朝阳区,2022-01-31,92,1,0,0,0,0,0
北京,朝阳区,2022-01-30,91,1,0,0,0,0,0
北京,朝阳区,2022-01-29,90,2,0,0,0,0,0
北京,朝阳区,2022-01-28,88,0,0,0,0,0,0
北京,朝阳区,2022-01-27,88,0,0,0,0,0,0
北京,朝阳区,2022-01-26,88,0,0,0,0,0,0
北京,朝阳区,2022-01-25,88,3,0,0,0,0,0
北京,朝阳区,2022-01-24,85,1,0,0,0,0,0
北京,朝阳区,2022-01-23,84,0,0,0,0,0,0
北京,朝阳区,2022-01-22,84,0,0,0,0,0,0
北京,朝阳区,2022-01-21,84,0,0,0,0,0,0
北京,朝阳区,2022-01-20,84,0,0,0,0,0,0
北京,朝阳区,2022-01-19,84,1,0,0,0,0,0
北京,朝阳区,2022-01-18,83,0,0,0,0,0,0
北京,朝阳区,2022-01-17,83,0,0,0,0,0,0
北京,朝阳区,2022-01-16,83,0,0,0,0,0,0
北京,朝阳区,2022-01-15,83,0,0,0,0,0,0
北京,朝阳区,2022-01-14,83,0,0,0,0,0,0
北京,朝阳区,2022-01-13,83,0,0,0,0,0,0
北京,朝阳区,2022-01-12,83,0,0,0,0,0,0
北京,朝阳区,2022-01-11,83,0,0,0,0,0,0
北京,朝阳区,2022-01-10,83,0,0,0,0,0,0
北京,朝阳区,2022-01-09,83,0,0,0,0,0,0
北京,朝阳区,2022-01-08,83,0,0,0,0,0,0
北京,朝阳区,2022-01-07,83,0,0,0,0,0,0
北京,朝阳区,2022-01-06,83,0,0,0,0,0,0
北京,朝阳区,2022-01-05,83,0,0,0,0,0,0
北京,朝阳区,2022-01-04,83,0,0,0,0,0,0
北京,朝阳区,2022-01-03,83,0,0,0,0,0,0
北京,朝阳区,2022-01-02,83,0,0,0,0,0,0
北京,朝阳区,2022-01-01,83,0,0,0,0,0,0
北京,朝阳区,2021-12-31,83,0,0,0,0,0,0
北京,朝阳区,2021-12-30,83,0,0,0,0,0,0
北京,朝阳区,2021-12-29,83,0,0,0,0,0,0
北京,朝阳区,2021-12-28,83,0,0,0,0,0,0
北京,朝阳区,2021-12-27,83,0,0,0,0,0,0
北京,朝阳区,2021-12-26,83,0,0,0,0,0,0
北京,朝阳区,2021-12-25,83,0,0,0,0,0,0
北京,朝阳区,2021-12-24,83,0,0,0,0,0,0
北京,朝阳区,2021-12-23,83,0,0,0,0,0,0
北京,朝阳区,2021-12-22,83,0,0,0,0,0,0
北京,朝阳区,2021-12-21,83,0,0,0,0,0,0
北京,朝阳区,2021-12-20,83,0,0,0,0,0,0
北京,朝阳区,2021-12-19,83,0,0,0,0,0,0
北京,朝阳区,2021-12-18,83,0,0,0,0,0,0
北京,朝阳区,2021-12-17,83,0,0,0,0,0,0
北京,朝阳区,2021-12-16,83,0,0,0,0,0,0
北京,朝阳区,2021-12-15,83,0,0,0,0,0,0
北京,朝阳区,2021-12-14,83,0,0,0,0,0,0
北京,朝阳区,2021-12-13,83,0,0,0,0,0,0
北京,朝阳区,2021-12-12,83,0,0,0,0,0,0
北京,朝阳区,2021-12-11,83,0,0,0,0,0,0
北京,朝阳区,2021-12-10,83,0,0,0,0,0,0
北京,朝阳区,2021-12-09,83,0,0,0,0,0,0
北京,朝阳区,2021-12-08,83,0,0,0,0,0,0
北京,朝阳区,2021-12-07,83,0,0,0,0,0,0
北京,朝阳区,2021-12-06,83,0,0,0,0,0,0
北京,朝阳区,2021-12-05,83,0,0,0,0,0,0
北京,朝阳区,2021-12-04,83,0,0,0,0,0,0
北京,朝阳区,2021-12-03,83,0,0,0,0,0,0
北京,朝阳区,2021-12-02,83,0,0,0,0,0,0
北京,朝阳区,2021-12-01,83,0,0,0,0,0,0
北京,朝阳区,2021-11-30,83,0,0,0,0,0,0
北京,朝阳区,2021-11-29,83,0,0,0,0,0,0
北京,朝阳区,2021-11-28,83,0,0,0,0,0,0
北京,朝阳区,2021-11-27,83,0,0,0,0,0,0
北京,朝阳区,2021-11-26,83,0,0,0,0,0,0
北京,朝阳区,2021-11-25,83,0,0,0,0,0,0
北京,朝阳区,2021-11-24,83,0,0,0,0,0,0
北京,朝阳区,2021-11-23,83,0,0,0,0,0,0
北京,朝阳区,2021-11-22,83,0,0,0,0,0,0
北京,朝阳区,2021-11-21,83,0,0,0,0,0,0
北京,朝阳区,2021-11-20,83,0,0,0,0,0,0
北京,朝阳区,2021-11-19,83,0,0,0,0,0,0
北京,朝阳区,2021-11-18,83,0,0,0,0,0,0
北京,朝阳区,2021-11-17,83,0,0,0,0,0,0
北京,朝阳区,2021-11-16,83,0,0,0,0,0,0
北京,朝阳区,2021-11-15,83,0,0,0,0,0,0
北京,朝阳区,2021-11-14,83,0,0,0,0,0,0
北京,朝阳区,2021-11-13,83,0,0,0,0,0,0
北京,朝阳区,2021-11-12,83,0,0,0,0,0,0
北京,朝阳区,2021-11-11,83,1,0,0,0,0,0
北京,朝阳区,2021-11-10,82,1,0,0,0,0,0
北京,朝阳区,2021-11-09,81,0,0,0,0,0,0
北京,朝阳区,2021-11-08,81,0,0,0,0,0,0
北京,朝阳区,2021-11-07,81,0,0,0,0,0,0
北京,朝阳区,2021-11-06,81,0,0,0,0,0,0
北京,朝阳区,2021-11-05,81,0,0,0,0,0,0
北京,朝阳区,2021-11-04,81,0,0,0,0,0,0
北京,朝阳区,2021-11-03,81,0,0,0,0,0,0
北京,朝阳区,2021-11-02,81,0,0,0,0,0,0
北京,朝阳区,2021-11-01,81,0,0,0,0,0,0
北京,朝阳区,2021-10-31,81,0,0,0,0,0,0
北京,朝阳区,2021-10-30,81,0,0,0,0,0,0
北京,朝阳区,2021-10-29,81,0,0,0,0,0,0
