省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
北京,通州区,2022-05-11,88,2,1,1,0,0,0
北京,通州区,2022-05-10,86,1,0,0,0,0,0
北京,通州区,2022-05-09,85,1,0,0,0,0,0
北京,通州区,2022-05-08,84,1,0,0,0,0,0
北京,通州区,2022-05-07,83,3,0,0,0,0,0
北京,通州区,2022-05-06,80,4,0,0,0,0,0
北京,通州区,2022-05-05,76,6,0,0,0,0,0
北京,通州区,2022-05-04,70,3,0,0,0,0,0
北京,通州区,2022-05-03,67,5,0,0,0,0,0
北京,通州区,2022-05-02,62,2,0,0,0,0,0
北京,通州区,2022-05-01,60,6,0,0,0,0,0
北京,通州区,2022-04-30,54,7,0,0,0,0,0
北京,通州区,2022-04-29,47,7,0,0,0,0,0
北京,通州区,2022-04-28,40,9,0,0,0,0,0
北京,通州区,2022-04-27,31,6,0,0,0,0,0
北京,通州区,2022-04-26,25,0,0,0,0,0,0
北京,通州区,2022-04-25,25,0,0,0,0,0,0
北京,通州区,2022-04-24,25,1,0,0,0,0,0
北京,通州区,2022-04-23,24,0,0,0,0,0,0
北京,通州区,2022-04-22,24,0,0,0,0,0,0
北京,通州区,2022-04-21,24,0,0,0,0,0,0
北京,通州区,2022-04-20,24,0,0,0,0,0,0
北京,通州区,2022-04-19,24,0,0,0,0,0,0
北京,通州区,2022-04-18,24,0,0,0,0,0,0
北京,通州区,2022-04-17,24,0,0,0,0,0,0
北京,通州区,2022-04-16,24,0,0,0,0,0,0
北京,通州区,2022-04-15,24,0,0,0,0,0,0
北京,通州区,2022-04-14,24,0,0,0,0,0,0
北京,通州区,2022-04-13,24,0,0,0,0,0,0
北京,通州区,2022-04-12,24,0,0,0,0,0,0
北京,通州区,2022-04-11,24,0,0,0,0,0,0
北京,通州区,2022-04-10,24,0,0,0,0,0,0
北京,通州区,2022-04-09,24,0,0,0,0,0,0
北京,通州区,2022-04-08,24,0,0,0,0,0,0
北京,通州区,2022-04-07,24,0,0,0,0,0,0
北京,通州区,2022-04-06,24,0,0,0,0,0,0
北京,通州区,2022-04-05,24,0,0,0,0,0,0
北京,通州区,2022-04-04,24,0,0,0,0,0,0
北京,通州区,2022-04-03,24,0,0,0,0,0,0
北京,通州区,2022-04-02,24,0,0,0,0,0,0
北京,通州区,2022-04-01,24,0,0,0,0,0,0
北京,通州区,2022-03-31,24,0,0,0,0,0,0
北京,通州区,2022-03-30,24,0,0,0,0,0,0
北京,通州区,2022-03-29,24,0,0,0,0,0,0
北京,通州区,2022-03-28,24,0,0,0,0,0,0
北京,通州区,2022-03-27,24,0,0,0,0,0,0
北京,通州区,2022-03-26,24,0,0,0,0,0,0
北京,通州区,2022-03-25,24,0,0,0,0,0,0
北京,通州区,2022-03-24,24,0,0,0,0,0,0
北京,通州区,2022-03-23,24,0,0,0,0,0,0
北京,通州区,2022-03-22,24,0,0,0,0,0,0
北京,通州区,2022-03-21,24,0,0,0,0,0,0
北京,通州区,2022-03-20,24,0,0,0,0,0,0
北京,通州区,2022-03-19,24,0,0,0,0,0,0
北京,通州区,2022-03-18,24,0,0,0,0,0,0
北京,通州区,2022-03-17,24,0,0,0,0,0,0
北京,通州区,2022-03-16,24,0,0,0,0,0,0
北京,通州区,2022-03-15,24,0,0,0,0,0,0
北京,通州区,2022-03-14,24,0,0,0,0,0,0
北京,通州区,2022-03-13,24,0,0,0,0,0,0
北京,通州区,2022-03-12,24,0,0,0,0,0,0
北京,通州区,2022-03-11,24,0,0,0,0,0,0
北京,通州区,2022-03-10,24,0,0,0,0,0,0
北京,通州区,2022-03-09,24,0,0,0,0,0,0
北京,通州区,2022-03-08,24,0,0,0,0,0,0
北京,通州区,2022-03-07,24,0,0,0,0,0,0
北京,通州区,2022-03-06,24,0,0,0,0,0,0
北京,通州区,2022-03-05,24,0,0,0,0,0,0
北京,通州区,2022-03-04,24,0,0,0,0,0,0
北京,通州区,2022-03-03,24,0,0,0,0,0,0
