省份,时间,累计确诊,新增确诊,现有确诊,累计治愈,新增治愈,累计死亡,新增死亡,累计无症状,新增无症状
台湾,2022-05-11,505455,57132,490762,13742,0,951,8,0,0
台湾,2022-05-10,448323,50819,433638,13742,0,943,12,0,0
台湾,2022-05-09,397504,40233,382831,13742,0,931,12,0,0
台湾,2022-05-08,357271,42288,342610,13742,0,919,12,0,0
台湾,2022-05-07,314983,46414,300334,13742,0,907,11,0,0
台湾,2022-05-06,268569,36167,253931,13742,0,896,10,0,0
台湾,2022-05-05,232402,29984,217774,13742,0,886,5,0,0
台湾,2022-05-04,202418,28476,187795,13742,0,881,5,0,0
台湾,2022-05-03,173942,23134,159324,13742,0,876,5,0,0
台湾,2022-05-02,150808,17853,136195,13742,0,871,3,0,0
台湾,2022-05-01,132955,17072,118345,13742,0,868,3,0,0
台湾,2022-04-30,115883,15130,101276,13742,0,865,3,0,0
台湾,2022-04-29,100753,12307,86149,13742,0,862,2,0,0
台湾,2022-04-28,88446,11508,73844,13742,0,860,2,0,0
台湾,2022-04-27,76938,8916,62338,13742,0,858,2,0,0
台湾,2022-04-26,68022,6336,53424,13742,0,856,0,0,0
台湾,2022-04-25,61686,5218,47088,13742,0,856,0,0,0
台湾,2022-04-24,56468,5170,41870,13742,0,856,0,0,0
台湾,2022-04-23,51298,4198,36700,13742,0,856,0,0,0
台湾,2022-04-22,47100,3857,32502,13742,0,856,0,0,0
台湾,2022-04-21,43243,3057,28645,13742,0,856,0,0,0
台湾,2022-04-20,40186,2476,25588,13742,0,856,0,0,0
台湾,2022-04-19,37710,1727,23112,13742,0,856,2,0,0
台湾,2022-04-18,35983,1476,21387,13742,0,854,0,0,0
台湾,2022-04-17,34507,1302,19911,13742,0,854,0,0,0
台湾,2022-04-16,33205,1348,18609,13742,0,854,0,0,0
台湾,2022-04-15,31857,1283,17261,13742,0,854,0,0,0
台湾,2022-04-14,30574,981,15978,13742,0,854,0,0,0
台湾,2022-04-13,29593,927,14997,13742,0,854,0,0,0
台湾,2022-04-12,28666,626,14070,13742,0,854,0,0,0
台湾,2022-04-11,28040,630,13444,13742,0,854,0,0,0
台湾,2022-04-10,27410,574,12814,13742,0,854,0,0,0
台湾,2022-04-09,26836,573,12240,13742,0,854,1,0,0
台湾,2022-04-08,26263,507,11668,13742,0,853,0,0,0
台湾,2022-04-07,25756,531,11161,13742,0,853,0,0,0
台湾,2022-04-06,25225,359,10630,13742,0,853,0,0,0
台湾,2022-04-05,24866,278,10271,13742,0,853,0,0,0
台湾,2022-04-04,24588,275,9993,13742,0,853,0,0,0
台湾,2022-04-03,24313,280,9718,13742,0,853,0,0,0
台湾,2022-04-02,24033,404,9438,13742,0,853,0,0,0
台湾,2022-04-01,23629,235,9034,13742,0,853,0,0,0
台湾,2022-03-31,23394,239,8799,13742,0,853,0,0,0
台湾,2022-03-30,23155,163,8560,13742,0,853,0,0,0
台湾,2022-03-29,22992,96,8397,13742,0,853,0,0,0
台湾,2022-03-28,22896,127,8301,13742,0,853,0,0,0
台湾,2022-03-27,22769,203,8174,13742,0,853,0,0,0
台湾,2022-03-26,22566,103,7971,13742,0,853,0,0,0
台湾,2022-03-25,22463,136,7868,13742,0,853,0,0,0
台湾,2022-03-24,22327,139,7732,13742,0,853,0,0,0
台湾,2022-03-23,22188,97,7593,13742,0,853,0,0,0
台湾,2022-03-22,22091,88,7496,13742,0,853,0,0,0
台湾,2022-03-21,22003,98,7408,13742,0,853,0,0,0
台湾,2022-03-20,21905,121,7310,13742,0,853,0,0,0
台湾,2022-03-19,21784,126,7189,13742,0,853,0,0,0
台湾,2022-03-18,21658,75,7063,13742,0,853,0,0,0
台湾,2022-03-17,21583,91,6988,13742,0,853,0,0,0
台湾,2022-03-16,21492,90,6897,13742,0,853,0,0,0
台湾,2022-03-15,21402,39,6807,13742,0,853,0,0,0
台湾,2022-03-14,21363,75,6768,13742,0,853,0,0,0
台湾,2022-03-13,21288,63,6693,13742,0,853,0,0,0
台湾,2022-03-12,21225,62,6630,13742,0,853,0,0,0
台湾,2022-03-11,21163,82,6568,13742,0,853,0,0,0
台湾,2022-03-10,21081,82,6486,13742,0,853,0,0,0
台湾,2022-03-09,20999,77,6404,13742,0,853,0,0,0
台湾,2022-03-08,20922,53,6327,13742,0,853,0,0,0
台湾,2022-03-07,20869,29,6274,13742,0,853,0,0,0
台湾,2022-03-06,20840,43,6245,13742,0,853,0,0,0
台湾,2022-03-05,20797,80,6202,13742,0,853,0,0,0
台湾,2022-03-04,20717,64,6122,13742,0,853,0,0,0
台湾,2022-03-03,20653,71,6058,13742,0,853,0,0,0
台湾,2022-03-02,20582,49,5987,13742,0,853,0,0,0
台湾,2022-03-01,20533,44,5938,13742,0,853,0,0,0
台湾,2022-02-28,20489,56,5894,13742,0,853,0,0,0
台湾,2022-02-27,20433,60,5838,13742,0,853,0,0,0
台湾,2022-02-26,20373,69,5778,13742,0,853,0,0,0
台湾,2022-02-25,20304,68,5709,13742,0,853,1,0,0
台湾,2022-02-24,20236,80,5642,13742,0,852,0,0,0
台湾,2022-02-23,20156,56,5562,13742,0,852,0,0,0
台湾,2022-02-22,20100,44,5506,13742,0,852,0,0,0
台湾,2022-02-21,20056,49,5462,13742,0,852,0,0,0
台湾,2022-02-20,20007,70,5413,13742,0,852,0,0,0
台湾,2022-02-19,19937,73,5343,13742,0,852,0,0,0
台湾,2022-02-18,19864,67,5270,13742,0,852,0,0,0
台湾,2022-02-17,19797,65,5203,13742,0,852,0,0,0
台湾,2022-02-16,19732,66,5138,13742,0,852,0,0,0
台湾,2022-02-15,19666,45,5072,13742,0,852,1,0,0
台湾,2022-02-14,19621,54,5028,13742,0,851,0,0,0
台湾,2022-02-13,19567,52,4974,13742,0,851,0,0,0
台湾,2022-02-12,19515,60,4922,13742,0,851,0,0,0
台湾,2022-02-11,19455,79,4862,13742,0,851,0,0,0
台湾,2022-02-10,19376,83,4783,13742,0,851,0,0,0
台湾,2022-02-09,19293,54,4700,13742,0,851,0,0,0
台湾,2022-02-08,19239,47,4646,13742,0,851,0,0,0
台湾,2022-02-07,19192,48,4599,13742,0,851,0,0,0
台湾,2022-02-06,19144,43,4551,13742,0,851,0,0,0
台湾,2022-02-05,19101,72,4508,13742,0,851,0,0,0
台湾,2022-02-04,19029,71,4436,13742,0,851,0,0,0
台湾,2022-02-03,18958,55,4365,13742,0,851,0,0,0
台湾,2022-02-02,18903,53,4310,13742,0,851,0,0,0
台湾,2022-02-01,18850,60,4257,13742,0,851,0,0,0
台湾,2022-01-31,18790,55,4197,13742,0,851,0,0,0
台湾,2022-01-30,18735,54,4142,13742,0,851,0,0,0
台湾,2022-01-29,18681,47,4088,13742,0,851,0,0,0
台湾,2022-01-28,18634,68,4041,13742,0,851,0,0,0
台湾,2022-01-27,18566,63,3973,13742,0,851,0,0,0
台湾,2022-01-26,18503,92,3910,13742,0,851,0,0,0
台湾,2022-01-25,18411,35,3818,13742,0,851,0,0,0
台湾,2022-01-24,18376,51,3783,13742,0,851,0,0,0
台湾,2022-01-23,18325,87,3732,13742,0,851,0,0,0
台湾,2022-01-22,18238,129,3645,13742,0,851,0,0,0
台湾,2022-01-21,18109,68,3516,13742,0,851,0,0,0
台湾,2022-01-20,18041,36,3448,13742,0,851,0,0,0
台湾,2022-01-19,18005,54,3412,13742,0,851,0,0,0
台湾,2022-01-18,17951,66,3358,13742,0,851,0,0,0
台湾,2022-01-17,17885,65,3292,13742,0,851,0,0,0
台湾,2022-01-16,17820,51,3227,13742,0,851,0,0,0
台湾,2022-01-15,17769,77,3176,13742,0,851,0,0,0
台湾,2022-01-14,17692,68,3099,13742,0,851,0,0,0
台湾,2022-01-13,17624,65,3031,13742,0,851,1,0,0
台湾,2022-01-12,17559,96,2967,13742,0,850,0,0,0
台湾,2022-01-11,17463,69,2871,13742,0,850,0,0,0
台湾,2022-01-10,17394,32,2802,13742,0,850,0,0,0
台湾,2022-01-09,17362,60,2770,13742,0,850,0,0,0
台湾,2022-01-08,17302,44,2710,13742,0,850,0,0,0
台湾,2022-01-07,17258,60,2666,13742,0,850,0,0,0
台湾,2022-01-06,17198,43,2606,13742,0,850,0,0,0
台湾,2022-01-05,17155,26,2563,13742,0,850,0,0,0
台湾,2022-01-04,17129,34,2537,13742,0,850,0,0,0
台湾,2022-01-03,17095,25,2503,13742,0,850,0,0,0
台湾,2022-01-02,17070,20,2478,13742,0,850,0,0,0
台湾,2022-01-01,17050,21,2458,13742,0,850,0,0,0
台湾,2021-12-31,17029,41,2437,13742,0,850,0,0,0
台湾,2021-12-30,16988,24,2396,13742,0,850,0,0,0
台湾,2021-12-29,16964,14,2372,13742,0,850,0,0,0
台湾,2021-12-28,16950,19,2358,13742,0,850,0,0,0
台湾,2021-12-27,16931,16,2339,13742,0,850,0,0,0
台湾,2021-12-26,16915,24,2323,13742,0,850,0,0,0
台湾,2021-12-25,16891,18,2299,13742,0,850,0,0,0
台湾,2021-12-24,16873,20,2281,13742,0,850,0,0,0
台湾,2021-12-23,16853,13,2261,13742,0,850,0,0,0
台湾,2021-12-22,16840,14,2248,13742,0,850,0,0,0
台湾,2021-12-21,16826,10,2234,13742,0,850,0,0,0
台湾,2021-12-20,16816,11,2224,13742,0,850,0,0,0
台湾,2021-12-19,16805,6,2213,13742,0,850,1,0,0
台湾,2021-12-18,16799,13,2208,13742,0,849,0,0,0
台湾,2021-12-17,16786,15,2195,13742,0,849,0,0,0
台湾,2021-12-16,16771,12,2180,13742,0,849,0,0,0
台湾,2021-12-15,16759,7,2168,13742,0,849,1,0,0
台湾,2021-12-14,16752,10,2162,13742,0,848,0,0,0
台湾,2021-12-13,16742,5,2152,13742,0,848,0,0,0
台湾,2021-12-12,16737,6,2147,13742,0,848,0,0,0
台湾,2021-12-11,16731,10,2141,13742,0,848,0,0,0
台湾,2021-12-10,16721,17,2131,13742,0,848,0,0,0
台湾,2021-12-09,16704,16,2114,13742,0,848,0,0,0
台湾,2021-12-08,16688,5,2098,13742,0,848,0,0,0
台湾,2021-12-07,16683,21,2093,13742,0,848,0,0,0
台湾,2021-12-06,16662,10,2072,13742,0,848,0,0,0
台湾,2021-12-05,16652,4,2062,13742,0,848,0,0,0
台湾,2021-12-04,16648,11,2058,13742,0,848,0,0,0
台湾,2021-12-03,16637,11,2047,13742,0,848,0,0,0
台湾,2021-12-02,16626,17,2036,13742,0,848,0,0,0
台湾,2021-12-01,16609,8,2019,13742,0,848,0,0,0
台湾,2021-11-30,16601,5,2011,13742,0,848,0,0,0
台湾,2021-11-29,16596,8,2006,13742,0,848,0,0,0
台湾,2021-11-28,16588,10,1998,13742,0,848,0,0,0
台湾,2021-11-27,16578,12,1988,13742,0,848,0,0,0
台湾,2021-11-26,16566,12,1976,13742,0,848,0,0,0
台湾,2021-11-25,16554,10,1964,13742,0,848,0,0,0
台湾,2021-11-24,16544,5,1954,13742,0,848,0,0,0
台湾,2021-11-23,16539,7,1949,13742,0,848,0,0,0
