省份,时间,累计确诊,新增确诊,现有确诊,累计治愈,新增治愈,累计死亡,新增死亡,累计无症状,新增无症状
天津,2022-05-11,1804,0,21,1780,0,3,0,519,0
天津,2022-05-10,1804,0,21,1780,0,3,0,519,0
天津,2022-05-09,1804,0,21,1780,0,3,0,519,0
天津,2022-05-08,1804,0,21,1780,0,3,0,519,0
天津,2022-05-07,1804,0,21,1780,0,3,0,519,0
天津,2022-05-06,1804,0,21,1780,0,3,0,519,0
天津,2022-05-05,1804,0,21,1780,-19,3,0,519,0
天津,2022-05-04,1804,0,2,1799,0,3,0,519,0
天津,2022-05-03,1804,0,2,1799,0,3,0,519,0
天津,2022-05-02,1804,0,2,1799,0,3,0,519,0
天津,2022-05-01,1804,1,2,1799,0,3,0,519,0
天津,2022-04-30,1803,0,1,1799,0,3,0,519,1
天津,2022-04-29,1803,0,1,1799,0,3,0,518,0
天津,2022-04-28,1803,0,1,1799,1,3,0,518,0
天津,2022-04-27,1803,1,2,1798,1,3,0,518,0
天津,2022-04-26,1802,0,2,1797,1,3,0,518,0
天津,2022-04-25,1802,0,3,1796,0,3,0,518,8
天津,2022-04-24,1802,2,3,1796,0,3,0,510,0
天津,2022-04-23,1800,0,1,1796,0,3,0,510,3
天津,2022-04-22,1800,0,1,1796,0,3,0,507,4
天津,2022-04-21,1800,0,1,1796,0,3,0,503,1
天津,2022-04-20,1800,0,1,1796,2,3,0,502,0
天津,2022-04-19,1800,0,3,1794,0,3,0,502,3
天津,2022-04-18,1800,0,3,1794,0,3,0,499,1
天津,2022-04-17,1800,0,3,1794,0,3,0,498,2
天津,2022-04-16,1800,0,3,1794,0,3,0,496,0
天津,2022-04-15,1800,0,3,1794,6,3,0,496,1
天津,2022-04-14,1800,1,9,1788,0,3,0,495,4
天津,2022-04-13,1799,0,8,1788,7,3,0,491,1
天津,2022-04-12,1799,1,15,1781,1,3,0,490,9
天津,2022-04-11,1798,0,15,1780,3,3,0,481,1
天津,2022-04-10,1798,0,18,1777,17,3,0,480,0
天津,2022-04-09,1798,1,35,1760,18,3,0,480,5
天津,2022-04-08,1797,0,52,1742,29,3,0,475,2
天津,2022-04-07,1797,1,81,1713,22,3,0,473,1
天津,2022-04-06,1796,0,102,1691,35,3,0,472,4
天津,2022-04-05,1796,4,137,1656,0,3,0,468,8
天津,2022-04-04,1792,3,133,1656,33,3,0,460,5
天津,2022-04-03,1789,0,163,1623,48,3,0,455,3
天津,2022-04-02,1789,1,211,1575,36,3,0,452,7
天津,2022-04-01,1788,1,246,1539,33,3,0,445,0
天津,2022-03-31,1787,1,278,1506,12,3,0,445,4
天津,2022-03-30,1786,4,289,1494,37,3,0,441,11
天津,2022-03-29,1782,2,322,1457,16,3,0,430,14
天津,2022-03-28,1780,7,336,1441,68,3,0,416,10
天津,2022-03-27,1773,8,397,1373,13,3,0,406,8
天津,2022-03-26,1765,17,402,1360,20,3,0,398,34
天津,2022-03-25,1748,35,405,1340,14,3,0,364,37
天津,2022-03-24,1713,25,384,1326,46,3,0,327,44
天津,2022-03-23,1688,29,405,1280,21,3,0,283,51
天津,2022-03-22,1659,28,397,1259,41,3,0,232,23
天津,2022-03-21,1631,9,410,1218,28,3,0,209,28
天津,2022-03-20,1622,22,429,1190,0,3,0,181,9
天津,2022-03-19,1600,25,407,1190,8,3,0,172,4
天津,2022-03-18,1575,29,390,1182,22,3,0,168,0
天津,2022-03-17,1546,63,383,1160,3,3,0,168,4
天津,2022-03-16,1483,58,323,1157,4,3,0,164,9
天津,2022-03-15,1425,53,269,1153,2,3,0,155,17
天津,2022-03-14,1372,54,218,1151,4,3,0,138,9
天津,2022-03-13,1318,45,168,1147,6,3,0,129,18
天津,2022-03-12,1273,23,129,1141,3,3,0,111,14
天津,2022-03-11,1250,37,109,1138,16,3,0,97,6
天津,2022-03-10,1213,24,88,1122,8,3,0,91,4
天津,2022-03-09,1189,19,72,1114,5,3,0,87,2
天津,2022-03-08,1170,12,58,1109,6,3,0,85,1
天津,2022-03-07,1158,6,52,1103,0,3,0,84,0
天津,2022-03-06,1152,1,46,1103,4,3,0,84,0
天津,2022-03-05,1151,1,49,1099,4,3,0,84,0
天津,2022-03-04,1150,14,52,1095,2,3,0,84,4
天津,2022-03-03,1136,4,40,1093,3,3,0,80,4
天津,2022-03-02,1132,2,39,1090,0,3,0,76,0
天津,2022-03-01,1130,4,37,1090,0,3,0,76,0
天津,2022-02-28,1126,7,33,1090,1,3,0,76,0
天津,2022-02-27,1119,12,27,1089,2,3,0,76,1
天津,2022-02-26,1107,2,17,1087,0,3,0,75,2
天津,2022-02-25,1105,6,15,1087,2,3,0,73,0
天津,2022-02-24,1099,1,11,1085,2,3,0,73,1
天津,2022-02-23,1098,1,12,1083,1,3,0,72,1
天津,2022-02-22,1097,3,12,1082,1,3,0,71,1
天津,2022-02-21,1094,0,10,1081,0,3,0,70,0
天津,2022-02-20,1094,1,10,1081,1,3,0,70,0
天津,2022-02-19,1093,1,10,1080,3,3,0,70,1
天津,2022-02-18,1092,3,12,1077,3,3,0,69,2
天津,2022-02-17,1089,0,12,1074,4,3,0,67,0
天津,2022-02-16,1089,0,16,1070,3,3,0,67,0
天津,2022-02-15,1089,1,19,1067,5,3,0,67,0
天津,2022-02-14,1088,0,23,1062,9,3,0,67,0
天津,2022-02-13,1088,0,32,1053,5,3,0,67,0
天津,2022-02-12,1088,1,37,1048,1,3,0,67,0
天津,2022-02-11,1087,1,37,1047,1,3,0,67,0
天津,2022-02-10,1086,1,37,1046,3,3,0,67,0
天津,2022-02-09,1085,0,39,1043,8,3,0,67,0
天津,2022-02-08,1085,1,47,1035,10,3,0,67,0
天津,2022-02-07,1084,2,56,1025,5,3,0,67,0
天津,2022-02-06,1082,1,59,1020,5,3,0,67,0
天津,2022-02-05,1081,2,63,1015,3,3,0,67,0
天津,2022-02-04,1079,3,64,1012,11,3,0,67,0
天津,2022-02-03,1076,4,72,1001,1,3,0,67,0
天津,2022-02-02,1072,10,69,1000,17,3,0,67,0
天津,2022-02-01,1062,12,76,983,18,3,0,67,0
天津,2022-01-31,1050,9,82,965,19,3,0,67,0
天津,2022-01-30,1041,11,92,946,19,3,0,67,0
天津,2022-01-29,1030,4,100,927,31,3,0,67,0
天津,2022-01-28,1026,6,127,896,33,3,0,67,0
天津,2022-01-27,1020,4,154,863,45,3,0,67,0
天津,2022-01-26,1016,1,195,818,58,3,0,67,0
天津,2022-01-25,1015,2,252,760,47,3,0,69,0
天津,2022-01-24,1013,1,297,713,49,3,0,69,1
天津,2022-01-23,1012,3,345,664,31,3,0,68,1
天津,2022-01-22,1009,5,373,633,27,3,0,67,0
天津,2022-01-21,1004,6,395,606,20,3,0,67,0
天津,2022-01-20,998,8,409,586,5,3,0,67,0
天津,2022-01-19,990,14,406,581,14,3,0,67,0
天津,2022-01-18,976,14,406,567,0,3,0,67,0
天津,2022-01-17,962,18,392,567,4,3,0,67,0
天津,2022-01-16,944,80,378,563,5,3,0,67,0
天津,2022-01-15,864,34,303,558,2,3,0,67,0
天津,2022-01-14,830,41,271,556,0,3,0,67,0
天津,2022-01-13,789,37,230,556,8,3,0,67,0
天津,2022-01-12,752,47,201,548,0,3,0,67,5
天津,2022-01-11,705,37,154,548,1,3,0,62,11
天津,2022-01-10,668,18,118,547,6,3,0,51,0
天津,2022-01-09,650,25,106,541,0,3,0,51,7
天津,2022-01-08,625,4,81,541,0,3,0,44,2
天津,2022-01-07,621,6,77,541,2,3,0,42,8
天津,2022-01-06,615,9,73,539,3,3,0,34,0
天津,2022-01-05,606,4,67,536,2,3,0,34,0
天津,2022-01-04,602,5,65,534,1,3,0,34,0
