省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
天津,东丽区,2022-05-11,32,0,4,0,0,0,0
天津,东丽区,2022-05-10,32,0,4,0,0,0,0
天津,东丽区,2022-05-09,32,0,4,0,0,0,0
天津,东丽区,2022-05-08,32,0,4,0,0,0,0
天津,东丽区,2022-05-07,32,0,4,0,0,0,0
天津,东丽区,2022-05-06,32,0,4,0,0,0,0
天津,东丽区,2022-05-05,32,0,4,0,0,0,0
天津,东丽区,2022-05-04,32,0,4,0,0,0,0
天津,东丽区,2022-05-03,32,0,4,0,0,0,0
天津,东丽区,2022-05-02,32,0,4,0,0,0,0
天津,东丽区,2022-05-01,32,0,4,0,0,0,0
天津,东丽区,2022-04-30,32,0,4,0,0,0,0
天津,东丽区,2022-04-29,32,0,4,0,0,0,0
天津,东丽区,2022-04-28,32,0,4,0,0,0,0
天津,东丽区,2022-04-27,32,0,4,0,0,0,0
天津,东丽区,2022-04-26,32,0,4,0,0,0,0
天津,东丽区,2022-04-25,32,0,4,0,0,0,0
天津,东丽区,2022-04-24,32,0,4,0,0,0,0
天津,东丽区,2022-04-23,32,0,4,0,0,0,0
天津,东丽区,2022-04-22,32,0,4,0,0,0,0
天津,东丽区,2022-04-21,32,0,4,0,0,0,0
天津,东丽区,2022-04-20,32,0,4,0,0,0,0
天津,东丽区,2022-04-19,32,0,4,0,0,0,0
天津,东丽区,2022-04-18,32,0,4,0,0,0,0
天津,东丽区,2022-04-17,32,0,4,0,0,0,0
天津,东丽区,2022-04-16,32,0,4,0,0,0,0
天津,东丽区,2022-04-15,32,0,4,0,0,0,0
天津,东丽区,2022-04-14,32,0,4,0,0,0,0
天津,东丽区,2022-04-13,32,0,4,0,0,0,0
天津,东丽区,2022-04-12,32,0,4,0,0,0,0
天津,东丽区,2022-04-11,32,0,4,0,0,0,0
天津,东丽区,2022-04-10,32,0,4,0,0,0,0
天津,东丽区,2022-04-09,32,0,4,0,0,0,0
天津,东丽区,2022-04-08,32,0,4,0,0,0,0
天津,东丽区,2022-04-07,32,0,4,0,0,0,0
天津,东丽区,2022-04-06,32,0,4,0,0,0,0
天津,东丽区,2022-04-05,32,0,4,0,0,0,0
天津,东丽区,2022-04-04,32,0,4,0,0,0,0
天津,东丽区,2022-04-03,32,0,4,0,0,0,0
天津,东丽区,2022-04-02,32,0,4,0,0,0,0
天津,东丽区,2022-04-01,32,0,4,0,0,0,0
天津,东丽区,2022-03-31,32,0,4,0,0,0,0
天津,东丽区,2022-03-30,32,0,4,0,0,0,0
天津,东丽区,2022-03-29,32,1,4,0,0,0,0
天津,东丽区,2022-03-28,31,1,4,0,0,0,0
天津,东丽区,2022-03-27,30,0,4,0,0,0,0
天津,东丽区,2022-03-26,30,3,4,0,0,0,0
天津,东丽区,2022-03-25,27,1,4,0,0,0,0
天津,东丽区,2022-03-24,26,1,4,0,0,0,0
天津,东丽区,2022-03-23,25,3,4,0,0,0,0
天津,东丽区,2022-03-22,22,1,4,0,0,0,0
天津,东丽区,2022-03-21,21,0,4,0,0,0,0
天津,东丽区,2022-03-20,21,0,4,0,0,0,0
天津,东丽区,2022-03-19,21,1,4,0,0,0,0
天津,东丽区,2022-03-18,20,0,4,0,0,0,0
天津,东丽区,2022-03-17,20,0,4,0,0,0,0
天津,东丽区,2022-03-16,20,0,4,0,0,0,0
天津,东丽区,2022-03-15,20,0,4,0,0,0,0
天津,东丽区,2022-03-14,20,0,4,0,0,0,0
天津,东丽区,2022-03-13,20,0,4,0,0,0,0
天津,东丽区,2022-03-12,20,0,4,0,0,0,0
天津,东丽区,2022-03-11,20,0,4,0,0,0,0
天津,东丽区,2022-03-10,20,2,4,0,0,0,0
天津,东丽区,2022-03-09,18,0,4,0,0,0,0
天津,东丽区,2022-03-08,18,0,4,0,0,0,0
天津,东丽区,2022-03-07,18,2,4,0,0,0,0
天津,东丽区,2022-03-06,16,0,4,0,0,0,0
天津,东丽区,2022-03-05,16,0,4,0,0,0,0
天津,东丽区,2022-03-04,16,3,4,0,0,0,0
天津,东丽区,2022-03-03,13,1,4,0,0,0,0
天津,东丽区,2022-03-02,12,0,4,0,0,0,0
天津,东丽区,2022-03-01,12,0,4,0,0,0,0
天津,东丽区,2022-02-28,12,2,4,0,0,0,0
天津,东丽区,2022-02-27,10,1,4,0,0,0,0
天津,东丽区,2022-02-26,9,3,4,0,0,0,0
天津,东丽区,2022-02-25,6,0,4,0,0,0,0
天津,东丽区,2022-02-24,6,1,4,0,0,0,0
天津,东丽区,2022-02-23,5,0,4,0,0,0,0
天津,东丽区,2022-02-22,5,0,4,0,0,0,0
天津,东丽区,2022-02-21,5,0,4,0,0,0,0
天津,东丽区,2022-02-20,5,0,4,0,0,0,0
天津,东丽区,2022-02-19,5,0,4,0,0,0,0
天津,东丽区,2022-02-18,5,0,4,0,0,0,0
天津,东丽区,2022-02-17,5,0,4,0,0,0,0
天津,东丽区,2022-02-16,5,0,4,0,0,0,0
天津,东丽区,2022-02-15,5,0,4,0,0,0,0
天津,东丽区,2022-02-14,5,0,4,0,0,0,0
天津,东丽区,2022-02-13,5,0,4,0,0,0,0
天津,东丽区,2022-02-12,5,0,4,0,0,0,0
天津,东丽区,2022-02-11,5,0,4,0,0,0,0
天津,东丽区,2022-02-10,5,0,4,0,0,0,0
天津,东丽区,2022-02-09,5,0,4,0,0,0,0
天津,东丽区,2022-02-08,5,0,4,0,0,0,0
天津,东丽区,2022-02-07,5,0,4,0,0,0,0
天津,东丽区,2022-02-06,5,0,4,0,0,0,0
天津,东丽区,2022-02-05,5,0,4,0,0,0,0
天津,东丽区,2022-02-04,5,0,4,0,0,0,0
天津,东丽区,2022-02-03,5,0,4,0,0,0,0
天津,东丽区,2022-02-02,5,0,4,0,0,0,0
天津,东丽区,2022-02-01,5,0,4,0,0,0,0
天津,东丽区,2022-01-31,5,0,4,0,0,0,0
天津,东丽区,2022-01-30,5,0,4,0,0,0,0
天津,东丽区,2022-01-29,5,0,4,0,0,0,0
天津,东丽区,2022-01-28,5,0,4,0,0,0,0
天津,东丽区,2022-01-27,5,0,4,0,0,0,0
天津,东丽区,2022-01-26,5,0,4,0,0,0,0
天津,东丽区,2022-01-25,5,0,4,0,0,0,0
天津,东丽区,2022-01-24,5,0,4,0,0,0,0
天津,东丽区,2022-01-23,5,0,4,0,0,0,0
天津,东丽区,2022-01-22,5,0,4,0,0,0,0
天津,东丽区,2022-01-21,5,0,4,0,0,0,0
天津,东丽区,2022-01-20,5,0,4,0,0,0,0
天津,东丽区,2022-01-19,5,0,4,0,0,0,0
天津,东丽区,2022-01-18,5,0,4,0,0,0,0
天津,东丽区,2022-01-17,5,0,4,0,0,0,0
天津,东丽区,2022-01-16,5,1,4,0,0,0,0
天津,东丽区,2022-01-15,4,0,4,0,0,0,0
天津,东丽区,2022-01-14,4,0,4,0,0,0,0
天津,东丽区,2022-01-13,4,0,4,0,0,0,0
天津,东丽区,2022-01-12,4,0,4,0,0,0,0
天津,东丽区,2022-01-11,4,0,4,0,0,0,0
天津,东丽区,2022-01-10,4,0,4,0,0,0,0
天津,东丽区,2022-01-09,4,0,4,0,0,0,0
天津,东丽区,2022-01-08,4,0,4,0,0,0,0
天津,东丽区,2022-01-07,4,0,4,0,0,0,0
天津,东丽区,2022-01-06,4,0,4,0,0,0,0
天津,东丽区,2022-01-05,4,0,4,0,0,0,0
天津,东丽区,2022-01-04,4,0,4,0,0,0,0
天津,东丽区,2022-01-03,4,0,4,0,0,0,0
天津,东丽区,2022-01-02,4,0,4,0,0,0,0
天津,东丽区,2022-01-01,4,0,4,0,0,0,0
天津,东丽区,2021-12-31,4,0,4,0,0,0,0
天津,东丽区,2021-12-30,4,0,4,0,0,0,0
天津,东丽区,2021-12-29,4,0,4,0,0,0,0
天津,东丽区,2021-12-28,4,0,4,0,0,0,0
天津,东丽区,2021-12-27,4,0,4,0,0,0,0
天津,东丽区,2021-12-26,4,0,4,0,0,0,0
天津,东丽区,2021-12-25,4,0,4,0,0,0,0
天津,东丽区,2021-12-24,4,0,4,0,0,0,0
天津,东丽区,2021-12-23,4,0,4,0,0,0,0
天津,东丽区,2021-12-22,4,0,4,0,0,0,0
天津,东丽区,2021-12-21,4,0,4,0,0,0,0
天津,东丽区,2021-12-20,4,0,4,0,0,0,0
天津,东丽区,2021-12-19,4,0,4,0,0,0,0
天津,东丽区,2021-12-18,4,0,4,0,0,0,0
天津,东丽区,2021-12-17,4,0,4,0,0,0,0
天津,东丽区,2021-12-16,4,0,4,0,0,0,0
天津,东丽区,2021-12-15,4,0,4,0,0,0,0
天津,东丽区,2021-12-14,4,0,4,0,0,0,0
天津,东丽区,2021-12-13,4,0,4,0,0,0,0
天津,东丽区,2021-12-12,4,0,4,0,0,0,0
天津,东丽区,2021-12-11,4,0,4,0,0,0,0
天津,东丽区,2021-12-10,4,0,4,0,0,0,0
天津,东丽区,2021-12-09,4,0,4,0,0,0,0
天津,东丽区,2021-12-08,4,0,4,0,0,0,0
天津,东丽区,2021-12-07,4,0,4,0,0,0,0
天津,东丽区,2021-12-06,4,0,4,0,0,0,0
天津,东丽区,2021-12-05,4,0,4,0,0,0,0
天津,东丽区,2021-12-04,4,0,4,0,0,0,0
天津,东丽区,2021-12-03,4,0,4,0,0,0,0
天津,东丽区,2021-12-02,4,0,4,0,0,0,0
天津,东丽区,2021-12-01,4,0,4,0,0,0,0
天津,东丽区,2021-11-30,4,0,4,0,0,0,0
天津,东丽区,2021-11-29,4,0,4,0,0,0,0
天津,东丽区,2021-11-28,4,0,4,0,0,0,0
天津,东丽区,2021-11-27,4,0,4,0,0,0,0
天津,东丽区,2021-11-26,4,0,4,0,0,0,0
天津,东丽区,2021-11-25,4,0,4,0,0,0,0
天津,东丽区,2021-11-24,4,0,4,0,0,0,0
天津,东丽区,2021-11-23,4,0,4,0,0,0,0
天津,东丽区,2021-11-22,4,0,4,0,0,0,0
天津,东丽区,2021-11-21,4,0,4,0,0,0,0
天津,东丽区,2021-11-20,4,0,4,0,0,0,0
天津,东丽区,2021-11-19,4,0,4,0,0,0,0
天津,东丽区,2021-11-18,4,0,4,0,0,0,0
天津,东丽区,2021-11-17,4,0,4,0,0,0,0
天津,东丽区,2021-11-16,4,0,4,0,0,0,0
天津,东丽区,2021-11-15,4,0,4,0,0,0,0
天津,东丽区,2021-11-14,4,0,4,0,0,0,0
天津,东丽区,2021-11-13,4,0,4,0,0,0,0
天津,东丽区,2021-11-12,4,0,4,0,0,0,0
天津,东丽区,2021-11-11,4,0,4,0,0,0,0
天津,东丽区,2021-11-10,4,0,4,0,0,0,0
天津,东丽区,2021-11-09,4,0,4,0,0,0,0
天津,东丽区,2021-11-08,4,0,4,0,0,0,0
天津,东丽区,2021-11-07,4,0,4,0,0,0,0
天津,东丽区,2021-11-06,4,0,4,0,0,0,0
天津,东丽区,2021-11-05,4,0,4,0,0,0,0
天津,东丽区,2021-11-04,4,0,4,0,0,0,0
天津,东丽区,2021-11-03,4,0,4,0,0,0,0
天津,东丽区,2021-11-02,4,0,4,0,0,0,0
天津,东丽区,2021-11-01,4,0,4,0,0,0,0
天津,东丽区,2021-10-31,4,0,4,0,0,0,0
天津,东丽区,2021-10-30,4,0,4,0,0,0,0
天津,东丽区,2021-10-29,4,0,4,0,0,0,0
