省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
天津,境外输入,2022-05-11,615,0,615,1,0,0,0
天津,境外输入,2022-05-10,615,0,614,0,0,0,0
天津,境外输入,2022-05-09,615,0,614,0,0,0,0
天津,境外输入,2022-05-08,615,0,614,0,0,0,0
天津,境外输入,2022-05-07,615,0,614,0,0,0,0
天津,境外输入,2022-05-06,615,0,614,0,0,0,0
天津,境外输入,2022-05-05,615,0,614,0,0,0,0
天津,境外输入,2022-05-04,615,0,614,0,0,0,0
天津,境外输入,2022-05-03,615,0,614,0,0,0,0
天津,境外输入,2022-05-02,615,0,614,0,0,0,0
天津,境外输入,2022-05-01,615,1,614,1,0,0,0
天津,境外输入,2022-04-30,614,0,613,0,0,0,0
天津,境外输入,2022-04-29,614,0,613,0,0,0,0
天津,境外输入,2022-04-28,614,0,613,1,0,0,0
天津,境外输入,2022-04-27,614,1,612,1,0,0,0
天津,境外输入,2022-04-26,613,0,611,0,0,0,0
天津,境外输入,2022-04-25,613,0,611,0,0,0,0
天津,境外输入,2022-04-24,613,1,611,0,0,0,0
天津,境外输入,2022-04-23,612,0,611,0,0,0,0
天津,境外输入,2022-04-22,612,0,611,0,0,0,0
天津,境外输入,2022-04-21,612,0,611,0,0,0,0
天津,境外输入,2022-04-20,612,0,611,1,0,0,0
天津,境外输入,2022-04-19,612,0,610,0,0,0,0
天津,境外输入,2022-04-18,612,0,610,0,0,0,0
天津,境外输入,2022-04-17,612,0,610,0,0,0,0
天津,境外输入,2022-04-16,612,0,610,0,0,0,0
天津,境外输入,2022-04-15,612,0,610,0,0,0,0
天津,境外输入,2022-04-14,612,0,610,0,0,0,0
天津,境外输入,2022-04-13,612,0,610,0,0,0,0
天津,境外输入,2022-04-12,612,0,610,0,0,0,0
天津,境外输入,2022-04-11,612,0,610,1,0,0,0
天津,境外输入,2022-04-10,612,0,609,0,0,0,0
天津,境外输入,2022-04-09,612,1,609,0,0,0,0
天津,境外输入,2022-04-08,611,0,609,2,0,0,0
天津,境外输入,2022-04-07,611,1,607,0,0,0,0
天津,境外输入,2022-04-06,610,0,607,0,0,0,0
天津,境外输入,2022-04-05,610,1,607,0,0,0,0
天津,境外输入,2022-04-04,609,1,607,2,0,0,0
天津,境外输入,2022-04-03,608,0,605,1,0,0,0
天津,境外输入,2022-04-02,608,0,604,0,0,0,0
天津,境外输入,2022-04-01,608,0,604,2,0,0,0
天津,境外输入,2022-03-31,608,0,602,0,0,0,0
天津,境外输入,2022-03-30,608,0,602,1,0,0,0
天津,境外输入,2022-03-29,608,0,601,0,0,0,0
天津,境外输入,2022-03-28,608,0,601,2,0,0,0
天津,境外输入,2022-03-27,608,0,599,7,0,0,0
天津,境外输入,2022-03-26,608,1,592,1,0,0,0
天津,境外输入,2022-03-25,607,0,591,0,0,0,0
天津,境外输入,2022-03-24,607,0,591,10,0,0,0
天津,境外输入,2022-03-23,607,0,581,0,0,0,0
天津,境外输入,2022-03-22,607,4,581,5,0,0,0
天津,境外输入,2022-03-21,603,1,576,2,0,0,0
天津,境外输入,2022-03-20,602,4,574,0,0,0,0
天津,境外输入,2022-03-19,598,4,574,8,0,0,0
天津,境外输入,2022-03-18,594,1,566,8,0,0,0
天津,境外输入,2022-03-17,593,2,558,0,0,0,0
天津,境外输入,2022-03-16,591,10,558,1,0,0,0
天津,境外输入,2022-03-15,581,2,557,0,0,0,0
天津,境外输入,2022-03-14,579,3,557,2,0,0,0
天津,境外输入,2022-03-13,576,5,555,4,0,0,0
天津,境外输入,2022-03-12,571,6,551,0,0,0,0
天津,境外输入,2022-03-11,565,2,551,15,0,0,0
天津,境外输入,2022-03-10,563,6,536,1,0,0,0
天津,境外输入,2022-03-09,557,0,535,4,0,0,0
天津,境外输入,2022-03-08,557,0,531,1,0,0,0
天津,境外输入,2022-03-07,557,3,530,0,0,0,0
天津,境外输入,2022-03-06,554,1,530,3,0,0,0
天津,境外输入,2022-03-05,553,1,527,4,0,0,0
天津,境外输入,2022-03-04,552,11,523,1,0,0,0
天津,境外输入,2022-03-03,541,3,522,3,0,0,0
天津,境外输入,2022-03-02,538,1,519,0,0,0,0
天津,境外输入,2022-03-01,537,3,519,0,0,0,0
天津,境外输入,2022-02-28,534,1,519,1,0,0,0
天津,境外输入,2022-02-27,533,0,518,1,0,0,0
天津,境外输入,2022-02-26,533,2,517,1,0,0,0
天津,境外输入,2022-02-25,531,6,516,2,0,0,0
天津,境外输入,2022-02-24,525,0,514,0,0,0,0
天津,境外输入,2022-02-23,525,1,514,1,0,0,0
天津,境外输入,2022-02-22,524,3,513,0,0,0,0
天津,境外输入,2022-02-21,521,0,513,0,0,0,0
天津,境外输入,2022-02-20,521,1,513,1,0,0,0
天津,境外输入,2022-02-19,520,1,512,1,0,0,0
天津,境外输入,2022-02-18,519,3,511,0,0,0,0
天津,境外输入,2022-02-17,516,0,511,0,0,0,0
天津,境外输入,2022-02-16,516,0,511,0,0,0,0
天津,境外输入,2022-02-15,516,1,511,2,0,0,0
天津,境外输入,2022-02-14,515,0,509,0,0,0,0
天津,境外输入,2022-02-13,515,0,509,1,0,0,0
天津,境外输入,2022-02-12,515,0,508,0,0,0,0
天津,境外输入,2022-02-11,515,1,508,0,0,0,0
天津,境外输入,2022-02-10,514,1,508,0,0,0,0
天津,境外输入,2022-02-09,513,0,508,2,0,0,0
天津,境外输入,2022-02-08,513,1,506,0,0,0,0
天津,境外输入,2022-02-07,512,1,506,0,0,0,0
天津,境外输入,2022-02-06,511,0,506,0,0,0,0
天津,境外输入,2022-02-05,511,0,506,0,0,0,0
天津,境外输入,2022-02-04,511,1,506,5,0,0,0
天津,境外输入,2022-02-03,510,0,501,0,0,0,0
天津,境外输入,2022-02-02,510,1,501,6,0,0,0
天津,境外输入,2022-02-01,509,0,495,0,0,0,0
天津,境外输入,2022-01-31,509,2,495,2,0,0,0
天津,境外输入,2022-01-30,507,0,493,2,0,0,0
天津,境外输入,2022-01-29,507,0,491,0,0,0,0
天津,境外输入,2022-01-28,507,1,491,5,0,0,0
天津,境外输入,2022-01-27,506,0,486,1,0,0,0
天津,境外输入,2022-01-26,506,0,485,2,0,0,0
天津,境外输入,2022-01-25,506,2,483,6,0,0,0
天津,境外输入,2022-01-24,504,0,477,5,0,0,0
天津,境外输入,2022-01-23,504,2,472,4,0,0,0
天津,境外输入,2022-01-22,502,0,468,10,0,0,0
天津,境外输入,2022-01-21,502,0,458,17,0,0,0
天津,境外输入,2022-01-20,502,0,441,5,0,0,0
天津,境外输入,2022-01-19,502,0,436,14,0,0,0
天津,境外输入,2022-01-18,502,0,422,0,0,0,0
天津,境外输入,2022-01-17,502,0,422,4,0,0,0
天津,境外输入,2022-01-16,502,0,418,5,0,0,0
天津,境外输入,2022-01-15,502,1,413,2,0,0,0
天津,境外输入,2022-01-14,501,2,411,0,0,0,0
天津,境外输入,2022-01-13,499,3,411,8,0,0,0
天津,境外输入,2022-01-12,496,6,403,0,0,0,0
天津,境外输入,2022-01-11,490,4,403,1,0,0,0
天津,境外输入,2022-01-10,486,8,402,6,0,0,0
天津,境外输入,2022-01-09,478,4,396,0,0,0,0
天津,境外输入,2022-01-08,474,1,396,0,0,0,0
天津,境外输入,2022-01-07,473,6,396,2,0,0,0
天津,境外输入,2022-01-06,467,9,394,3,0,0,0
天津,境外输入,2022-01-05,458,4,391,2,0,0,0
天津,境外输入,2022-01-04,454,5,389,1,0,0,0
天津,境外输入,2022-01-03,449,1,388,2,0,0,0
天津,境外输入,2022-01-02,448,2,386,1,0,0,0
天津,境外输入,2022-01-01,446,5,385,3,0,0,0
天津,境外输入,2021-12-31,441,9,382,0,0,0,0
天津,境外输入,2021-12-30,432,4,382,1,0,0,0
天津,境外输入,2021-12-29,428,4,381,1,0,0,0
天津,境外输入,2021-12-28,424,7,380,1,0,0,0
天津,境外输入,2021-12-27,417,1,379,0,0,0,0
天津,境外输入,2021-12-26,416,2,379,1,0,0,0
天津,境外输入,2021-12-25,414,8,378,0,0,0,0
天津,境外输入,2021-12-24,406,9,378,0,0,0,0
天津,境外输入,2021-12-23,397,0,378,1,0,0,0
天津,境外输入,2021-12-22,397,1,377,1,0,0,0
天津,境外输入,2021-12-21,396,1,376,0,0,0,0
天津,境外输入,2021-12-20,395,1,376,0,0,0,0
天津,境外输入,2021-12-19,394,1,376,0,0,0,0
天津,境外输入,2021-12-18,393,1,376,0,0,0,0
