省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
天津,外地来津,2022-05-11,619,0,605,1,0,0,0
天津,外地来津,2022-05-10,619,0,604,0,0,0,0
天津,外地来津,2022-05-09,619,0,604,0,0,0,0
天津,外地来津,2022-05-08,619,0,604,0,0,0,0
天津,外地来津,2022-05-07,619,0,604,0,0,0,0
天津,外地来津,2022-05-06,619,0,604,0,0,0,0
天津,外地来津,2022-05-05,619,0,604,0,0,0,0
天津,外地来津,2022-05-04,619,0,604,0,0,0,0
天津,外地来津,2022-05-03,619,0,604,0,0,0,0
天津,外地来津,2022-05-02,619,0,604,0,0,0,0
天津,外地来津,2022-05-01,619,1,604,1,0,0,0
天津,外地来津,2022-04-30,618,0,603,0,0,0,0
天津,外地来津,2022-04-29,618,0,603,0,0,0,0
天津,外地来津,2022-04-28,618,0,603,1,0,0,0
天津,外地来津,2022-04-27,618,1,602,1,0,0,0
天津,外地来津,2022-04-26,617,0,601,0,0,0,0
天津,外地来津,2022-04-25,617,0,601,0,0,0,0
天津,外地来津,2022-04-24,617,2,601,0,0,0,0
天津,外地来津,2022-04-23,615,0,601,0,0,0,0
天津,外地来津,2022-04-22,615,0,601,0,0,0,0
天津,外地来津,2022-04-21,615,0,601,0,0,0,0
天津,外地来津,2022-04-20,615,0,601,1,0,0,0
天津,外地来津,2022-04-19,615,0,600,0,0,0,0
天津,外地来津,2022-04-18,615,0,600,0,0,0,0
天津,外地来津,2022-04-17,615,0,600,0,0,0,0
天津,外地来津,2022-04-16,615,0,600,0,0,0,0
天津,外地来津,2022-04-15,615,0,600,0,0,0,0
天津,外地来津,2022-04-14,615,1,600,0,0,0,0
天津,外地来津,2022-04-13,614,0,600,0,0,0,0
天津,外地来津,2022-04-12,614,0,600,0,0,0,0
天津,外地来津,2022-04-11,614,0,600,1,0,0,0
天津,外地来津,2022-04-10,614,0,599,0,0,0,0
天津,外地来津,2022-04-09,614,1,599,0,0,0,0
天津,外地来津,2022-04-08,613,0,599,2,0,0,0
天津,外地来津,2022-04-07,613,1,597,0,0,0,0
天津,外地来津,2022-04-06,612,0,597,0,0,0,0
天津,外地来津,2022-04-05,612,1,597,0,0,0,0
天津,外地来津,2022-04-04,611,1,597,2,0,0,0
天津,外地来津,2022-04-03,610,0,595,1,0,0,0
天津,外地来津,2022-04-02,610,0,594,0,0,0,0
天津,外地来津,2022-04-01,610,0,594,2,0,0,0
天津,外地来津,2022-03-31,610,0,592,0,0,0,0
天津,外地来津,2022-03-30,610,0,592,1,0,0,0
天津,外地来津,2022-03-29,610,0,591,0,0,0,0
