省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
天津,红桥区,2022-05-11,39,0,5,0,0,0,0
天津,红桥区,2022-05-10,39,0,5,0,0,0,0
天津,红桥区,2022-05-09,39,0,5,0,0,0,0
天津,红桥区,2022-05-08,39,0,5,0,0,0,0
天津,红桥区,2022-05-07,39,0,5,0,0,0,0
天津,红桥区,2022-05-06,39,0,5,0,0,0,0
天津,红桥区,2022-05-05,39,0,5,0,0,0,0
天津,红桥区,2022-05-04,39,0,5,0,0,0,0
天津,红桥区,2022-05-03,39,0,5,0,0,0,0
天津,红桥区,2022-05-02,39,0,5,0,0,0,0
天津,红桥区,2022-05-01,39,0,5,0,0,0,0
天津,红桥区,2022-04-30,39,0,5,0,0,0,0
天津,红桥区,2022-04-29,39,0,5,0,0,0,0
天津,红桥区,2022-04-28,39,0,5,0,0,0,0
天津,红桥区,2022-04-27,39,0,5,0,0,0,0
天津,红桥区,2022-04-26,39,0,5,0,0,0,0
天津,红桥区,2022-04-25,39,0,5,0,0,0,0
天津,红桥区,2022-04-24,39,0,5,0,0,0,0
天津,红桥区,2022-04-23,39,0,5,0,0,0,0
天津,红桥区,2022-04-22,39,0,5,0,0,0,0
天津,红桥区,2022-04-21,39,0,5,0,0,0,0
天津,红桥区,2022-04-20,39,0,5,0,0,0,0
天津,红桥区,2022-04-19,39,0,5,0,0,0,0
天津,红桥区,2022-04-18,39,0,5,0,0,0,0
天津,红桥区,2022-04-17,39,0,5,0,0,0,0
天津,红桥区,2022-04-16,39,0,5,0,0,0,0
天津,红桥区,2022-04-15,39,0,5,0,0,0,0
天津,红桥区,2022-04-14,39,0,5,0,0,0,0
天津,红桥区,2022-04-13,39,0,5,0,0,0,0
天津,红桥区,2022-04-12,39,0,5,0,0,0,0
天津,红桥区,2022-04-11,39,0,5,0,0,0,0
天津,红桥区,2022-04-10,39,0,5,0,0,0,0
天津,红桥区,2022-04-09,39,0,5,0,0,0,0
天津,红桥区,2022-04-08,39,0,5,0,0,0,0
天津,红桥区,2022-04-07,39,0,5,0,0,0,0
天津,红桥区,2022-04-06,39,0,5,0,0,0,0
天津,红桥区,2022-04-05,39,0,5,0,0,0,0
天津,红桥区,2022-04-04,39,0,5,0,0,0,0
天津,红桥区,2022-04-03,39,0,5,0,0,0,0
天津,红桥区,2022-04-02,39,0,5,0,0,0,0
天津,红桥区,2022-04-01,39,0,5,0,0,0,0
天津,红桥区,2022-03-31,39,0,5,0,0,0,0
天津,红桥区,2022-03-30,39,0,5,0,0,0,0
天津,红桥区,2022-03-29,39,0,5,0,0,0,0
天津,红桥区,2022-03-28,39,0,5,0,0,0,0
天津,红桥区,2022-03-27,39,0,5,0,0,0,0
天津,红桥区,2022-03-26,39,0,5,0,0,0,0
天津,红桥区,2022-03-25,39,1,5,0,0,0,0
天津,红桥区,2022-03-24,38,1,5,0,0,0,0
天津,红桥区,2022-03-23,37,2,5,0,0,0,0
天津,红桥区,2022-03-22,35,3,5,0,0,0,0
天津,红桥区,2022-03-21,32,1,5,0,0,0,0
天津,红桥区,2022-03-20,31,0,5,0,0,0,0
天津,红桥区,2022-03-19,31,1,5,0,0,0,0
天津,红桥区,2022-03-18,30,2,5,0,0,0,0
天津,红桥区,2022-03-17,28,2,5,0,0,0,0
天津,红桥区,2022-03-16,26,5,5,0,0,0,0
天津,红桥区,2022-03-15,21,1,5,0,0,0,0
天津,红桥区,2022-03-14,20,3,5,0,0,0,0
天津,红桥区,2022-03-13,17,2,5,0,0,0,0
天津,红桥区,2022-03-12,15,0,5,0,0,0,0
天津,红桥区,2022-03-11,15,4,5,0,0,0,0
天津,红桥区,2022-03-10,11,1,5,0,0,0,0
天津,红桥区,2022-03-09,10,0,5,0,0,0,0
天津,红桥区,2022-03-08,10,0,5,0,0,0,0
天津,红桥区,2022-03-07,10,0,5,0,0,0,0
天津,红桥区,2022-03-06,10,0,5,0,0,0,0
天津,红桥区,2022-03-05,10,0,5,0,0,0,0
天津,红桥区,2022-03-04,10,0,5,0,0,0,0
天津,红桥区,2022-03-03,10,0,5,0,0,0,0
天津,红桥区,2022-03-02,10,0,5,0,0,0,0
天津,红桥区,2022-03-01,10,0,5,0,0,0,0
天津,红桥区,2022-02-28,10,0,5,0,0,0,0
天津,红桥区,2022-02-27,10,0,5,0,0,0,0
天津,红桥区,2022-02-26,10,0,5,0,0,0,0
天津,红桥区,2022-02-25,10,0,5,0,0,0,0
天津,红桥区,2022-02-24,10,0,5,0,0,0,0
天津,红桥区,2022-02-23,10,0,5,0,0,0,0
天津,红桥区,2022-02-22,10,0,5,0,0,0,0
天津,红桥区,2022-02-21,10,0,5,0,0,0,0
天津,红桥区,2022-02-20,10,0,5,0,0,0,0
天津,红桥区,2022-02-19,10,0,5,0,0,0,0
天津,红桥区,2022-02-18,10,0,5,0,0,0,0
天津,红桥区,2022-02-17,10,0,5,0,0,0,0
天津,红桥区,2022-02-16,10,0,5,0,0,0,0
天津,红桥区,2022-02-15,10,0,5,0,0,0,0
天津,红桥区,2022-02-14,10,0,5,0,0,0,0
天津,红桥区,2022-02-13,10,0,5,0,0,0,0
天津,红桥区,2022-02-12,10,0,5,0,0,0,0
天津,红桥区,2022-02-11,10,0,5,0,0,0,0
