省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
天津,西青区,2022-05-11,206,0,5,0,0,0,0
天津,西青区,2022-05-10,206,0,5,0,0,0,0
天津,西青区,2022-05-09,206,0,5,0,0,0,0
天津,西青区,2022-05-08,206,0,5,0,0,0,0
天津,西青区,2022-05-07,206,0,5,0,0,0,0
天津,西青区,2022-05-06,206,0,5,0,0,0,0
天津,西青区,2022-05-05,206,0,5,0,0,0,0
天津,西青区,2022-05-04,206,0,5,0,0,0,0
天津,西青区,2022-05-03,206,0,5,0,0,0,0
天津,西青区,2022-05-02,206,0,5,0,0,0,0
天津,西青区,2022-05-01,206,0,5,0,0,0,0
天津,西青区,2022-04-30,206,0,5,0,0,0,0
天津,西青区,2022-04-29,206,0,5,0,0,0,0
天津,西青区,2022-04-28,206,0,5,0,0,0,0
天津,西青区,2022-04-27,206,0,5,0,0,0,0
天津,西青区,2022-04-26,206,0,5,0,0,0,0
天津,西青区,2022-04-25,206,0,5,0,0,0,0
天津,西青区,2022-04-24,206,0,5,0,0,0,0
天津,西青区,2022-04-23,206,0,5,0,0,0,0
天津,西青区,2022-04-22,206,0,5,0,0,0,0
天津,西青区,2022-04-21,206,0,5,0,0,0,0
天津,西青区,2022-04-20,206,0,5,0,0,0,0
天津,西青区,2022-04-19,206,0,5,0,0,0,0
天津,西青区,2022-04-18,206,0,5,0,0,0,0
天津,西青区,2022-04-17,206,0,5,0,0,0,0
天津,西青区,2022-04-16,206,0,5,0,0,0,0
天津,西青区,2022-04-15,206,0,5,0,0,0,0
天津,西青区,2022-04-14,206,0,5,0,0,0,0
天津,西青区,2022-04-13,206,0,5,0,0,0,0
天津,西青区,2022-04-12,206,1,5,0,0,0,0
天津,西青区,2022-04-11,205,0,5,0,0,0,0
天津,西青区,2022-04-10,205,0,5,0,0,0,0
天津,西青区,2022-04-09,205,0,5,0,0,0,0
天津,西青区,2022-04-08,205,0,5,0,0,0,0
天津,西青区,2022-04-07,205,0,5,0,0,0,0
天津,西青区,2022-04-06,205,0,5,0,0,0,0
天津,西青区,2022-04-05,205,2,5,0,0,0,0
天津,西青区,2022-04-04,203,2,5,0,0,0,0
天津,西青区,2022-04-03,201,0,5,0,0,0,0
天津,西青区,2022-04-02,201,0,5,0,0,0,0
天津,西青区,2022-04-01,201,0,5,0,0,0,0
天津,西青区,2022-03-31,201,1,5,0,0,0,0
天津,西青区,2022-03-30,200,3,5,0,0,0,0
天津,西青区,2022-03-29,197,0,5,0,0,0,0
天津,西青区,2022-03-28,197,3,5,0,0,0,0
天津,西青区,2022-03-27,194,4,5,0,0,0,0
天津,西青区,2022-03-26,190,3,5,0,0,0,0
天津,西青区,2022-03-25,187,14,5,0,0,0,0
天津,西青区,2022-03-24,173,13,5,0,0,0,0
天津,西青区,2022-03-23,160,7,5,0,0,0,0
天津,西青区,2022-03-22,153,13,5,0,0,0,0
天津,西青区,2022-03-21,140,4,5,0,0,0,0
天津,西青区,2022-03-20,136,2,5,0,0,0,0
天津,西青区,2022-03-19,134,7,5,0,0,0,0
天津,西青区,2022-03-18,127,8,5,0,0,0,0
天津,西青区,2022-03-17,119,17,5,0,0,0,0
天津,西青区,2022-03-16,102,10,5,0,0,0,0
天津,西青区,2022-03-15,92,11,5,0,0,0,0
天津,西青区,2022-03-14,81,3,5,0,0,0,0
天津,西青区,2022-03-13,78,2,5,0,0,0,0
天津,西青区,2022-03-12,76,8,5,0,0,0,0
天津,西青区,2022-03-11,68,15,5,0,0,0,0
天津,西青区,2022-03-10,53,10,5,0,0,0,0
天津,西青区,2022-03-09,43,14,5,0,0,0,0
天津,西青区,2022-03-08,29,11,5,0,0,0,0
天津,西青区,2022-03-07,18,0,5,0,0,0,0
天津,西青区,2022-03-06,18,0,5,0,0,0,0
天津,西青区,2022-03-05,18,0,5,0,0,0,0
天津,西青区,2022-03-04,18,0,5,0,0,0,0
天津,西青区,2022-03-03,18,0,5,0,0,0,0
天津,西青区,2022-03-02,18,0,5,0,0,0,0
天津,西青区,2022-03-01,18,0,5,0,0,0,0
天津,西青区,2022-02-28,18,0,5,0,0,0,0
天津,西青区,2022-02-27,18,0,5,0,0,0,0
天津,西青区,2022-02-26,18,0,5,0,0,0,0
天津,西青区,2022-02-25,18,0,5,0,0,0,0
天津,西青区,2022-02-24,18,0,5,0,0,0,0
天津,西青区,2022-02-23,18,0,5,0,0,0,0
天津,西青区,2022-02-22,18,0,5,0,0,0,0
天津,西青区,2022-02-21,18,0,5,0,0,0,0
天津,西青区,2022-02-20,18,0,5,0,0,0,0
天津,西青区,2022-02-19,18,0,5,0,0,0,0
天津,西青区,2022-02-18,18,0,5,0,0,0,0
天津,西青区,2022-02-17,18,0,5,0,0,0,0
天津,西青区,2022-02-16,18,0,5,0,0,0,0
天津,西青区,2022-02-15,18,0,5,0,0,0,0
天津,西青区,2022-02-14,18,0,5,0,0,0,0
天津,西青区,2022-02-13,18,0,5,0,0,0,0
天津,西青区,2022-02-12,18,1,5,0,0,0,0
天津,西青区,2022-02-11,17,0,5,0,0,0,0
天津,西青区,2022-02-10,17,0,5,0,0,0,0
天津,西青区,2022-02-09,17,0,5,0,0,0,0
天津,西青区,2022-02-08,17,0,5,0,0,0,0
天津,西青区,2022-02-07,17,0,5,0,0,0,0
天津,西青区,2022-02-06,17,0,5,0,0,0,0
天津,西青区,2022-02-05,17,0,5,0,0,0,0
天津,西青区,2022-02-04,17,0,5,0,0,0,0
天津,西青区,2022-02-03,17,0,5,0,0,0,0
天津,西青区,2022-02-02,17,0,5,0,0,0,0
天津,西青区,2022-02-01,17,0,5,0,0,0,0
天津,西青区,2022-01-31,17,0,5,0,0,0,0
天津,西青区,2022-01-30,17,0,5,0,0,0,0
天津,西青区,2022-01-29,17,0,5,0,0,0,0
天津,西青区,2022-01-28,17,0,5,0,0,0,0
天津,西青区,2022-01-27,17,0,5,0,0,0,0
天津,西青区,2022-01-26,17,0,5,0,0,0,0
天津,西青区,2022-01-25,17,0,5,0,0,0,0
天津,西青区,2022-01-24,17,0,5,0,0,0,0
天津,西青区,2022-01-23,17,0,5,0,0,0,0
天津,西青区,2022-01-22,17,0,5,0,0,0,0
天津,西青区,2022-01-21,17,0,5,0,0,0,0
天津,西青区,2022-01-20,17,0,5,0,0,0,0
天津,西青区,2022-01-19,17,0,5,0,0,0,0
天津,西青区,2022-01-18,17,1,5,0,0,0,0
天津,西青区,2022-01-17,16,2,5,0,0,0,0
天津,西青区,2022-01-16,14,0,5,0,0,0,0
天津,西青区,2022-01-15,14,1,5,0,0,0,0
天津,西青区,2022-01-14,13,2,5,0,0,0,0
天津,西青区,2022-01-13,11,3,5,0,0,0,0
天津,西青区,2022-01-12,8,0,5,0,0,0,0
天津,西青区,2022-01-11,8,3,5,0,0,0,0
天津,西青区,2022-01-10,5,0,5,0,0,0,0
天津,西青区,2022-01-09,5,0,5,0,0,0,0
天津,西青区,2022-01-08,5,0,5,0,0,0,0
天津,西青区,2022-01-07,5,0,5,0,0,0,0
天津,西青区,2022-01-06,5,0,5,0,0,0,0
天津,西青区,2022-01-05,5,0,5,0,0,0,0
天津,西青区,2022-01-04,5,0,5,0,0,0,0
天津,西青区,2022-01-03,5,0,5,0,0,0,0
天津,西青区,2022-01-02,5,0,5,0,0,0,0
天津,西青区,2022-01-01,5,0,5,0,0,0,0
天津,西青区,2021-12-31,5,0,5,0,0,0,0
天津,西青区,2021-12-30,5,0,5,1,0,0,0
天津,西青区,2021-12-29,5,0,4,0,0,0,0
天津,西青区,2021-12-28,5,0,4,0,0,0,0
天津,西青区,2021-12-27,5,0,4,0,0,0,0
天津,西青区,2021-12-26,5,0,4,0,0,0,0
天津,西青区,2021-12-25,5,0,4,0,0,0,0
天津,西青区,2021-12-24,5,0,4,0,0,0,0
天津,西青区,2021-12-23,5,0,4,0,0,0,0
天津,西青区,2021-12-22,5,0,4,0,0,0,0
天津,西青区,2021-12-21,5,1,4,0,0,0,0
天津,西青区,2021-12-20,4,0,4,0,0,0,0
天津,西青区,2021-12-19,4,0,4,0,0,0,0
天津,西青区,2021-12-18,4,0,4,0,0,0,0
天津,西青区,2021-12-17,4,0,4,0,0,0,0
天津,西青区,2021-12-16,4,0,4,0,0,0,0
天津,西青区,2021-12-15,4,0,4,0,0,0,0
天津,西青区,2021-12-14,4,0,4,0,0,0,0
天津,西青区,2021-12-13,4,0,4,0,0,0,0
天津,西青区,2021-12-12,4,0,4,0,0,0,0
天津,西青区,2021-12-11,4,0,4,0,0,0,0
天津,西青区,2021-12-10,4,0,4,0,0,0,0
天津,西青区,2021-12-09,4,0,4,0,0,0,0
天津,西青区,2021-12-08,4,0,4,0,0,0,0
天津,西青区,2021-12-07,4,0,4,0,0,0,0
天津,西青区,2021-12-06,4,0,4,0,0,0,0
天津,西青区,2021-12-05,4,0,4,0,0,0,0
天津,西青区,2021-12-04,4,0,4,0,0,0,0
天津,西青区,2021-12-03,4,0,4,0,0,0,0
天津,西青区,2021-12-02,4,0,4,0,0,0,0
天津,西青区,2021-12-01,4,0,4,0,0,0,0
天津,西青区,2021-11-30,4,0,4,0,0,0,0
天津,西青区,2021-11-29,4,0,4,0,0,0,0
天津,西青区,2021-11-28,4,0,4,0,0,0,0
天津,西青区,2021-11-27,4,0,4,0,0,0,0
天津,西青区,2021-11-26,4,0,4,0,0,0,0
天津,西青区,2021-11-25,4,0,4,0,0,0,0
天津,西青区,2021-11-24,4,0,4,0,0,0,0
天津,西青区,2021-11-23,4,0,4,0,0,0,0
天津,西青区,2021-11-22,4,0,4,0,0,0,0
天津,西青区,2021-11-21,4,0,4,0,0,0,0
天津,西青区,2021-11-20,4,0,4,0,0,0,0
天津,西青区,2021-11-19,4,0,4,0,0,0,0
天津,西青区,2021-11-18,4,0,4,0,0,0,0
天津,西青区,2021-11-17,4,0,4,0,0,0,0
天津,西青区,2021-11-16,4,0,4,0,0,0,0
天津,西青区,2021-11-15,4,0,4,0,0,0,0
天津,西青区,2021-11-14,4,0,4,0,0,0,0
天津,西青区,2021-11-13,4,0,4,0,0,0,0
天津,西青区,2021-11-12,4,0,4,0,0,0,0
天津,西青区,2021-11-11,4,0,4,0,0,0,0
天津,西青区,2021-11-10,4,0,4,0,0,0,0
天津,西青区,2021-11-09,4,0,4,0,0,0,0
天津,西青区,2021-11-08,4,0,4,0,0,0,0
天津,西青区,2021-11-07,4,0,4,0,0,0,0
天津,西青区,2021-11-06,4,0,4,0,0,0,0
天津,西青区,2021-11-05,4,0,4,0,0,0,0
天津,西青区,2021-11-04,4,0,4,0,0,0,0
天津,西青区,2021-11-03,4,0,4,0,0,0,0
天津,西青区,2021-11-02,4,0,4,0,0,0,0
天津,西青区,2021-11-01,4,0,4,0,0,0,0
天津,西青区,2021-10-31,4,0,4,0,0,0,0
天津,西青区,2021-10-30,4,0,4,0,0,0,0
天津,西青区,2021-10-29,4,0,4,0,0,0,0
