省份,时间,累计确诊,新增确诊,现有确诊,累计治愈,新增治愈,累计死亡,新增死亡,累计无症状,新增无症状
重庆,2022-05-11,703,0,6,691,0,6,0,121,0
重庆,2022-05-10,703,0,6,691,0,6,0,121,1
重庆,2022-05-09,703,0,6,691,0,6,0,120,1
重庆,2022-05-08,703,0,6,691,2,6,0,119,0
重庆,2022-05-07,703,2,8,689,1,6,0,119,1
重庆,2022-05-06,701,1,7,688,0,6,0,118,0
重庆,2022-05-05,700,1,6,688,0,6,0,118,0
重庆,2022-05-04,699,0,5,688,0,6,0,118,0
重庆,2022-05-03,699,0,5,688,0,6,0,118,0
重庆,2022-05-02,699,1,5,688,0,6,0,118,1
重庆,2022-05-01,698,0,4,688,0,6,0,117,0
重庆,2022-04-30,698,1,4,688,0,6,0,117,1
重庆,2022-04-29,697,0,3,688,0,6,0,116,0
重庆,2022-04-28,697,1,2,689,0,6,0,116,1
重庆,2022-04-27,696,1,1,689,2,6,0,115,0
重庆,2022-04-26,695,1,2,687,0,6,0,115,0
重庆,2022-04-25,694,0,1,687,0,6,0,115,1
重庆,2022-04-24,694,0,1,687,0,6,0,114,0
重庆,2022-04-23,694,0,1,687,0,6,0,114,0
重庆,2022-04-22,694,0,1,687,0,6,0,114,0
重庆,2022-04-21,694,0,1,687,0,6,0,114,0
重庆,2022-04-20,694,0,1,687,0,6,0,114,1
重庆,2022-04-19,694,0,1,687,0,6,0,113,2
重庆,2022-04-18,694,0,1,687,0,6,0,111,0
重庆,2022-04-17,694,0,1,687,0,6,0,111,0
重庆,2022-04-16,694,0,1,687,1,6,0,111,0
重庆,2022-04-15,694,0,2,686,0,6,0,111,0
重庆,2022-04-14,694,1,2,686,0,6,0,111,0
重庆,2022-04-13,693,0,1,686,1,6,0,111,1
重庆,2022-04-12,693,0,2,685,2,6,0,110,0
重庆,2022-04-11,693,0,4,683,1,6,0,110,0
重庆,2022-04-10,693,0,5,682,0,6,0,110,0
重庆,2022-04-09,693,0,5,682,1,6,0,110,0
重庆,2022-04-08,693,1,6,681,0,6,0,110,1
重庆,2022-04-07,692,0,5,681,1,6,0,109,0
重庆,2022-04-06,692,0,6,680,0,6,0,109,0
重庆,2022-04-05,692,1,6,680,1,6,0,109,0
重庆,2022-04-04,691,0,6,679,0,6,0,109,3
重庆,2022-04-03,691,0,6,679,1,6,0,106,1
重庆,2022-04-02,691,0,7,678,3,6,0,105,1
重庆,2022-04-01,691,0,10,675,1,6,0,104,7
重庆,2022-03-31,691,0,11,674,3,6,0,97,2
重庆,2022-03-30,691,2,14,671,1,6,0,95,0
重庆,2022-03-29,689,1,13,670,8,6,0,95,1
重庆,2022-03-28,688,0,20,662,5,6,0,94,0
重庆,2022-03-27,688,0,25,657,8,6,0,94,1
重庆,2022-03-26,688,0,33,649,7,6,0,93,1
重庆,2022-03-25,688,1,40,642,13,6,0,92,3
重庆,2022-03-24,687,2,52,629,6,6,0,89,0
重庆,2022-03-23,685,0,56,623,9,6,0,89,0
重庆,2022-03-22,685,1,65,614,4,6,0,89,0
重庆,2022-03-21,684,2,68,610,1,6,0,89,1
重庆,2022-03-20,682,1,67,609,0,6,0,88,1
重庆,2022-03-19,681,3,66,609,0,6,0,87,4
重庆,2022-03-18,678,1,63,609,1,6,0,83,3
重庆,2022-03-17,677,10,63,608,0,6,0,80,6
重庆,2022-03-16,667,4,53,608,0,6,0,74,2
重庆,2022-03-15,663,11,49,608,0,6,0,72,3
重庆,2022-03-14,652,10,38,608,0,6,0,69,2
重庆,2022-03-13,642,6,28,608,0,6,0,67,1
重庆,2022-03-12,636,8,22,608,0,6,0,66,3
重庆,2022-03-11,628,2,14,608,0,6,0,63,4
重庆,2022-03-10,626,2,12,608,0,6,0,59,0
重庆,2022-03-09,624,0,10,608,1,6,0,59,0
重庆,2022-03-08,624,0,11,607,0,6,0,59,1
重庆,2022-03-07,624,0,11,607,0,6,0,58,0
重庆,2022-03-06,624,1,11,607,0,6,0,58,1
重庆,2022-03-05,623,0,10,607,0,6,0,57,2
重庆,2022-03-04,623,1,10,607,0,6,0,55,3
重庆,2022-03-03,622,0,9,607,0,6,0,52,0
重庆,2022-03-02,622,0,9,607,0,6,0,52,0
重庆,2022-03-01,622,2,9,607,0,6,0,52,8
重庆,2022-02-28,620,4,7,607,0,6,0,44,0
重庆,2022-02-27,616,0,3,607,0,6,0,44,0
重庆,2022-02-26,616,0,3,607,0,6,0,44,2
重庆,2022-02-25,616,2,3,607,0,6,0,42,1
重庆,2022-02-24,614,0,1,607,0,6,0,41,0
重庆,2022-02-23,614,0,1,607,0,6,0,41,0
重庆,2022-02-22,614,0,1,607,0,6,0,41,0
重庆,2022-02-21,614,0,1,607,0,6,0,41,1
重庆,2022-02-20,614,1,1,607,0,6,0,40,1
重庆,2022-02-19,613,0,0,607,0,6,0,39,0
重庆,2022-02-18,613,0,0,607,0,6,0,39,1
重庆,2022-02-17,613,0,0,607,1,6,0,38,0
重庆,2022-02-16,613,0,1,606,1,6,0,38,0
重庆,2022-02-15,613,0,2,605,0,6,0,38,0
重庆,2022-02-14,613,0,2,605,0,6,0,38,1
重庆,2022-02-13,613,0,2,605,0,6,0,37,1
重庆,2022-02-12,613,0,2,605,0,6,0,36,0
重庆,2022-02-11,613,0,2,605,0,6,0,36,1
重庆,2022-02-10,613,0,2,605,0,6,0,35,2
重庆,2022-02-09,613,0,2,605,0,6,0,33,0
重庆,2022-02-08,613,0,2,605,0,6,0,33,1
重庆,2022-02-07,613,0,2,605,0,6,0,32,3
重庆,2022-02-06,613,0,2,605,0,6,0,29,0
重庆,2022-02-05,613,0,2,605,0,6,0,29,0
重庆,2022-02-04,613,0,2,605,0,6,0,29,0
重庆,2022-02-03,613,0,2,605,0,6,0,29,0
重庆,2022-02-02,613,0,2,605,0,6,0,29,0
重庆,2022-02-01,613,0,2,605,0,6,0,29,3
重庆,2022-01-31,613,0,2,605,0,6,0,26,2
重庆,2022-01-30,613,0,2,605,0,6,0,24,0
重庆,2022-01-29,613,0,2,605,0,6,0,24,0
重庆,2022-01-28,613,1,2,605,0,6,0,24,1
重庆,2022-01-27,612,0,1,605,0,6,0,23,0
重庆,2022-01-26,612,0,1,605,0,6,0,23,0
重庆,2022-01-25,612,1,1,605,0,6,0,27,3
重庆,2022-01-24,611,0,0,605,0,6,0,24,1
重庆,2022-01-23,611,0,0,605,0,6,0,23,0
重庆,2022-01-22,611,0,0,605,0,6,0,23,0
重庆,2022-01-21,611,0,0,605,0,6,0,23,0
重庆,2022-01-20,611,0,0,605,0,6,0,23,0
重庆,2022-01-19,611,0,0,605,0,6,0,23,0
重庆,2022-01-18,611,0,0,605,0,6,0,23,0
重庆,2022-01-17,611,0,0,605,0,6,0,23,0
重庆,2022-01-16,611,0,0,605,0,6,0,23,0
重庆,2022-01-15,611,0,0,605,0,6,0,23,0
重庆,2022-01-14,611,0,0,605,0,6,0,23,0
重庆,2022-01-13,611,0,0,605,0,6,0,23,0
重庆,2022-01-12,611,0,0,605,0,6,0,23,0
重庆,2022-01-11,611,0,0,605,0,6,0,23,0
重庆,2022-01-10,611,0,0,605,0,6,0,23,0
重庆,2022-01-09,611,0,0,605,0,6,0,23,0
重庆,2022-01-08,611,0,0,605,0,6,0,23,0
重庆,2022-01-07,611,0,0,605,1,6,0,23,0
重庆,2022-01-06,611,0,1,604,0,6,0,23,0
重庆,2022-01-05,611,0,1,604,0,6,0,23,0
重庆,2022-01-04,611,0,1,604,0,6,0,23,0
重庆,2022-01-03,611,0,1,604,1,6,0,23,0
重庆,2022-01-02,611,0,2,603,0,6,0,23,0
重庆,2022-01-01,611,0,2,603,0,6,0,23,0
重庆,2021-12-31,611,0,2,603,0,6,0,23,0
重庆,2021-12-30,611,0,2,603,0,6,0,23,0
重庆,2021-12-29,611,0,2,603,1,6,0,23,0
重庆,2021-12-28,611,0,3,602,0,6,0,23,0
重庆,2021-12-27,611,1,3,602,0,6,0,23,0
重庆,2021-12-26,610,0,2,602,0,6,0,23,0
重庆,2021-12-25,610,0,2,602,0,6,0,23,0
重庆,2021-12-24,610,0,2,602,0,6,0,23,0
重庆,2021-12-23,610,0,2,602,0,6,0,23,0
重庆,2021-12-22,610,0,2,602,0,6,0,23,0
