省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
重庆,南岸区,2022-05-11,16,0,16,0,0,0,0
重庆,南岸区,2022-05-10,16,0,16,0,0,0,0
重庆,南岸区,2022-05-09,16,0,16,0,0,0,0
重庆,南岸区,2022-05-08,16,0,16,0,0,0,0
重庆,南岸区,2022-05-07,16,0,16,0,0,0,0
重庆,南岸区,2022-05-06,16,0,16,0,0,0,0
重庆,南岸区,2022-05-05,16,0,16,0,0,0,0
重庆,南岸区,2022-05-04,16,0,16,0,0,0,0
重庆,南岸区,2022-05-03,16,0,16,0,0,0,0
重庆,南岸区,2022-05-02,16,0,16,0,0,0,0
重庆,南岸区,2022-05-01,16,0,16,0,0,0,0
重庆,南岸区,2022-04-30,16,0,16,0,0,0,0
重庆,南岸区,2022-04-29,16,0,16,0,0,0,0
重庆,南岸区,2022-04-28,16,0,16,0,0,0,0
重庆,南岸区,2022-04-27,16,0,16,0,0,0,0
重庆,南岸区,2022-04-26,16,0,16,0,0,0,0
重庆,南岸区,2022-04-25,16,0,16,0,0,0,0
重庆,南岸区,2022-04-24,16,0,16,0,0,0,0
重庆,南岸区,2022-04-23,16,0,16,0,0,0,0
重庆,南岸区,2022-04-22,16,0,16,0,0,0,0
重庆,南岸区,2022-04-21,16,0,16,0,0,0,0
重庆,南岸区,2022-04-20,16,0,16,0,0,0,0
重庆,南岸区,2022-04-19,16,0,16,0,0,0,0
重庆,南岸区,2022-04-18,16,0,16,0,0,0,0
重庆,南岸区,2022-04-17,16,0,16,0,0,0,0
重庆,南岸区,2022-04-16,16,0,16,0,0,0,0
重庆,南岸区,2022-04-15,16,0,16,0,0,0,0
重庆,南岸区,2022-04-14,16,0,16,0,0,0,0
重庆,南岸区,2022-04-13,16,0,16,0,0,0,0
重庆,南岸区,2022-04-12,16,0,16,0,0,0,0
重庆,南岸区,2022-04-11,16,0,16,1,0,0,0
重庆,南岸区,2022-04-10,16,0,15,0,0,0,0
重庆,南岸区,2022-04-09,16,0,15,0,0,0,0
重庆,南岸区,2022-04-08,16,0,15,0,0,0,0
重庆,南岸区,2022-04-07,16,0,15,0,0,0,0
