省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
重庆,境外输入,2022-05-11,45,0,0,0,0,0,0
重庆,境外输入,2022-05-10,45,0,0,0,0,0,0
重庆,境外输入,2022-05-09,45,0,0,0,0,0,0
重庆,境外输入,2022-05-08,45,0,0,0,0,0,0
重庆,境外输入,2022-05-07,45,0,0,0,0,0,0
重庆,境外输入,2022-05-06,45,0,0,0,0,0,0
重庆,境外输入,2022-05-05,45,0,0,0,0,0,0
重庆,境外输入,2022-05-04,45,0,0,0,0,0,0
重庆,境外输入,2022-05-03,45,0,0,0,0,0,0
重庆,境外输入,2022-05-02,45,0,0,0,0,0,0
重庆,境外输入,2022-05-01,45,0,0,0,0,0,0
重庆,境外输入,2022-04-30,45,0,0,0,0,0,0
重庆,境外输入,2022-04-29,45,0,0,0,0,0,0
重庆,境外输入,2022-04-28,45,0,0,0,0,0,0
重庆,境外输入,2022-04-27,45,0,0,0,0,0,0
重庆,境外输入,2022-04-26,45,0,0,0,0,0,0
重庆,境外输入,2022-04-25,45,0,0,0,0,0,0
重庆,境外输入,2022-04-24,45,0,0,0,0,0,0
重庆,境外输入,2022-04-23,45,0,0,0,0,0,0
重庆,境外输入,2022-04-22,45,0,0,0,0,0,0
重庆,境外输入,2022-04-21,45,0,0,0,0,0,0
重庆,境外输入,2022-04-20,45,0,0,0,0,0,0
重庆,境外输入,2022-04-19,45,0,0,0,0,0,0
重庆,境外输入,2022-04-18,45,0,0,0,0,0,0
重庆,境外输入,2022-04-17,45,0,0,0,0,0,0
重庆,境外输入,2022-04-16,45,0,0,0,0,0,0
重庆,境外输入,2022-04-15,45,0,0,0,0,0,0
重庆,境外输入,2022-04-14,45,0,0,0,0,0,0
重庆,境外输入,2022-04-13,45,0,0,0,0,0,0
重庆,境外输入,2022-04-12,45,0,0,0,0,0,0
重庆,境外输入,2022-04-11,45,0,0,0,0,0,0
重庆,境外输入,2022-04-10,45,0,0,0,0,0,0
重庆,境外输入,2022-04-09,45,0,0,0,0,0,0
重庆,境外输入,2022-04-08,45,0,0,0,0,0,0
重庆,境外输入,2022-04-07,45,0,0,0,0,0,0
重庆,境外输入,2022-04-06,45,0,0,0,0,0,0
重庆,境外输入,2022-04-05,45,1,0,0,0,0,0
重庆,境外输入,2022-04-04,44,0,0,0,0,0,0
重庆,境外输入,2022-04-03,44,0,0,0,0,0,0
重庆,境外输入,2022-04-02,44,0,0,0,0,0,0
重庆,境外输入,2022-04-01,44,0,0,0,0,0,0
重庆,境外输入,2022-03-31,44,0,0,0,0,0,0
重庆,境外输入,2022-03-30,44,0,0,0,0,0,0
重庆,境外输入,2022-03-29,44,0,0,0,0,0,0
重庆,境外输入,2022-03-28,44,0,0,0,0,0,0
重庆,境外输入,2022-03-27,44,0,0,0,0,0,0
重庆,境外输入,2022-03-26,44,0,0,0,0,0,0
重庆,境外输入,2022-03-25,44,0,0,0,0,0,0
重庆,境外输入,2022-03-24,44,0,0,0,0,0,0
重庆,境外输入,2022-03-23,44,0,0,0,0,0,0
重庆,境外输入,2022-03-22,44,0,0,0,0,0,0
重庆,境外输入,2022-03-21,44,0,0,0,0,0,0
重庆,境外输入,2022-03-20,44,0,0,0,0,0,0
重庆,境外输入,2022-03-19,44,0,0,0,0,0,0
重庆,境外输入,2022-03-18,44,0,0,0,0,0,0
重庆,境外输入,2022-03-17,44,0,0,0,0,0,0
重庆,境外输入,2022-03-16,44,0,0,0,0,0,0
重庆,境外输入,2022-03-15,44,0,0,0,0,0,0
重庆,境外输入,2022-03-14,44,0,0,0,0,0,0
重庆,境外输入,2022-03-13,44,0,0,0,0,0,0
重庆,境外输入,2022-03-12,44,0,0,0,0,0,0
重庆,境外输入,2022-03-11,44,2,0,0,0,0,0
重庆,境外输入,2022-03-10,42,2,0,0,0,0,0
