省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
重庆,大渡口区,2022-05-11,8,0,8,0,0,0,0
重庆,大渡口区,2022-05-10,8,0,8,0,0,0,0
重庆,大渡口区,2022-05-09,8,0,8,0,0,0,0
重庆,大渡口区,2022-05-08,8,0,8,0,0,0,0
重庆,大渡口区,2022-05-07,8,0,8,0,0,0,0
重庆,大渡口区,2022-05-06,8,0,8,0,0,0,0
重庆,大渡口区,2022-05-05,8,0,8,0,0,0,0
重庆,大渡口区,2022-05-04,8,0,8,0,0,0,0
重庆,大渡口区,2022-05-03,8,0,8,0,0,0,0
重庆,大渡口区,2022-05-02,8,0,8,0,0,0,0
重庆,大渡口区,2022-05-01,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-30,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-29,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-28,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-27,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-26,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-25,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-24,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-23,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-22,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-21,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-20,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-19,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-18,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-17,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-16,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-15,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-14,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-13,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-12,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-11,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-10,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-09,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-08,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-07,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-06,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-05,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-04,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-03,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-02,8,0,8,0,0,0,0
重庆,大渡口区,2022-04-01,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-31,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-30,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-29,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-28,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-27,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-26,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-25,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-24,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-23,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-22,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-21,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-20,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-19,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-18,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-17,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-16,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-15,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-14,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-13,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-12,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-11,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-10,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-09,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-08,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-07,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-06,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-05,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-04,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-03,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-02,8,0,8,0,0,0,0
重庆,大渡口区,2022-03-01,8,0,8,0,0,0,0
重庆,大渡口区,2022-02-28,8,0,8,0,0,0,0
重庆,大渡口区,2022-02-27,8,0,8,0,0,0,0
重庆,大渡口区,2022-02-26,8,0,8,0,0,0,0
重庆,大渡口区,2022-02-25,8,0,8,0,0,0,0
重庆,大渡口区,2022-02-24,8,0,8,0,0,0,0
重庆,大渡口区,2022-02-23,8,0,8,0,0,0,0
重庆,大渡口区,2022-02-22,8,0,8,0,0,0,0
重庆,大渡口区,2022-02-21,8,0,8,0,0,0,0
重庆,大渡口区,2022-02-20,8,0,8,0,0,0,0
重庆,大渡口区,2022-02-19,8,0,8,0,0,0,0
重庆,大渡口区,2022-02-18,8,0,8,0,0,0,0
重庆,大渡口区,2022-02-17,8,0,8,0,0,0,0
重庆,大渡口区,2022-02-16,8,0,8,0,0,0,0
