省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
重庆,奉节县,2022-05-11,22,0,22,0,0,0,0
重庆,奉节县,2022-05-10,22,0,22,0,0,0,0
重庆,奉节县,2022-05-09,22,0,22,0,0,0,0
重庆,奉节县,2022-05-08,22,0,22,0,0,0,0
重庆,奉节县,2022-05-07,22,0,22,0,0,0,0
重庆,奉节县,2022-05-06,22,0,22,0,0,0,0
重庆,奉节县,2022-05-05,22,0,22,0,0,0,0
重庆,奉节县,2022-05-04,22,0,22,0,0,0,0
重庆,奉节县,2022-05-03,22,0,22,0,0,0,0
重庆,奉节县,2022-05-02,22,0,22,0,0,0,0
重庆,奉节县,2022-05-01,22,0,22,0,0,0,0
重庆,奉节县,2022-04-30,22,0,22,0,0,0,0
重庆,奉节县,2022-04-29,22,0,22,0,0,0,0
重庆,奉节县,2022-04-28,22,0,22,0,0,0,0
重庆,奉节县,2022-04-27,22,0,22,0,0,0,0
重庆,奉节县,2022-04-26,22,0,22,0,0,0,0
重庆,奉节县,2022-04-25,22,0,22,0,0,0,0
重庆,奉节县,2022-04-24,22,0,22,0,0,0,0
重庆,奉节县,2022-04-23,22,0,22,0,0,0,0
重庆,奉节县,2022-04-22,22,0,22,0,0,0,0
重庆,奉节县,2022-04-21,22,0,22,0,0,0,0
重庆,奉节县,2022-04-20,22,0,22,0,0,0,0
重庆,奉节县,2022-04-19,22,0,22,0,0,0,0
重庆,奉节县,2022-04-18,22,0,22,0,0,0,0
重庆,奉节县,2022-04-17,22,0,22,0,0,0,0
重庆,奉节县,2022-04-16,22,0,22,0,0,0,0
重庆,奉节县,2022-04-15,22,0,22,0,0,0,0
重庆,奉节县,2022-04-14,22,0,22,0,0,0,0
重庆,奉节县,2022-04-13,22,0,22,0,0,0,0
重庆,奉节县,2022-04-12,22,0,22,0,0,0,0
重庆,奉节县,2022-04-11,22,0,22,0,0,0,0
重庆,奉节县,2022-04-10,22,0,22,0,0,0,0
重庆,奉节县,2022-04-09,22,0,22,0,0,0,0
重庆,奉节县,2022-04-08,22,0,22,0,0,0,0
重庆,奉节县,2022-04-07,22,0,22,0,0,0,0
重庆,奉节县,2022-04-06,22,0,22,0,0,0,0
重庆,奉节县,2022-04-05,22,0,22,0,0,0,0
重庆,奉节县,2022-04-04,22,0,22,0,0,0,0
重庆,奉节县,2022-04-03,22,0,22,0,0,0,0
重庆,奉节县,2022-04-02,22,0,22,0,0,0,0
重庆,奉节县,2022-04-01,22,0,22,0,0,0,0
重庆,奉节县,2022-03-31,22,0,22,0,0,0,0
重庆,奉节县,2022-03-30,22,0,22,0,0,0,0
重庆,奉节县,2022-03-29,22,0,22,0,0,0,0
重庆,奉节县,2022-03-28,22,0,22,0,0,0,0
重庆,奉节县,2022-03-27,22,0,22,0,0,0,0
重庆,奉节县,2022-03-26,22,0,22,0,0,0,0
重庆,奉节县,2022-03-25,22,0,22,0,0,0,0
重庆,奉节县,2022-03-24,22,0,22,0,0,0,0
重庆,奉节县,2022-03-23,22,0,22,0,0,0,0
重庆,奉节县,2022-03-22,22,0,22,0,0,0,0
重庆,奉节县,2022-03-21,22,0,22,0,0,0,0
重庆,奉节县,2022-03-20,22,0,22,0,0,0,0
重庆,奉节县,2022-03-19,22,0,22,0,0,0,0
重庆,奉节县,2022-03-18,22,0,22,0,0,0,0
重庆,奉节县,2022-03-17,22,0,22,0,0,0,0
重庆,奉节县,2022-03-16,22,0,22,0,0,0,0
重庆,奉节县,2022-03-15,22,0,22,0,0,0,0
重庆,奉节县,2022-03-14,22,0,22,0,0,0,0
重庆,奉节县,2022-03-13,22,0,22,0,0,0,0
重庆,奉节县,2022-03-12,22,0,22,0,0,0,0
重庆,奉节县,2022-03-11,22,0,22,0,0,0,0
重庆,奉节县,2022-03-10,22,0,22,0,0,0,0
重庆,奉节县,2022-03-09,22,0,22,0,0,0,0
重庆,奉节县,2022-03-08,22,0,22,0,0,0,0
重庆,奉节县,2022-03-07,22,0,22,0,0,0,0
重庆,奉节县,2022-03-06,22,0,22,0,0,0,0
重庆,奉节县,2022-03-05,22,0,22,0,0,0,0
重庆,奉节县,2022-03-04,22,0,22,0,0,0,0
重庆,奉节县,2022-03-03,22,0,22,0,0,0,0
重庆,奉节县,2022-03-02,22,0,22,0,0,0,0
重庆,奉节县,2022-03-01,22,0,22,0,0,0,0
重庆,奉节县,2022-02-28,22,0,22,0,0,0,0
重庆,奉节县,2022-02-27,22,0,22,0,0,0,0
重庆,奉节县,2022-02-26,22,0,22,0,0,0,0
重庆,奉节县,2022-02-25,22,0,22,0,0,0,0
重庆,奉节县,2022-02-24,22,0,22,0,0,0,0
重庆,奉节县,2022-02-23,22,0,22,0,0,0,0
重庆,奉节县,2022-02-22,22,0,22,0,0,0,0
重庆,奉节县,2022-02-21,22,0,22,0,0,0,0
重庆,奉节县,2022-02-20,22,0,22,0,0,0,0
重庆,奉节县,2022-02-19,22,0,22,0,0,0,0
重庆,奉节县,2022-02-18,22,0,22,0,0,0,0
重庆,奉节县,2022-02-17,22,0,22,0,0,0,0
重庆,奉节县,2022-02-16,22,0,22,0,0,0,0
重庆,奉节县,2022-02-15,22,0,22,0,0,0,0
重庆,奉节县,2022-02-14,22,0,22,0,0,0,0
重庆,奉节县,2022-02-13,22,0,22,0,0,0,0
重庆,奉节县,2022-02-12,22,0,22,0,0,0,0
重庆,奉节县,2022-02-11,22,0,22,0,0,0,0
重庆,奉节县,2022-02-10,22,0,22,0,0,0,0
重庆,奉节县,2022-02-09,22,0,22,0,0,0,0
重庆,奉节县,2022-02-08,22,0,22,0,0,0,0
重庆,奉节县,2022-02-07,22,0,22,0,0,0,0
重庆,奉节县,2022-02-06,22,0,22,0,0,0,0
重庆,奉节县,2022-02-05,22,0,22,0,0,0,0
重庆,奉节县,2022-02-04,22,0,22,0,0,0,0
重庆,奉节县,2022-02-03,22,0,22,0,0,0,0
重庆,奉节县,2022-02-02,22,0,22,0,0,0,0
重庆,奉节县,2022-02-01,22,0,22,0,0,0,0
重庆,奉节县,2022-01-31,22,0,22,0,0,0,0
重庆,奉节县,2022-01-30,22,0,22,0,0,0,0
重庆,奉节县,2022-01-29,22,0,22,0,0,0,0
重庆,奉节县,2022-01-28,22,0,22,0,0,0,0
重庆,奉节县,2022-01-27,22,0,22,0,0,0,0
重庆,奉节县,2022-01-26,22,0,22,0,0,0,0
重庆,奉节县,2022-01-25,22,0,22,0,0,0,0
重庆,奉节县,2022-01-24,22,0,22,0,0,0,0
重庆,奉节县,2022-01-23,22,0,22,0,0,0,0
重庆,奉节县,2022-01-22,22,0,22,0,0,0,0
重庆,奉节县,2022-01-21,22,0,22,0,0,0,0
重庆,奉节县,2022-01-20,22,0,22,0,0,0,0
重庆,奉节县,2022-01-19,22,0,22,0,0,0,0
重庆,奉节县,2022-01-18,22,0,22,0,0,0,0
重庆,奉节县,2022-01-17,22,0,22,0,0,0,0
重庆,奉节县,2022-01-16,22,0,22,0,0,0,0
重庆,奉节县,2022-01-15,22,0,22,0,0,0,0
重庆,奉节县,2022-01-14,22,0,22,0,0,0,0
重庆,奉节县,2022-01-13,22,0,22,0,0,0,0
重庆,奉节县,2022-01-12,22,0,22,0,0,0,0
重庆,奉节县,2022-01-11,22,0,22,0,0,0,0
重庆,奉节县,2022-01-10,22,0,22,0,0,0,0
重庆,奉节县,2022-01-09,22,0,22,0,0,0,0
重庆,奉节县,2022-01-08,22,0,22,0,0,0,0
重庆,奉节县,2022-01-07,22,0,22,0,0,0,0
重庆,奉节县,2022-01-06,22,0,22,0,0,0,0
重庆,奉节县,2022-01-05,22,0,22,0,0,0,0
重庆,奉节县,2022-01-04,22,0,22,0,0,0,0
重庆,奉节县,2022-01-03,22,0,22,0,0,0,0
重庆,奉节县,2022-01-02,22,0,22,0,0,0,0
重庆,奉节县,2022-01-01,22,0,22,0,0,0,0
重庆,奉节县,2021-12-31,22,0,22,0,0,0,0
重庆,奉节县,2021-12-30,22,0,22,0,0,0,0
重庆,奉节县,2021-12-29,22,0,22,0,0,0,0
重庆,奉节县,2021-12-28,22,0,22,0,0,0,0
重庆,奉节县,2021-12-27,22,0,22,0,0,0,0
重庆,奉节县,2021-12-26,22,0,22,0,0,0,0
重庆,奉节县,2021-12-25,22,0,22,0,0,0,0
重庆,奉节县,2021-12-24,22,0,22,0,0,0,0
重庆,奉节县,2021-12-23,22,0,22,0,0,0,0
重庆,奉节县,2021-12-22,22,0,22,0,0,0,0
重庆,奉节县,2021-12-21,22,0,22,0,0,0,0
重庆,奉节县,2021-12-20,22,0,22,0,0,0,0
重庆,奉节县,2021-12-19,22,0,22,0,0,0,0
重庆,奉节县,2021-12-18,22,0,22,0,0,0,0
重庆,奉节县,2021-12-17,22,0,22,0,0,0,0
重庆,奉节县,2021-12-16,22,0,22,0,0,0,0
重庆,奉节县,2021-12-15,22,0,22,0,0,0,0
重庆,奉节县,2021-12-14,22,0,22,0,0,0,0
重庆,奉节县,2021-12-13,22,0,22,0,0,0,0
重庆,奉节县,2021-12-12,22,0,22,0,0,0,0
重庆,奉节县,2021-12-11,22,0,22,0,0,0,0
重庆,奉节县,2021-12-10,22,0,22,0,0,0,0
重庆,奉节县,2021-12-09,22,0,22,0,0,0,0
重庆,奉节县,2021-12-08,22,0,22,0,0,0,0
重庆,奉节县,2021-12-07,22,0,22,0,0,0,0
重庆,奉节县,2021-12-06,22,0,22,0,0,0,0
