省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
重庆,巴南区,2022-05-11,12,0,12,0,0,0,0
重庆,巴南区,2022-05-10,12,0,12,0,0,0,0
重庆,巴南区,2022-05-09,12,0,12,0,0,0,0
重庆,巴南区,2022-05-08,12,0,12,0,0,0,0
重庆,巴南区,2022-05-07,12,0,12,0,0,0,0
重庆,巴南区,2022-05-06,12,0,12,0,0,0,0
重庆,巴南区,2022-05-05,12,0,12,0,0,0,0
重庆,巴南区,2022-05-04,12,0,12,0,0,0,0
重庆,巴南区,2022-05-03,12,0,12,0,0,0,0
重庆,巴南区,2022-05-02,12,0,12,0,0,0,0
重庆,巴南区,2022-05-01,12,0,12,0,0,0,0
重庆,巴南区,2022-04-30,12,0,12,0,0,0,0
重庆,巴南区,2022-04-29,12,0,12,0,0,0,0
重庆,巴南区,2022-04-28,12,0,12,0,0,0,0
重庆,巴南区,2022-04-27,12,0,12,0,0,0,0
重庆,巴南区,2022-04-26,12,0,12,0,0,0,0
重庆,巴南区,2022-04-25,12,0,12,0,0,0,0
重庆,巴南区,2022-04-24,12,0,12,0,0,0,0
重庆,巴南区,2022-04-23,12,0,12,0,0,0,0
重庆,巴南区,2022-04-22,12,0,12,0,0,0,0
重庆,巴南区,2022-04-21,12,0,12,0,0,0,0
重庆,巴南区,2022-04-20,12,0,12,0,0,0,0
重庆,巴南区,2022-04-19,12,0,12,0,0,0,0
重庆,巴南区,2022-04-18,12,0,12,0,0,0,0
重庆,巴南区,2022-04-17,12,0,12,0,0,0,0
重庆,巴南区,2022-04-16,12,0,12,0,0,0,0
重庆,巴南区,2022-04-15,12,0,12,0,0,0,0
重庆,巴南区,2022-04-14,12,0,12,0,0,0,0
重庆,巴南区,2022-04-13,12,0,12,0,0,0,0
重庆,巴南区,2022-04-12,12,0,12,0,0,0,0
重庆,巴南区,2022-04-11,12,0,12,0,0,0,0
重庆,巴南区,2022-04-10,12,0,12,0,0,0,0
重庆,巴南区,2022-04-09,12,0,12,0,0,0,0
重庆,巴南区,2022-04-08,12,0,12,0,0,0,0
重庆,巴南区,2022-04-07,12,0,12,0,0,0,0
重庆,巴南区,2022-04-06,12,0,12,0,0,0,0
重庆,巴南区,2022-04-05,12,0,12,0,0,0,0
重庆,巴南区,2022-04-04,12,0,12,0,0,0,0
重庆,巴南区,2022-04-03,12,0,12,0,0,0,0
重庆,巴南区,2022-04-02,12,0,12,1,0,0,0
重庆,巴南区,2022-04-01,12,0,11,0,0,0,0
重庆,巴南区,2022-03-31,12,0,11,1,0,0,0
重庆,巴南区,2022-03-30,12,0,10,1,0,0,0
重庆,巴南区,2022-03-29,12,0,9,1,0,0,0
重庆,巴南区,2022-03-28,12,0,8,1,0,0,0
重庆,巴南区,2022-03-27,12,0,7,0,0,0,0
重庆,巴南区,2022-03-26,12,0,7,0,0,0,0
重庆,巴南区,2022-03-25,12,0,7,0,0,0,0
重庆,巴南区,2022-03-24,12,0,7,0,0,0,0
重庆,巴南区,2022-03-23,12,0,7,0,0,0,0
重庆,巴南区,2022-03-22,12,0,7,0,0,0,0
重庆,巴南区,2022-03-21,12,1,7,0,0,0,0
重庆,巴南区,2022-03-20,11,0,7,0,0,0,0
重庆,巴南区,2022-03-19,11,0,7,0,0,0,0
重庆,巴南区,2022-03-18,11,1,7,0,0,0,0
重庆,巴南区,2022-03-17,10,1,7,0,0,0,0
重庆,巴南区,2022-03-16,9,1,7,0,0,0,0
重庆,巴南区,2022-03-15,8,0,7,0,0,0,0
重庆,巴南区,2022-03-14,8,1,7,0,0,0,0
重庆,巴南区,2022-03-13,7,0,7,0,0,0,0
重庆,巴南区,2022-03-12,7,0,7,0,0,0,0
重庆,巴南区,2022-03-11,7,0,7,0,0,0,0
重庆,巴南区,2022-03-10,7,0,7,0,0,0,0
重庆,巴南区,2022-03-09,7,0,7,0,0,0,0
重庆,巴南区,2022-03-08,7,0,7,0,0,0,0
重庆,巴南区,2022-03-07,7,0,7,0,0,0,0
重庆,巴南区,2022-03-06,7,0,7,0,0,0,0
重庆,巴南区,2022-03-05,7,0,7,0,0,0,0
重庆,巴南区,2022-03-04,7,0,7,0,0,0,0
重庆,巴南区,2022-03-03,7,0,7,0,0,0,0
