省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
重庆,开州区,2022-05-11,21,0,20,0,1,0,0
重庆,开州区,2022-05-10,21,0,20,0,1,0,0
重庆,开州区,2022-05-09,21,0,20,0,1,0,0
重庆,开州区,2022-05-08,21,0,20,0,1,0,0
重庆,开州区,2022-05-07,21,0,20,0,1,0,0
重庆,开州区,2022-05-06,21,0,20,0,1,0,0
重庆,开州区,2022-05-05,21,0,20,0,1,0,0
重庆,开州区,2022-05-04,21,0,20,0,1,0,0
重庆,开州区,2022-05-03,21,0,20,0,1,0,0
重庆,开州区,2022-05-02,21,0,20,0,1,0,0
重庆,开州区,2022-05-01,21,0,20,0,1,0,0
重庆,开州区,2022-04-30,21,0,20,0,1,0,0
重庆,开州区,2022-04-29,21,0,20,0,1,0,0
重庆,开州区,2022-04-28,21,0,20,0,1,0,0
重庆,开州区,2022-04-27,21,0,20,0,1,0,0
重庆,开州区,2022-04-26,21,0,20,0,1,0,0
重庆,开州区,2022-04-25,21,0,20,0,1,0,0
重庆,开州区,2022-04-24,21,0,20,0,1,0,0
重庆,开州区,2022-04-23,21,0,20,0,1,0,0
重庆,开州区,2022-04-22,21,0,20,0,1,0,0
重庆,开州区,2022-04-21,21,0,20,0,1,0,0
重庆,开州区,2022-04-20,21,0,20,0,1,0,0
重庆,开州区,2022-04-19,21,0,20,0,1,0,0
重庆,开州区,2022-04-18,21,0,20,0,1,0,0
重庆,开州区,2022-04-17,21,0,20,0,1,0,0
重庆,开州区,2022-04-16,21,0,20,0,1,0,0
重庆,开州区,2022-04-15,21,0,20,0,1,0,0
重庆,开州区,2022-04-14,21,0,20,0,1,0,0
重庆,开州区,2022-04-13,21,0,20,0,1,0,0
重庆,开州区,2022-04-12,21,0,20,0,1,0,0
重庆,开州区,2022-04-11,21,0,20,0,1,0,0
重庆,开州区,2022-04-10,21,0,20,0,1,0,0
重庆,开州区,2022-04-09,21,0,20,0,1,0,0
重庆,开州区,2022-04-08,21,0,20,0,1,0,0
重庆,开州区,2022-04-07,21,0,20,0,1,0,0
重庆,开州区,2022-04-06,21,0,20,0,1,0,0
重庆,开州区,2022-04-05,21,0,20,0,1,0,0
重庆,开州区,2022-04-04,21,0,20,0,1,0,0
重庆,开州区,2022-04-03,21,0,20,0,1,0,0
重庆,开州区,2022-04-02,21,0,20,0,1,0,0
重庆,开州区,2022-04-01,21,0,20,0,1,0,0
重庆,开州区,2022-03-31,21,0,20,0,1,0,0
重庆,开州区,2022-03-30,21,0,20,0,1,0,0
重庆,开州区,2022-03-29,21,0,20,0,1,0,0
重庆,开州区,2022-03-28,21,0,20,0,1,0,0
重庆,开州区,2022-03-27,21,0,20,0,1,0,0
重庆,开州区,2022-03-26,21,0,20,0,1,0,0
重庆,开州区,2022-03-25,21,0,20,0,1,0,0
重庆,开州区,2022-03-24,21,0,20,0,1,0,0
重庆,开州区,2022-03-23,21,0,20,0,1,0,0
重庆,开州区,2022-03-22,21,0,20,0,1,0,0
重庆,开州区,2022-03-21,21,0,20,0,1,0,0
重庆,开州区,2022-03-20,21,0,20,0,1,0,0
重庆,开州区,2022-03-19,21,0,20,0,1,0,0
重庆,开州区,2022-03-18,21,0,20,0,1,0,0
