省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
重庆,江北区,2022-05-11,29,0,29,0,0,0,0
重庆,江北区,2022-05-10,29,0,29,0,0,0,0
重庆,江北区,2022-05-09,29,0,29,0,0,0,0
重庆,江北区,2022-05-08,29,0,29,0,0,0,0
重庆,江北区,2022-05-07,29,0,29,0,0,0,0
重庆,江北区,2022-05-06,29,0,29,0,0,0,0
重庆,江北区,2022-05-05,29,0,29,0,0,0,0
重庆,江北区,2022-05-04,29,0,29,0,0,0,0
重庆,江北区,2022-05-03,29,0,29,0,0,0,0
重庆,江北区,2022-05-02,29,0,29,0,0,0,0
重庆,江北区,2022-05-01,29,0,29,0,0,0,0
重庆,江北区,2022-04-30,29,0,29,0,0,0,0
重庆,江北区,2022-04-29,29,0,29,0,0,0,0
重庆,江北区,2022-04-28,29,0,29,0,0,0,0
重庆,江北区,2022-04-27,29,0,29,0,0,0,0
重庆,江北区,2022-04-26,29,0,29,0,0,0,0
重庆,江北区,2022-04-25,29,0,29,0,0,0,0
重庆,江北区,2022-04-24,29,0,29,0,0,0,0
重庆,江北区,2022-04-23,29,0,29,0,0,0,0
重庆,江北区,2022-04-22,29,0,29,0,0,0,0
重庆,江北区,2022-04-21,29,0,29,0,0,0,0
重庆,江北区,2022-04-20,29,0,29,0,0,0,0
重庆,江北区,2022-04-19,29,0,29,0,0,0,0
重庆,江北区,2022-04-18,29,0,29,0,0,0,0
重庆,江北区,2022-04-17,29,0,29,0,0,0,0
重庆,江北区,2022-04-16,29,0,29,1,0,0,0
重庆,江北区,2022-04-15,29,0,28,0,0,0,0
重庆,江北区,2022-04-14,29,0,28,0,0,0,0
重庆,江北区,2022-04-13,29,0,28,0,0,0,0
重庆,江北区,2022-04-12,29,0,28,0,0,0,0
重庆,江北区,2022-04-11,29,0,28,0,0,0,0
重庆,江北区,2022-04-10,29,0,28,0,0,0,0
重庆,江北区,2022-04-09,29,0,28,0,0,0,0
重庆,江北区,2022-04-08,29,1,28,0,0,0,0
重庆,江北区,2022-04-07,28,0,28,0,0,0,0
重庆,江北区,2022-04-06,28,0,28,0,0,0,0
重庆,江北区,2022-04-05,28,0,28,0,0,0,0
重庆,江北区,2022-04-04,28,0,28,0,0,0,0
重庆,江北区,2022-04-03,28,0,28,0,0,0,0
重庆,江北区,2022-04-02,28,0,28,0,0,0,0
重庆,江北区,2022-04-01,28,0,28,0,0,0,0
重庆,江北区,2022-03-31,28,0,28,0,0,0,0
重庆,江北区,2022-03-30,28,0,28,0,0,0,0
重庆,江北区,2022-03-29,28,0,28,0,0,0,0
重庆,江北区,2022-03-28,28,0,28,0,0,0,0
重庆,江北区,2022-03-27,28,0,28,0,0,0,0
重庆,江北区,2022-03-26,28,0,28,0,0,0,0
重庆,江北区,2022-03-25,28,0,28,0,0,0,0
重庆,江北区,2022-03-24,28,0,28,0,0,0,0
重庆,江北区,2022-03-23,28,0,28,0,0,0,0
重庆,江北区,2022-03-22,28,0,28,0,0,0,0
重庆,江北区,2022-03-21,28,0,28,0,0,0,0
重庆,江北区,2022-03-20,28,0,28,0,0,0,0
重庆,江北区,2022-03-19,28,0,28,0,0,0,0
重庆,江北区,2022-03-18,28,0,28,0,0,0,0
重庆,江北区,2022-03-17,28,0,28,0,0,0,0
重庆,江北区,2022-03-16,28,0,28,0,0,0,0
重庆,江北区,2022-03-15,28,0,28,0,0,0,0
重庆,江北区,2022-03-14,28,0,28,0,0,0,0
重庆,江北区,2022-03-13,28,0,28,0,0,0,0
重庆,江北区,2022-03-12,28,0,28,0,0,0,0
重庆,江北区,2022-03-11,28,0,28,0,0,0,0
重庆,江北区,2022-03-10,28,0,28,0,0,0,0
重庆,江北区,2022-03-09,28,0,28,0,0,0,0
重庆,江北区,2022-03-08,28,0,28,0,0,0,0
重庆,江北区,2022-03-07,28,0,28,0,0,0,0
重庆,江北区,2022-03-06,28,0,28,0,0,0,0
重庆,江北区,2022-03-05,28,0,28,0,0,0,0
重庆,江北区,2022-03-04,28,0,28,0,0,0,0
重庆,江北区,2022-03-03,28,0,28,0,0,0,0
重庆,江北区,2022-03-02,28,0,28,0,0,0,0
重庆,江北区,2022-03-01,28,0,28,0,0,0,0
重庆,江北区,2022-02-28,28,0,28,0,0,0,0
重庆,江北区,2022-02-27,28,0,28,0,0,0,0
重庆,江北区,2022-02-26,28,0,28,0,0,0,0
重庆,江北区,2022-02-25,28,0,28,0,0,0,0
重庆,江北区,2022-02-24,28,0,28,0,0,0,0
重庆,江北区,2022-02-23,28,0,28,0,0,0,0
重庆,江北区,2022-02-22,28,0,28,0,0,0,0
重庆,江北区,2022-02-21,28,0,28,0,0,0,0
重庆,江北区,2022-02-20,28,0,28,0,0,0,0
重庆,江北区,2022-02-19,28,0,28,0,0,0,0
重庆,江北区,2022-02-18,28,0,28,0,0,0,0
重庆,江北区,2022-02-17,28,0,28,0,0,0,0
重庆,江北区,2022-02-16,28,0,28,0,0,0,0
重庆,江北区,2022-02-15,28,0,28,0,0,0,0
重庆,江北区,2022-02-14,28,0,28,0,0,0,0
重庆,江北区,2022-02-13,28,0,28,0,0,0,0
重庆,江北区,2022-02-12,28,0,28,0,0,0,0
重庆,江北区,2022-02-11,28,0,28,0,0,0,0
重庆,江北区,2022-02-10,28,0,28,0,0,0,0
重庆,江北区,2022-02-09,28,0,28,0,0,0,0
重庆,江北区,2022-02-08,28,0,28,0,0,0,0
重庆,江北区,2022-02-07,28,0,28,0,0,0,0
重庆,江北区,2022-02-06,28,0,28,0,0,0,0
重庆,江北区,2022-02-05,28,0,28,0,0,0,0
重庆,江北区,2022-02-04,28,0,28,0,0,0,0
重庆,江北区,2022-02-03,28,0,28,0,0,0,0
重庆,江北区,2022-02-02,28,0,28,0,0,0,0
重庆,江北区,2022-02-01,28,0,28,0,0,0,0
重庆,江北区,2022-01-31,28,0,28,0,0,0,0
重庆,江北区,2022-01-30,28,0,28,0,0,0,0
重庆,江北区,2022-01-29,28,0,28,0,0,0,0
重庆,江北区,2022-01-28,28,0,28,0,0,0,0
重庆,江北区,2022-01-27,28,0,28,0,0,0,0
重庆,江北区,2022-01-26,28,0,28,0,0,0,0
重庆,江北区,2022-01-25,28,0,28,0,0,0,0
重庆,江北区,2022-01-24,28,0,28,0,0,0,0
重庆,江北区,2022-01-23,28,0,28,0,0,0,0
重庆,江北区,2022-01-22,28,0,28,0,0,0,0
重庆,江北区,2022-01-21,28,0,28,0,0,0,0
重庆,江北区,2022-01-20,28,0,28,0,0,0,0
重庆,江北区,2022-01-19,28,0,28,0,0,0,0
重庆,江北区,2022-01-18,28,0,28,0,0,0,0
重庆,江北区,2022-01-17,28,0,28,0,0,0,0
重庆,江北区,2022-01-16,28,0,28,0,0,0,0
重庆,江北区,2022-01-15,28,0,28,0,0,0,0
重庆,江北区,2022-01-14,28,0,28,0,0,0,0
重庆,江北区,2022-01-13,28,0,28,0,0,0,0
重庆,江北区,2022-01-12,28,0,28,0,0,0,0
重庆,江北区,2022-01-11,28,0,28,0,0,0,0
重庆,江北区,2022-01-10,28,0,28,0,0,0,0
重庆,江北区,2022-01-09,28,0,28,0,0,0,0
重庆,江北区,2022-01-08,28,0,28,0,0,0,0
重庆,江北区,2022-01-07,28,0,28,0,0,0,0
重庆,江北区,2022-01-06,28,0,28,0,0,0,0
重庆,江北区,2022-01-05,28,0,28,0,0,0,0
重庆,江北区,2022-01-04,28,0,28,0,0,0,0
重庆,江北区,2022-01-03,28,0,28,0,0,0,0
重庆,江北区,2022-01-02,28,0,28,0,0,0,0
重庆,江北区,2022-01-01,28,0,28,0,0,0,0
重庆,江北区,2021-12-31,28,0,28,0,0,0,0
重庆,江北区,2021-12-30,28,0,28,0,0,0,0
重庆,江北区,2021-12-29,28,0,28,0,0,0,0
重庆,江北区,2021-12-28,28,0,28,0,0,0,0
重庆,江北区,2021-12-27,28,0,28,0,0,0,0
重庆,江北区,2021-12-26,28,0,28,0,0,0,0
重庆,江北区,2021-12-25,28,0,28,0,0,0,0
重庆,江北区,2021-12-24,28,0,28,0,0,0,0
重庆,江北区,2021-12-23,28,0,28,0,0,0,0
重庆,江北区,2021-12-22,28,0,28,0,0,0,0
重庆,江北区,2021-12-21,28,0,28,0,0,0,0
重庆,江北区,2021-12-20,28,0,28,0,0,0,0
重庆,江北区,2021-12-19,28,0,28,0,0,0,0
重庆,江北区,2021-12-18,28,0,28,0,0,0,0
