省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
重庆,潼南区,2022-05-11,18,0,18,0,0,0,0
重庆,潼南区,2022-05-10,18,0,18,0,0,0,0
重庆,潼南区,2022-05-09,18,0,18,0,0,0,0
重庆,潼南区,2022-05-08,18,0,18,0,0,0,0
重庆,潼南区,2022-05-07,18,0,18,0,0,0,0
重庆,潼南区,2022-05-06,18,0,18,0,0,0,0
重庆,潼南区,2022-05-05,18,0,18,0,0,0,0
重庆,潼南区,2022-05-04,18,0,18,0,0,0,0
重庆,潼南区,2022-05-03,18,0,18,0,0,0,0
重庆,潼南区,2022-05-02,18,0,18,0,0,0,0
重庆,潼南区,2022-05-01,18,0,18,0,0,0,0
重庆,潼南区,2022-04-30,18,0,18,0,0,0,0
重庆,潼南区,2022-04-29,18,0,18,0,0,0,0
重庆,潼南区,2022-04-28,18,0,18,0,0,0,0
重庆,潼南区,2022-04-27,18,0,18,0,0,0,0
重庆,潼南区,2022-04-26,18,0,18,0,0,0,0
重庆,潼南区,2022-04-25,18,0,18,0,0,0,0
重庆,潼南区,2022-04-24,18,0,18,0,0,0,0
重庆,潼南区,2022-04-23,18,0,18,0,0,0,0
重庆,潼南区,2022-04-22,18,0,18,0,0,0,0
重庆,潼南区,2022-04-21,18,0,18,0,0,0,0
重庆,潼南区,2022-04-20,18,0,18,0,0,0,0
重庆,潼南区,2022-04-19,18,0,18,0,0,0,0
重庆,潼南区,2022-04-18,18,0,18,0,0,0,0
重庆,潼南区,2022-04-17,18,0,18,0,0,0,0
重庆,潼南区,2022-04-16,18,0,18,0,0,0,0
重庆,潼南区,2022-04-15,18,0,18,0,0,0,0
重庆,潼南区,2022-04-14,18,0,18,0,0,0,0
重庆,潼南区,2022-04-13,18,0,18,0,0,0,0
重庆,潼南区,2022-04-12,18,0,18,0,0,0,0
重庆,潼南区,2022-04-11,18,0,18,0,0,0,0
重庆,潼南区,2022-04-10,18,0,18,0,0,0,0
重庆,潼南区,2022-04-09,18,0,18,0,0,0,0
重庆,潼南区,2022-04-08,18,0,18,0,0,0,0
重庆,潼南区,2022-04-07,18,0,18,0,0,0,0
重庆,潼南区,2022-04-06,18,0,18,0,0,0,0
重庆,潼南区,2022-04-05,18,0,18,0,0,0,0
重庆,潼南区,2022-04-04,18,0,18,0,0,0,0
重庆,潼南区,2022-04-03,18,0,18,0,0,0,0
重庆,潼南区,2022-04-02,18,0,18,0,0,0,0
重庆,潼南区,2022-04-01,18,0,18,0,0,0,0
重庆,潼南区,2022-03-31,18,0,18,0,0,0,0
重庆,潼南区,2022-03-30,18,0,18,0,0,0,0
重庆,潼南区,2022-03-29,18,0,18,0,0,0,0
重庆,潼南区,2022-03-28,18,0,18,0,0,0,0
重庆,潼南区,2022-03-27,18,0,18,0,0,0,0
重庆,潼南区,2022-03-26,18,0,18,0,0,0,0
重庆,潼南区,2022-03-25,18,0,18,0,0,0,0
重庆,潼南区,2022-03-24,18,0,18,0,0,0,0
重庆,潼南区,2022-03-23,18,0,18,0,0,0,0
