省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
重庆,綦江区,2022-05-11,23,0,23,0,0,0,0
重庆,綦江区,2022-05-10,23,0,23,0,0,0,0
重庆,綦江区,2022-05-09,23,0,23,0,0,0,0
重庆,綦江区,2022-05-08,23,0,23,0,0,0,0
重庆,綦江区,2022-05-07,23,0,23,0,0,0,0
重庆,綦江区,2022-05-06,23,0,23,0,0,0,0
重庆,綦江区,2022-05-05,23,0,23,0,0,0,0
重庆,綦江区,2022-05-04,23,0,23,0,0,0,0
重庆,綦江区,2022-05-03,23,0,23,0,0,0,0
重庆,綦江区,2022-05-02,23,0,23,0,0,0,0
重庆,綦江区,2022-05-01,23,0,23,0,0,0,0
重庆,綦江区,2022-04-30,23,0,23,0,0,0,0
重庆,綦江区,2022-04-29,23,0,23,0,0,0,0
重庆,綦江区,2022-04-28,23,0,23,0,0,0,0
重庆,綦江区,2022-04-27,23,0,23,0,0,0,0
重庆,綦江区,2022-04-26,23,0,23,0,0,0,0
重庆,綦江区,2022-04-25,23,0,23,0,0,0,0
重庆,綦江区,2022-04-24,23,0,23,0,0,0,0
重庆,綦江区,2022-04-23,23,0,23,0,0,0,0
重庆,綦江区,2022-04-22,23,0,23,0,0,0,0
重庆,綦江区,2022-04-21,23,0,23,0,0,0,0
重庆,綦江区,2022-04-20,23,0,23,0,0,0,0
重庆,綦江区,2022-04-19,23,0,23,0,0,0,0
重庆,綦江区,2022-04-18,23,0,23,0,0,0,0
重庆,綦江区,2022-04-17,23,0,23,0,0,0,0
重庆,綦江区,2022-04-16,23,0,23,0,0,0,0
重庆,綦江区,2022-04-15,23,0,23,0,0,0,0
重庆,綦江区,2022-04-14,23,0,23,0,0,0,0
重庆,綦江区,2022-04-13,23,0,23,0,0,0,0
重庆,綦江区,2022-04-12,23,0,23,0,0,0,0
重庆,綦江区,2022-04-11,23,0,23,0,0,0,0
重庆,綦江区,2022-04-10,23,0,23,0,0,0,0
重庆,綦江区,2022-04-09,23,0,23,0,0,0,0
重庆,綦江区,2022-04-08,23,0,23,0,0,0,0
重庆,綦江区,2022-04-07,23,0,23,0,0,0,0
重庆,綦江区,2022-04-06,23,0,23,0,0,0,0
重庆,綦江区,2022-04-05,23,0,23,0,0,0,0
重庆,綦江区,2022-04-04,23,0,23,0,0,0,0
重庆,綦江区,2022-04-03,23,0,23,0,0,0,0
重庆,綦江区,2022-04-02,23,0,23,0,0,0,0
重庆,綦江区,2022-04-01,23,0,23,0,0,0,0
重庆,綦江区,2022-03-31,23,0,23,0,0,0,0
重庆,綦江区,2022-03-30,23,0,23,0,0,0,0
重庆,綦江区,2022-03-29,23,0,23,0,0,0,0
重庆,綦江区,2022-03-28,23,0,23,0,0,0,0
重庆,綦江区,2022-03-27,23,0,23,0,0,0,0
重庆,綦江区,2022-03-26,23,0,23,0,0,0,0
重庆,綦江区,2022-03-25,23,0,23,0,0,0,0
重庆,綦江区,2022-03-24,23,0,23,0,0,0,0
重庆,綦江区,2022-03-23,23,0,23,0,0,0,0
重庆,綦江区,2022-03-22,23,0,23,0,0,0,0
重庆,綦江区,2022-03-21,23,0,23,0,0,0,0
重庆,綦江区,2022-03-20,23,0,23,0,0,0,0
重庆,綦江区,2022-03-19,23,0,23,0,0,0,0
重庆,綦江区,2022-03-18,23,0,23,0,0,0,0
重庆,綦江区,2022-03-17,23,0,23,0,0,0,0
重庆,綦江区,2022-03-16,23,0,23,0,0,0,0
重庆,綦江区,2022-03-15,23,0,23,0,0,0,0
重庆,綦江区,2022-03-14,23,0,23,0,0,0,0
重庆,綦江区,2022-03-13,23,0,23,0,0,0,0
重庆,綦江区,2022-03-12,23,0,23,0,0,0,0
重庆,綦江区,2022-03-11,23,0,23,0,0,0,0
重庆,綦江区,2022-03-10,23,0,23,0,0,0,0
重庆,綦江区,2022-03-09,23,0,23,0,0,0,0
重庆,綦江区,2022-03-08,23,0,23,0,0,0,0
重庆,綦江区,2022-03-07,23,0,23,0,0,0,0
重庆,綦江区,2022-03-06,23,0,23,0,0,0,0
重庆,綦江区,2022-03-05,23,0,23,0,0,0,0
重庆,綦江区,2022-03-04,23,0,23,0,0,0,0
重庆,綦江区,2022-03-03,23,0,23,0,0,0,0
重庆,綦江区,2022-03-02,23,0,23,0,0,0,0
重庆,綦江区,2022-03-01,23,0,23,0,0,0,0
