省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
重庆,荣昌区,2022-05-11,9,0,9,0,0,0,0
重庆,荣昌区,2022-05-10,9,0,9,0,0,0,0
重庆,荣昌区,2022-05-09,9,0,9,0,0,0,0
重庆,荣昌区,2022-05-08,9,0,9,0,0,0,0
重庆,荣昌区,2022-05-07,9,0,9,0,0,0,0
重庆,荣昌区,2022-05-06,9,0,9,0,0,0,0
重庆,荣昌区,2022-05-05,9,0,9,0,0,0,0
重庆,荣昌区,2022-05-04,9,0,9,0,0,0,0
重庆,荣昌区,2022-05-03,9,0,9,0,0,0,0
重庆,荣昌区,2022-05-02,9,0,9,0,0,0,0
重庆,荣昌区,2022-05-01,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-30,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-29,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-28,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-27,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-26,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-25,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-24,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-23,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-22,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-21,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-20,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-19,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-18,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-17,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-16,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-15,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-14,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-13,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-12,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-11,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-10,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-09,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-08,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-07,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-06,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-05,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-04,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-03,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-02,9,0,9,0,0,0,0
重庆,荣昌区,2022-04-01,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-31,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-30,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-29,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-28,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-27,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-26,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-25,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-24,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-23,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-22,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-21,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-20,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-19,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-18,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-17,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-16,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-15,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-14,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-13,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-12,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-11,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-10,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-09,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-08,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-07,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-06,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-05,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-04,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-03,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-02,9,0,9,0,0,0,0
重庆,荣昌区,2022-03-01,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-28,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-27,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-26,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-25,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-24,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-23,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-22,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-21,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-20,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-19,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-18,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-17,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-16,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-15,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-14,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-13,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-12,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-11,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-10,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-09,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-08,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-07,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-06,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-05,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-04,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-03,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-02,9,0,9,0,0,0,0
重庆,荣昌区,2022-02-01,9,0,9,0,0,0,0
重庆,荣昌区,2022-01-31,9,0,9,0,0,0,0
重庆,荣昌区,2022-01-30,9,0,9,0,0,0,0
重庆,荣昌区,2022-01-29,9,0,9,0,0,0,0
