省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
重庆,酉阳土家族苗族自治县,2022-05-11,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-05-10,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-05-09,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-05-08,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-05-07,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-05-06,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-05-05,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-05-04,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-05-03,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-05-02,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-05-01,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-30,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-29,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-28,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-27,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-26,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-25,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-24,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-23,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-22,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-21,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-20,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-19,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-18,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-17,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-16,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-15,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-14,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-13,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-12,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-11,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-10,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-09,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-08,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-07,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-06,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-05,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-04,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-03,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-02,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-04-01,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-03-31,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-03-30,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-03-29,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-03-28,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-03-27,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-03-26,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-03-25,1,0,1,0,0,0,0
重庆,酉阳土家族苗族自治县,2022-03-24,1,0,1,0,0,0,0
