省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
重庆,长寿区,2022-05-11,24,0,24,0,0,0,0
重庆,长寿区,2022-05-10,24,0,24,0,0,0,0
重庆,长寿区,2022-05-09,24,0,24,0,0,0,0
重庆,长寿区,2022-05-08,24,0,24,0,0,0,0
重庆,长寿区,2022-05-07,24,0,24,0,0,0,0
重庆,长寿区,2022-05-06,24,0,24,0,0,0,0
重庆,长寿区,2022-05-05,24,0,24,0,0,0,0
重庆,长寿区,2022-05-04,24,0,24,0,0,0,0
重庆,长寿区,2022-05-03,24,0,24,0,0,0,0
重庆,长寿区,2022-05-02,24,0,24,0,0,0,0
重庆,长寿区,2022-05-01,24,0,24,0,0,0,0
重庆,长寿区,2022-04-30,24,0,24,0,0,0,0
重庆,长寿区,2022-04-29,24,0,24,0,0,0,0
重庆,长寿区,2022-04-28,24,0,24,0,0,0,0
重庆,长寿区,2022-04-27,24,0,24,0,0,0,0
重庆,长寿区,2022-04-26,24,0,24,0,0,0,0
重庆,长寿区,2022-04-25,24,0,24,0,0,0,0
重庆,长寿区,2022-04-24,24,0,24,0,0,0,0
重庆,长寿区,2022-04-23,24,0,24,0,0,0,0
重庆,长寿区,2022-04-22,24,0,24,0,0,0,0
重庆,长寿区,2022-04-21,24,0,24,0,0,0,0
重庆,长寿区,2022-04-20,24,0,24,0,0,0,0
重庆,长寿区,2022-04-19,24,0,24,0,0,0,0
重庆,长寿区,2022-04-18,24,0,24,0,0,0,0
重庆,长寿区,2022-04-17,24,0,24,0,0,0,0
重庆,长寿区,2022-04-16,24,0,24,0,0,0,0
重庆,长寿区,2022-04-15,24,0,24,0,0,0,0
重庆,长寿区,2022-04-14,24,0,24,0,0,0,0
重庆,长寿区,2022-04-13,24,0,24,0,0,0,0
重庆,长寿区,2022-04-12,24,0,24,0,0,0,0
重庆,长寿区,2022-04-11,24,0,24,0,0,0,0
重庆,长寿区,2022-04-10,24,0,24,0,0,0,0
重庆,长寿区,2022-04-09,24,0,24,0,0,0,0
重庆,长寿区,2022-04-08,24,0,24,0,0,0,0
重庆,长寿区,2022-04-07,24,0,24,0,0,0,0
重庆,长寿区,2022-04-06,24,0,24,0,0,0,0
重庆,长寿区,2022-04-05,24,0,24,0,0,0,0
重庆,长寿区,2022-04-04,24,0,24,0,0,0,0
重庆,长寿区,2022-04-03,24,0,24,0,0,0,0
重庆,长寿区,2022-04-02,24,0,24,0,0,0,0
重庆,长寿区,2022-04-01,24,0,24,0,0,0,0
重庆,长寿区,2022-03-31,24,0,24,0,0,0,0
重庆,长寿区,2022-03-30,24,0,24,0,0,0,0
重庆,长寿区,2022-03-29,24,0,24,0,0,0,0
重庆,长寿区,2022-03-28,24,0,24,0,0,0,0
重庆,长寿区,2022-03-27,24,0,24,0,0,0,0
重庆,长寿区,2022-03-26,24,0,24,0,0,0,0
重庆,长寿区,2022-03-25,24,0,24,0,0,0,0
重庆,长寿区,2022-03-24,24,0,24,0,0,0,0
重庆,长寿区,2022-03-23,24,0,24,0,0,0,0
重庆,长寿区,2022-03-22,24,0,24,0,0,0,0
重庆,长寿区,2022-03-21,24,0,24,0,0,0,0
重庆,长寿区,2022-03-20,24,0,24,0,0,0,0
重庆,长寿区,2022-03-19,24,0,24,0,0,0,0
重庆,长寿区,2022-03-18,24,0,24,0,0,0,0
重庆,长寿区,2022-03-17,24,0,24,0,0,0,0
重庆,长寿区,2022-03-16,24,0,24,0,0,0,0
重庆,长寿区,2022-03-15,24,0,24,0,0,0,0
重庆,长寿区,2022-03-14,24,0,24,0,0,0,0
重庆,长寿区,2022-03-13,24,0,24,0,0,0,0
重庆,长寿区,2022-03-12,24,0,24,0,0,0,0
重庆,长寿区,2022-03-11,24,0,24,0,0,0,0
重庆,长寿区,2022-03-10,24,0,24,0,0,0,0
重庆,长寿区,2022-03-09,24,0,24,0,0,0,0
重庆,长寿区,2022-03-08,24,0,24,0,0,0,0
重庆,长寿区,2022-03-07,24,0,24,0,0,0,0
重庆,长寿区,2022-03-06,24,0,24,0,0,0,0
重庆,长寿区,2022-03-05,24,0,24,0,0,0,0
重庆,长寿区,2022-03-04,24,0,24,0,0,0,0
重庆,长寿区,2022-03-03,24,0,24,0,0,0,0
重庆,长寿区,2022-03-02,24,0,24,0,0,0,0
重庆,长寿区,2022-03-01,24,0,24,0,0,0,0
重庆,长寿区,2022-02-28,24,0,24,0,0,0,0
重庆,长寿区,2022-02-27,24,0,24,0,0,0,0
重庆,长寿区,2022-02-26,24,0,24,0,0,0,0
重庆,长寿区,2022-02-25,24,0,24,0,0,0,0
重庆,长寿区,2022-02-24,24,0,24,0,0,0,0
重庆,长寿区,2022-02-23,24,0,24,0,0,0,0
重庆,长寿区,2022-02-22,24,0,24,0,0,0,0
重庆,长寿区,2022-02-21,24,0,24,0,0,0,0
重庆,长寿区,2022-02-20,24,0,24,0,0,0,0
重庆,长寿区,2022-02-19,24,0,24,0,0,0,0
重庆,长寿区,2022-02-18,24,0,24,0,0,0,0
重庆,长寿区,2022-02-17,24,0,24,0,0,0,0
重庆,长寿区,2022-02-16,24,0,24,0,0,0,0
重庆,长寿区,2022-02-15,24,0,24,0,0,0,0
重庆,长寿区,2022-02-14,24,0,24,0,0,0,0
重庆,长寿区,2022-02-13,24,0,24,0,0,0,0
重庆,长寿区,2022-02-12,24,0,24,0,0,0,0
重庆,长寿区,2022-02-11,24,0,24,0,0,0,0
重庆,长寿区,2022-02-10,24,0,24,0,0,0,0
重庆,长寿区,2022-02-09,24,0,24,0,0,0,0
重庆,长寿区,2022-02-08,24,0,24,0,0,0,0
重庆,长寿区,2022-02-07,24,0,24,0,0,0,0
重庆,长寿区,2022-02-06,24,0,24,0,0,0,0
重庆,长寿区,2022-02-05,24,0,24,0,0,0,0
重庆,长寿区,2022-02-04,24,0,24,0,0,0,0
重庆,长寿区,2022-02-03,24,0,24,0,0,0,0
重庆,长寿区,2022-02-02,24,0,24,0,0,0,0
重庆,长寿区,2022-02-01,24,0,24,0,0,0,0
重庆,长寿区,2022-01-31,24,0,24,0,0,0,0
重庆,长寿区,2022-01-30,24,0,24,0,0,0,0
重庆,长寿区,2022-01-29,24,0,24,0,0,0,0
重庆,长寿区,2022-01-28,24,0,24,0,0,0,0
重庆,长寿区,2022-01-27,24,0,24,0,0,0,0
重庆,长寿区,2022-01-26,24,0,24,0,0,0,0
重庆,长寿区,2022-01-25,24,0,24,0,0,0,0
重庆,长寿区,2022-01-24,24,0,24,0,0,0,0
重庆,长寿区,2022-01-23,24,0,24,0,0,0,0
重庆,长寿区,2022-01-22,24,0,24,0,0,0,0
重庆,长寿区,2022-01-21,24,0,24,0,0,0,0
重庆,长寿区,2022-01-20,24,0,24,0,0,0,0
重庆,长寿区,2022-01-19,24,0,24,0,0,0,0
重庆,长寿区,2022-01-18,24,0,24,0,0,0,0
重庆,长寿区,2022-01-17,24,0,24,0,0,0,0
重庆,长寿区,2022-01-16,24,0,24,0,0,0,0
重庆,长寿区,2022-01-15,24,0,24,0,0,0,0
重庆,长寿区,2022-01-14,24,0,24,0,0,0,0
重庆,长寿区,2022-01-13,24,0,24,0,0,0,0
重庆,长寿区,2022-01-12,24,0,24,0,0,0,0
重庆,长寿区,2022-01-11,24,0,24,0,0,0,0
重庆,长寿区,2022-01-10,24,0,24,0,0,0,0
重庆,长寿区,2022-01-09,24,0,24,0,0,0,0
重庆,长寿区,2022-01-08,24,0,24,0,0,0,0
重庆,长寿区,2022-01-07,24,0,24,1,0,0,0
重庆,长寿区,2022-01-06,24,0,23,0,0,0,0
重庆,长寿区,2022-01-05,24,0,23,0,0,0,0
重庆,长寿区,2022-01-04,24,0,23,0,0,0,0
重庆,长寿区,2022-01-03,24,0,23,0,0,0,0
重庆,长寿区,2022-01-02,24,0,23,0,0,0,0
重庆,长寿区,2022-01-01,24,0,23,0,0,0,0
重庆,长寿区,2021-12-31,24,0,23,0,0,0,0
重庆,长寿区,2021-12-30,24,0,23,0,0,0,0
重庆,长寿区,2021-12-29,24,0,23,1,0,0,0
重庆,长寿区,2021-12-28,24,0,22,0,0,0,0
重庆,长寿区,2021-12-27,24,0,22,0,0,0,0
重庆,长寿区,2021-12-26,24,0,22,0,0,0,0
重庆,长寿区,2021-12-25,24,0,22,0,0,0,0
重庆,长寿区,2021-12-24,24,0,22,0,0,0,0
重庆,长寿区,2021-12-23,24,0,22,0,0,0,0
重庆,长寿区,2021-12-22,24,0,22,0,0,0,0
重庆,长寿区,2021-12-21,24,0,22,0,0,0,0
重庆,长寿区,2021-12-20,24,0,22,0,0,0,0
重庆,长寿区,2021-12-19,24,0,22,0,0,0,0
重庆,长寿区,2021-12-18,24,0,22,0,0,0,0
重庆,长寿区,2021-12-17,24,0,22,0,0,0,0
重庆,长寿区,2021-12-16,24,0,22,0,0,0,0
重庆,长寿区,2021-12-15,24,0,22,0,0,0,0
重庆,长寿区,2021-12-14,24,0,22,0,0,0,0
重庆,长寿区,2021-12-13,24,0,22,0,0,0,0
重庆,长寿区,2021-12-12,24,0,22,0,0,0,0
重庆,长寿区,2021-12-11,24,0,22,0,0,0,0
重庆,长寿区,2021-12-10,24,0,22,0,0,0,0
重庆,长寿区,2021-12-09,24,0,22,0,0,0,0
重庆,长寿区,2021-12-08,24,0,22,0,0,0,0
重庆,长寿区,2021-12-07,24,0,22,0,0,0,0
重庆,长寿区,2021-12-06,24,0,22,0,0,0,0
重庆,长寿区,2021-12-05,24,0,22,0,0,0,0
重庆,长寿区,2021-12-04,24,0,22,0,0,0,0
重庆,长寿区,2021-12-03,24,0,22,0,0,0,0
重庆,长寿区,2021-12-02,24,0,22,0,0,0,0
重庆,长寿区,2021-12-01,24,0,22,0,0,0,0
