省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状
重庆,黔江区,2022-05-11,2,0,2,0,0,0,0
重庆,黔江区,2022-05-10,2,0,2,0,0,0,0
重庆,黔江区,2022-05-09,2,0,2,0,0,0,0
重庆,黔江区,2022-05-08,2,0,2,0,0,0,0
重庆,黔江区,2022-05-07,2,0,2,0,0,0,0
重庆,黔江区,2022-05-06,2,0,2,0,0,0,0
重庆,黔江区,2022-05-05,2,0,2,0,0,0,0
重庆,黔江区,2022-05-04,2,0,2,0,0,0,0
重庆,黔江区,2022-05-03,2,0,2,0,0,0,0
重庆,黔江区,2022-05-02,2,0,2,0,0,0,0
重庆,黔江区,2022-05-01,2,0,2,0,0,0,0
重庆,黔江区,2022-04-30,2,0,2,0,0,0,0
重庆,黔江区,2022-04-29,2,0,2,0,0,0,0
重庆,黔江区,2022-04-28,2,0,2,0,0,0,0
重庆,黔江区,2022-04-27,2,0,2,0,0,0,0
重庆,黔江区,2022-04-26,2,0,2,0,0,0,0
重庆,黔江区,2022-04-25,2,0,2,0,0,0,0
重庆,黔江区,2022-04-24,2,0,2,0,0,0,0
重庆,黔江区,2022-04-23,2,0,2,0,0,0,0
重庆,黔江区,2022-04-22,2,0,2,0,0,0,0
重庆,黔江区,2022-04-21,2,0,2,0,0,0,0
重庆,黔江区,2022-04-20,2,0,2,0,0,0,0
重庆,黔江区,2022-04-19,2,0,2,0,0,0,0
重庆,黔江区,2022-04-18,2,0,2,0,0,0,0
重庆,黔江区,2022-04-17,2,0,2,0,0,0,0
重庆,黔江区,2022-04-16,2,0,2,0,0,0,0
重庆,黔江区,2022-04-15,2,0,2,0,0,0,0
重庆,黔江区,2022-04-14,2,0,2,0,0,0,0
重庆,黔江区,2022-04-13,2,0,2,0,0,0,0
重庆,黔江区,2022-04-12,2,0,2,0,0,0,0
重庆,黔江区,2022-04-11,2,0,2,0,0,0,0
重庆,黔江区,2022-04-10,2,0,2,0,0,0,0
重庆,黔江区,2022-04-09,2,0,2,0,0,0,0
重庆,黔江区,2022-04-08,2,0,2,0,0,0,0
重庆,黔江区,2022-04-07,2,0,2,0,0,0,0
重庆,黔江区,2022-04-06,2,0,2,0,0,0,0
重庆,黔江区,2022-04-05,2,0,2,0,0,0,0
重庆,黔江区,2022-04-04,2,0,2,0,0,0,0
重庆,黔江区,2022-04-03,2,0,2,0,0,0,0
重庆,黔江区,2022-04-02,2,0,2,0,0,0,0
重庆,黔江区,2022-04-01,2,0,2,0,0,0,0
重庆,黔江区,2022-03-31,2,0,2,0,0,0,0
重庆,黔江区,2022-03-30,2,0,2,0,0,0,0
重庆,黔江区,2022-03-29,2,0,2,0,0,0,0
重庆,黔江区,2022-03-28,2,0,2,0,0,0,0
重庆,黔江区,2022-03-27,2,0,2,0,0,0,0
重庆,黔江区,2022-03-26,2,0,2,0,0,0,0
重庆,黔江区,2022-03-25,2,0,2,0,0,0,0
重庆,黔江区,2022-03-24,2,0,2,0,0,0,0
重庆,黔江区,2022-03-23,2,0,2,0,0,0,0
重庆,黔江区,2022-03-22,2,0,2,0,0,0,0
重庆,黔江区,2022-03-21,2,0,2,0,0,0,0
重庆,黔江区,2022-03-20,2,0,2,0,0,0,0
重庆,黔江区,2022-03-19,2,0,2,0,0,0,0
重庆,黔江区,2022-03-18,2,0,2,0,0,0,0
重庆,黔江区,2022-03-17,2,0,2,0,0,0,0
重庆,黔江区,2022-03-16,2,0,2,0,0,0,0
重庆,黔江区,2022-03-15,2,0,2,0,0,0,0
重庆,黔江区,2022-03-14,2,0,2,0,0,0,0
重庆,黔江区,2022-03-13,2,0,2,0,0,0,0
重庆,黔江区,2022-03-12,2,0,2,0,0,0,0
重庆,黔江区,2022-03-11,2,0,2,0,0,0,0
重庆,黔江区,2022-03-10,2,0,2,0,0,0,0
重庆,黔江区,2022-03-09,2,0,2,0,0,0,0
重庆,黔江区,2022-03-08,2,0,2,0,0,0,0
重庆,黔江区,2022-03-07,2,0,2,0,0,0,0
重庆,黔江区,2022-03-06,2,0,2,0,0,0,0
重庆,黔江区,2022-03-05,2,0,2,0,0,0,0
重庆,黔江区,2022-03-04,2,0,2,0,0,0,0
重庆,黔江区,2022-03-03,2,0,2,0,0,0,0
重庆,黔江区,2022-03-02,2,0,2,0,0,0,0
重庆,黔江区,2022-03-01,2,0,2,0,0,0,0
重庆,黔江区,2022-02-28,2,0,2,0,0,0,0
重庆,黔江区,2022-02-27,2,0,2,0,0,0,0
重庆,黔江区,2022-02-26,2,0,2,0,0,0,0
重庆,黔江区,2022-02-25,2,0,2,0,0,0,0
重庆,黔江区,2022-02-24,2,0,2,0,0,0,0
重庆,黔江区,2022-02-23,2,0,2,0,0,0,0
重庆,黔江区,2022-02-22,2,0,2,0,0,0,0
重庆,黔江区,2022-02-21,2,0,2,0,0,0,0
重庆,黔江区,2022-02-20,2,0,2,0,0,0,0
重庆,黔江区,2022-02-19,2,0,2,0,0,0,0
重庆,黔江区,2022-02-18,2,0,2,0,0,0,0
重庆,黔江区,2022-02-17,2,0,2,0,0,0,0
重庆,黔江区,2022-02-16,2,0,2,0,0,0,0
重庆,黔江区,2022-02-15,2,0,2,0,0,0,0
重庆,黔江区,2022-02-14,2,0,2,0,0,0,0
重庆,黔江区,2022-02-13,2,0,2,0,0,0,0
重庆,黔江区,2022-02-12,2,0,2,0,0,0,0
重庆,黔江区,2022-02-11,2,0,2,0,0,0,0
重庆,黔江区,2022-02-10,2,0,2,0,0,0,0
重庆,黔江区,2022-02-09,2,0,2,0,0,0,0
重庆,黔江区,2022-02-08,2,0,2,0,0,0,0
重庆,黔江区,2022-02-07,2,0,2,0,0,0,0
重庆,黔江区,2022-02-06,2,0,2,0,0,0,0
重庆,黔江区,2022-02-05,2,0,2,0,0,0,0
重庆,黔江区,2022-02-04,2,0,2,0,0,0,0
重庆,黔江区,2022-02-03,2,0,2,0,0,0,0
重庆,黔江区,2022-02-02,2,0,2,0,0,0,0
重庆,黔江区,2022-02-01,2,0,2,0,0,0,0
重庆,黔江区,2022-01-31,2,0,2,0,0,0,0
重庆,黔江区,2022-01-30,2,0,2,0,0,0,0
重庆,黔江区,2022-01-29,2,0,2,0,0,0,0
重庆,黔江区,2022-01-28,2,0,2,0,0,0,0
重庆,黔江区,2022-01-27,2,0,2,0,0,0,0
重庆,黔江区,2022-01-26,2,0,2,0,0,0,0
重庆,黔江区,2022-01-25,2,0,2,0,0,0,0
重庆,黔江区,2022-01-24,2,0,2,0,0,0,0
重庆,黔江区,2022-01-23,2,0,2,0,0,0,0
重庆,黔江区,2022-01-22,2,0,2,0,0,0,0
重庆,黔江区,2022-01-21,2,0,2,0,0,0,0
重庆,黔江区,2022-01-20,2,0,2,0,0,0,0
重庆,黔江区,2022-01-19,2,0,2,0,0,0,0
重庆,黔江区,2022-01-18,2,0,2,0,0,0,0
重庆,黔江区,2022-01-17,2,0,2,0,0,0,0
重庆,黔江区,2022-01-16,2,0,2,0,0,0,0
重庆,黔江区,2022-01-15,2,0,2,0,0,0,0
重庆,黔江区,2022-01-14,2,0,2,0,0,0,0
重庆,黔江区,2022-01-13,2,0,2,0,0,0,0
重庆,黔江区,2022-01-12,2,0,2,0,0,0,0
重庆,黔江区,2022-01-11,2,0,2,0,0,0,0
重庆,黔江区,2022-01-10,2,0,2,0,0,0,0
重庆,黔江区,2022-01-09,2,0,2,0,0,0,0
重庆,黔江区,2022-01-08,2,0,2,0,0,0,0
重庆,黔江区,2022-01-07,2,0,2,0,0,0,0
重庆,黔江区,2022-01-06,2,0,2,0,0,0,0
重庆,黔江区,2022-01-05,2,0,2,0,0,0,0
重庆,黔江区,2022-01-04,2,0,2,0,0,0,0
重庆,黔江区,2022-01-03,2,0,2,0,0,0,0
重庆,黔江区,2022-01-02,2,0,2,0,0,0,0
重庆,黔江区,2022-01-01,2,0,2,0,0,0,0
重庆,黔江区,2021-12-31,2,0,2,0,0,0,0
重庆,黔江区,2021-12-30,2,0,2,0,0,0,0
重庆,黔江区,2021-12-29,2,0,2,0,0,0,0
重庆,黔江区,2021-12-28,2,0,2,0,0,0,0
重庆,黔江区,2021-12-27,2,0,2,0,0,0,0
重庆,黔江区,2021-12-26,2,0,2,0,0,0,0
重庆,黔江区,2021-12-25,2,0,2,0,0,0,0
重庆,黔江区,2021-12-24,2,0,2,0,0,0,0
重庆,黔江区,2021-12-23,2,0,2,0,0,0,0
重庆,黔江区,2021-12-22,2,0,2,0,0,0,0
重庆,黔江区,2021-12-21,2,0,2,0,0,0,0
重庆,黔江区,2021-12-20,2,0,2,0,0,0,0
重庆,黔江区,2021-12-19,2,0,2,0,0,0,0
重庆,黔江区,2021-12-18,2,0,2,0,0,0,0
重庆,黔江区,2021-12-17,2,0,2,0,0,0,0
重庆,黔江区,2021-12-16,2,0,2,0,0,0,0
重庆,黔江区,2021-12-15,2,0,2,0,0,0,0
重庆,黔江区,2021-12-14,2,0,2,0,0,0,0
重庆,黔江区,2021-12-13,2,0,2,0,0,0,0
重庆,黔江区,2021-12-12,2,0,2,0,0,0,0
重庆,黔江区,2021-12-11,2,0,2,0,0,0,0
重庆,黔江区,2021-12-10,2,0,2,0,0,0,0
重庆,黔江区,2021-12-09,2,0,2,0,0,0,0
重庆,黔江区,2021-12-08,2,0,2,0,0,0,0
重庆,黔江区,2021-12-07,2,0,2,0,0,0,0
重庆,黔江区,2021-12-06,2,0,2,0,0,0,0
重庆,黔江区,2021-12-05,2,0,2,0,0,0,0
重庆,黔江区,2021-12-04,2,0,2,0,0,0,0
重庆,黔江区,2021-12-03,2,0,2,0,0,0,0
重庆,黔江区,2021-12-02,2,0,2,0,0,0,0
重庆,黔江区,2021-12-01,2,0,2,0,0,0,0
重庆,黔江区,2021-11-30,2,0,2,0,0,0,0
重庆,黔江区,2021-11-29,2,0,2,0,0,0,0
重庆,黔江区,2021-11-28,2,0,2,0,0,0,0
重庆,黔江区,2021-11-27,2,0,2,0,0,0,0
重庆,黔江区,2021-11-26,2,0,2,0,0,0,0
重庆,黔江区,2021-11-25,2,0,2,0,0,0,0
重庆,黔江区,2021-11-24,2,0,2,0,0,0,0
重庆,黔江区,2021-11-23,2,0,2,0,0,0,0
重庆,黔江区,2021-11-22,2,0,2,0,0,0,0
重庆,黔江区,2021-11-21,2,0,2,0,0,0,0
重庆,黔江区,2021-11-20,2,0,2,0,0,0,0
重庆,黔江区,2021-11-19,2,0,2,0,0,0,0
重庆,黔江区,2021-11-18,2,0,2,0,0,0,0
重庆,黔江区,2021-11-17,2,0,2,0,0,0,0
重庆,黔江区,2021-11-16,2,0,2,0,0,0,0
重庆,黔江区,2021-11-15,2,0,2,0,0,0,0
重庆,黔江区,2021-11-14,2,0,2,0,0,0,0
重庆,黔江区,2021-11-13,2,0,2,0,0,0,0
重庆,黔江区,2021-11-12,2,0,2,0,0,0,0
重庆,黔江区,2021-11-11,2,0,2,0,0,0,0
重庆,黔江区,2021-11-10,2,0,2,0,0,0,0
重庆,黔江区,2021-11-09,2,0,2,0,0,0,0
重庆,黔江区,2021-11-08,2,0,2,0,0,0,0
重庆,黔江区,2021-11-07,2,0,2,0,0,0,0
