省份,时间,累计确诊,新增确诊,现有确诊,累计治愈,新增治愈,累计死亡,新增死亡,累计无症状,新增无症状
香港,2022-05-11,331420,59,261224,60841,123,9355,3,0,0
香港,2022-05-10,331361,55,261291,60718,82,9352,5,0,0
香港,2022-05-09,331306,32,261323,60636,36,9347,1,0,0
香港,2022-05-08,331274,43,261328,60600,117,9346,2,0,0
香港,2022-05-07,331231,50,261404,60483,160,9344,0,0,0
香港,2022-05-06,331181,84,261514,60323,204,9344,11,0,0
香港,2022-05-05,331097,115,261645,60119,143,9333,5,0,0
香港,2022-05-04,330982,102,261678,59976,162,9328,3,0,0
香港,2022-05-03,330880,107,261741,59814,75,9325,7,0,0
香港,2022-05-02,330773,48,261794,59661,0,9318,5,0,0
香港,2022-05-01,330725,55,261751,59661,157,9313,5,0,0
香港,2022-04-30,330670,71,261858,59504,188,9308,10,0,0
香港,2022-04-29,330599,111,261985,59316,143,9298,11,0,0
香港,2022-04-28,330488,990,262028,59173,158,9287,13,0,0
香港,2022-04-27,329498,142,261209,59015,211,9274,0,0,0
香港,2022-04-26,329356,91,261278,58804,-10315,9274,7,0,0
香港,2022-04-25,329265,118,250879,69119,62,9267,18,0,0
香港,2022-04-24,329147,1073,250841,69057,169,9249,13,0,0
香港,2022-04-23,328074,17536,249950,68888,232,9236,9,0,0
香港,2022-04-22,310538,185,232655,68656,244,9227,15,0,0
香港,2022-04-21,310353,119,232729,68412,-343,9212,26,0,0
香港,2022-04-20,310234,299,232293,68755,873,9186,10,0,0
香港,2022-04-19,309935,94,232877,67882,597,9176,17,0,0
香港,2022-04-18,309841,394,233397,67285,408,9159,20,0,0
香港,2022-04-17,309447,261,233431,66877,647,9139,29,0,0
香港,2022-04-16,309186,67,233846,66230,808,9110,41,0,0
香港,2022-04-15,309119,272,234628,65422,1711,9069,67,0,0
香港,2022-04-14,308847,80,236134,63711,1507,9002,54,0,0
香港,2022-04-13,308767,62,237615,62204,1544,8948,62,0,0
